cell_type	marker	ensembl_id	pearson_r	pearson_p	spearman_rho
Podocyte	Nphs1	ENSMUSG00000006649	-0.024204463373351665	0.8312370727315332	0.13347398030942337
Podocyte	Nphs2	ENSMUSG00000026602	0.06360934257059621	0.5751021969747221	0.07219878105954056
PT	Slc34a1	ENSMUSG00000021490	0.40378240922540504	0.0002038780520414905	0.42233942803563057
PT	Lrp2	ENSMUSG00000027070	0.5216486712998469	6.982671055125071e-07	0.5308720112517581
PT	Cubn	ENSMUSG00000026726	0.5327169474504017	3.646374191883784e-07	0.573511486169714
PT	Slc5a12	ENSMUSG00000041644	0.22464868716876918	0.045136422039385504	0.3150023441162682
TAL_LOH	Umod	ENSMUSG00000030963	0.026913752242105106	0.8126737120709188	0.043670886075949364
TAL_LOH	Slc12a1	ENSMUSG00000027202	-0.060344371632709	0.5949152436164488	-0.03342709798406002
DCT	Slc12a3	ENSMUSG00000030588	0.23896139640179304	0.032783218523512084	0.169760900140647
DCT	Pvalb	ENSMUSG00000005716	-0.07738193942802382	0.49507701002985643	0.07451945616502578
DCT	Calb1	ENSMUSG00000028222	0.15135303340944284	0.18018952034648644	0.11835443037974684
CD	Aqp2	ENSMUSG00000023013	-0.075637664682735	0.5048790967745983	-0.07923112986404127
CD	Aqp3	ENSMUSG00000028435	-0.16145351777912298	0.15249842579454503	-0.15642287857477732
Fibroblast	Col1a1	ENSMUSG00000001506	0.3195494693962798	0.003860769292316514	0.3397562119081107
Fibroblast	Col3a1	ENSMUSG00000026043	0.4110651129623599	0.0001520560796443652	0.40661040787623065
Fibroblast	Pdgfra	ENSMUSG00000029231	0.5271533644225206	5.069259184057785e-07	0.501054852320675
