cell_type	marker	ensembl_id	pearson_r	pearson_p
Podocyte	Wt1	ENSMUSG00000023020	-0.5199933642357597	7.680090702604435e-07
Endothelial	Pecam1	ENSMUSG00000020717	-0.3157955630609065	0.00432384256238855
Endothelial	Kdr	ENSMUSG00000029319	-0.34883403195705015	0.0015180724304854473
Endothelial	META-SCORE	NA	-0.5050623429772756	1.7725848004000775e-06
PT	Lrp2	ENSMUSG00000027170	-0.1233853158276236	0.275538867111268
PT	Cubn	ENSMUSG00000026726	0.5327169474504017	3.646374191883784e-07
PT	Slc5a12	ENSMUSG00000041644	0.22464868716876918	0.045136422039385504
PT	META-SCORE	NA	0.3195676611016587	0.003858637195739311
TAL_LOH	Umod	ENSMUSG00000030963	0.026913752242105106	0.8126737120709188
TAL_LOH	Slc12a1	ENSMUSG00000027202	-0.060344371632709	0.5949152436164488
TAL_LOH	META-SCORE	NA	-0.018025180289533482	0.8739071442903508
DCT	Slc12a3	ENSMUSG00000031766	0.2502699867903619	0.025155054697636646
DCT	Pvalb	ENSMUSG00000005716	-0.07738193942802382	0.49507701002985643
DCT	Calb1	ENSMUSG00000028222	0.15135303340944284	0.18018952034648644
DCT	META-SCORE	NA	0.16565736957768074	0.14195965840016317
CD	Aqp2	ENSMUSG00000024610	-0.41648129090753705	0.000121723515654098
Fibroblast	Col1a1	ENSMUSG00000001506	0.3195494693962798	0.003860769292316514
Fibroblast	Col3a1	ENSMUSG00000026043	0.4110651129623599	0.0001520560796443652
Fibroblast	Pdgfra	ENSMUSG00000029231	0.5271533644225206	5.069259184057785e-07
Fibroblast	META-SCORE	NA	0.4876636993806308	4.474620359479854e-06
