gene	rewiring_mean	rewiring_std	rank_std
ENSMUSG00000065778	0.007847147454748404	0.0010081639122438424	1.0
ENSMUSG00000093355	0.006970101559571618	0.00045063438590092764	1.0
ENSMUSG00000119132	0.006599551229350686	0.0004801978594271561	0.0
ENSMUSG00000119162	0.006286887294315424	0.0007834281075770888	2.5
ENSMUSG00002076696	0.006049308813792065	0.00026650981956177766	1.0
ENSMUSG00000088990	0.005580566738563109	0.004511010284775074	148.5
ENSMUSG00000031722	0.005123606428961702	0.003481428636809447	78.0
ENSMUSG00000064513	0.004796557763251552	0.0024726182857939816	29.0
ENSMUSG00000118859	0.004747405841920516	0.0025452608964410817	33.5
ENSMUSG00000030278	0.004722871390742844	0.0009621748224524773	13.0
ENSMUSG00000036564	0.004701267412904497	0.0007372068006021304	9.5
ENSMUSG00000064966	0.004650033345900306	0.0002524456515820006	2.5
ENSMUSG00000119320	0.0045455422956873215	0.0006026313286556229	7.0
ENSMUSG00000048142	0.0044410798839437104	0.00020129233394661217	2.0
ENSMUSG00000064841	0.00440644354082248	0.00137330643169703	25.5
ENSMUSG00000119520	0.004395896331175542	0.0020854927075562024	28.0
ENSMUSG00000077709	0.004198901743423911	0.00031536227328204935	6.0
ENSMUSG00000065686	0.004179081824472075	0.0013968233797260754	31.5
ENSMUSG00000087819	0.004123849846211225	0.0011817094161387653	25.5
ENSMUSG00000119895	0.004012247359728549	0.002084217703019975	40.5
ENSMUSG00000077254	0.003956682996942629	4.260140436429527e-05	0.5
ENSMUSG00000027186	0.003931940224305652	0.002517064067577124	69.0
ENSMUSG00000064387	0.003895900783963513	0.00036753209567974565	8.0
ENSMUSG00000048040	0.0038462761515071775	0.000527531253799618	12.5
ENSMUSG00000065725	0.003838430429835893	0.0014240482392255949	23.5
ENSMUSG00000087881	0.003819700389309344	0.0002446948942522731	5.0
ENSMUSG00000027559	0.0038078941338856587	0.000896212665170204	25.5
ENSMUSG00000025153	0.003716273973890627	0.0015102566589755284	28.0
ENSMUSG00000069305	0.0036580325694103855	0.0005168354851093349	14.0
ENSMUSG00000065087	0.0036568554416870347	0.0002298272848992866	3.5
ENSMUSG00000046794	0.0036025332374089447	0.0022599193562807263	101.0
ENSMUSG00000087963	0.003576717556258213	0.0016083200650623963	36.0
ENSMUSG00000000628	0.0035728165232280507	2.7449727095896215e-05	1.0
ENSMUSG00000025488	0.0035648360444066607	0.00022363115609019824	6.0
ENSMUSG00000061482	0.0035460911106489634	0.0011610027196010675	39.0
ENSMUSG00000058833	0.0035424738510372866	0.0012748241790701553	24.0
ENSMUSG00000030546	0.0034416645847405447	0.000604954140599967	22.0
ENSMUSG00000100992	0.0034117573303132365	0.0009249524340468329	33.0
ENSMUSG00000043122	0.003395280301620618	0.0017637303742127353	74.5
ENSMUSG00000031710	0.0033833602850822375	0.0009939827956846337	20.0
ENSMUSG00002075931	0.00334128511088283	0.0011731572362576603	44.5
ENSMUSG00000064994	0.0032041924260552967	0.0002838912052500753	14.5
ENSMUSG00000025508	0.0030856500050327473	0.0004339236632419641	6.5
ENSMUSG00000088948	0.0030836599371741324	0.0007825651054911842	33.0
ENSMUSG00000044405	0.003059559598681816	2.18823097777876e-05	7.0
ENSMUSG00000003123	0.00305140915950447	0.000336493170321861	2.5
ENSMUSG00000039956	0.0030370092236450263	0.00010953604583274767	11.5
ENSMUSG00000092819	0.0030355688916804957	0.0004176653537502628	21.0
ENSMUSG00000085683	0.003000338603870778	0.001819694093826596	94.5
ENSMUSG00000015134	0.00298634207040549	0.000919890525484357	22.0
ENSMUSG00000020532	0.0029682648802475953	0.00020918509248690764	2.0
ENSMUSG00000022598	0.002901666101424838	0.001892388987503213	122.0
ENSMUSG00000064655	0.002898308498948454	0.0018034832701474546	134.0
ENSMUSG00000024526	0.002895473907978452	0.0010415938794038904	32.5
ENSMUSG00000000440	0.002866067521423099	0.0008384595892532709	22.0
ENSMUSG00000118698	0.002799067765462737	0.00018442570451676632	3.5
ENSMUSG00000055415	0.002792912929471758	0.0015561168686272775	79.5
ENSMUSG00000046275	0.002761130858125016	0.0011934968968662085	48.5
ENSMUSG00000068855	0.0027575924983150313	0.0014675925239988064	99.5
ENSMUSG00000118751	0.0027257608362533103	0.0003827095883746079	3.0
ENSMUSG00000026639	0.0026850699123602273	0.0014178779060858848	75.5
ENSMUSG00000077563	0.002633581319338163	0.0011356626097419054	48.5
ENSMUSG00000045319	0.002574236599423352	0.0014122284522755102	93.5
ENSMUSG00000079553	0.0025200174563765887	0.0016304562535531253	167.0
ENSMUSG00000063954	0.0025136128185185846	0.0008284530267443913	33.5
ENSMUSG00000119476	0.002498798595850893	0.0006248281868723726	42.0
ENSMUSG00000024990	0.0024804205112768374	0.00019193517927196257	24.5
ENSMUSG00000022878	0.0024792600500348483	0.0006813062687440752	25.5
ENSMUSG00000020904	0.0024365537083222977	0.0014198432190102306	113.0
ENSMUSG00000064901	0.002433431337304337	0.0009343838508314439	43.5
ENSMUSG00000062515	0.002413715823133211	0.0015730281771231258	158.0
ENSMUSG00002076896	0.002399325588808121	0.0003510372294184827	0.5
ENSMUSG00000032068	0.002394921651688975	0.0008235482522593873	37.0
ENSMUSG00000007097	0.002387713534059366	0.001680759902329465	219.0
ENSMUSG00000012705	0.0023710023833313776	0.0002993825700589592	1.5
ENSMUSG00000035686	0.002342130070951687	0.0005818662780067707	19.5
ENSMUSG00000074024	0.002266991529778939	0.001361761198855005	136.0
ENSMUSG00000091405	0.0022494177990057262	0.0009571648961826384	91.0
ENSMUSG00000118815	0.002218673906252633	0.0010703815896860869	84.5
ENSMUSG00000065822	0.0022095264806661352	0.0005869680401864863	60.0
ENSMUSG00000064382	0.002174105110813729	0.0009843504190686359	75.0
ENSMUSG00000055782	0.002165648972361489	0.0002450629215760003	0.5
ENSMUSG00000060981	0.0021403074367459807	0.000704185709534344	34.5
ENSMUSG00000006235	0.0021380991236275015	0.00040345699069044283	11.5
ENSMUSG00000064427	0.002134821169165635	0.0007185630531529874	37.5
ENSMUSG00000077505	0.0021280131570449168	0.00014988698913787069	8.5
ENSMUSG00002074853	0.0020807857642220484	0.0004846112402966951	54.5
ENSMUSG00000089542	0.0020769522592605782	0.000352104050483526	9.0
ENSMUSG00000088008	0.0020606001014472075	0.0008242913059205992	56.5
ENSMUSG00000069266	0.0020545743984592413	0.0006027788432395598	71.0
