gene	delta_interaction	delta_old	delta_yng
ENSMUSG00000116993	0.1446559019347723	0.3537845311654006	0.4984404331001729
ENSMUSG00000055116	0.13147338043170087	0.313431760704163	0.4449051411358639
ENSMUSG00000078597	0.13127170388822212	0.4272779113441421	0.29600620745592
ENSMUSG00000047907	0.129683025336698	0.3584488467939138	0.2287658214572158
ENSMUSG00002074875	0.12807315916658524	0.464679000495526	0.3366058413289408
ENSMUSG00000032226	0.12771052705570077	0.2883434997382254	0.1606329726825246
ENSMUSG00000026822	0.12630507671160118	0.4142262914863598	0.2879212147747586
ENSMUSG00000024552	0.12440856276344536	0.4223698348830063	0.2979612721195609
ENSMUSG00000039196	0.1220285858771285	0.5049011958835241	0.3828726100063956
ENSMUSG00000026814	0.11318093127041812	0.420258549674824	0.3070776184044059
ENSMUSG00000074264	0.1101880448593475	0.2264838094921618	0.1162957646328143
ENSMUSG00000058443	0.10762966300916421	0.2686870135062675	0.3763166765154317
ENSMUSG00000042985	0.10753792827508313	0.3350370111219026	0.4425749393969857
ENSMUSG00000064345	0.10679369703375072	0.26934780834221	0.1625541113084593
ENSMUSG00000002910	0.10677037352478203	0.4238779689623615	0.3171075954375795
ENSMUSG00000065016	0.10504360089980769	0.3905611815801574	0.2855175806803497
ENSMUSG00000118698	0.10172092589261972	0.4395541706559728	0.3378332447633531
ENSMUSG00000043144	0.1013660574080526	0.359646734414795	0.4610127918228476
ENSMUSG00000119640	0.10092657938652802	0.2344382200898442	0.3353647994763722
ENSMUSG00000074527	0.10073788888569052	0.3596472588224508	0.2589093699367603
ENSMUSG00000102602	0.09734496259941988	0.3098101640109459	0.4071551266103658
ENSMUSG00000031775	0.09688833529663937	0.3368502116922029	0.4337385469888423
ENSMUSG00000019970	0.09661546615787192	0.3351268436888931	0.2385113775310212
ENSMUSG00000102070	0.09657115359355684	0.4361384756526716	0.3395673220591148
ENSMUSG00000099519	0.09617875937641951	0.4789287403273112	0.3827499809508917
ENSMUSG00000051262	0.09399102406520737	0.3184744585669125	0.2244834345017051
ENSMUSG00000046794	0.0934942824634562	0.328790819821961	0.4222851022854172
ENSMUSG00000005268	0.09305217393524429	0.4072241668478432	0.3141719929125989
ENSMUSG00000031725	0.0925011754385684	0.3426796097029884	0.25017843426442
ENSMUSG00000067149	0.09226261926495483	0.3359123975780975	0.4281750168430523
ENSMUSG00000037016	0.09218720781466438	0.3575931674156324	0.265405959600968
ENSMUSG00000029368	0.09166270722114883	0.4054015317372017	0.3137388245160529
ENSMUSG00000090733	0.0912848224329203	0.3814084976516055	0.2901236752186852
ENSMUSG00000042834	0.09128210157153932	0.320963326042592	0.4122454276141313
ENSMUSG00000023272	0.08859617817386917	0.3043184739114653	0.3929146520853345
ENSMUSG00000004951	0.0868513446904069	0.4536357373729162	0.3667843926825093
ENSMUSG00000018830	0.08680232132114529	0.2590888564345115	0.3458911777556568
ENSMUSG00000029188	0.0863501735550391	0.3553553240081294	0.2690051504530903
ENSMUSG00000021207	0.0858338939014561	0.3217480819211233	0.2359141880196672
ENSMUSG00000000628	0.0855514841973034	0.3613513989707148	0.4469028831680182
ENSMUSG00000031762	0.0847953005581672	0.2669274776254396	0.3517227781836068
ENSMUSG00000059201	0.0841584525267674	0.3427686445579425	0.4269270970847099
ENSMUSG00000020889	0.08409080040173855	0.4561124575240473	0.3720216571223087
ENSMUSG00000058740	0.08352407165997888	0.3321947439243383	0.2486706722643594
ENSMUSG00000052562	0.08206374322150961	0.310949893337921	0.3930136365594306
ENSMUSG00000027186	0.08135157710880597	0.3281968480361325	0.4095484251449385
ENSMUSG00000093701	0.0804103997862729	0.4067924064972575	0.3263820067109846
ENSMUSG00000020163	0.07981807599550128	0.286782650766022	0.3666007267615233
ENSMUSG00000041828	0.07944514700333882	0.3319997076684823	0.2525545606651435
ENSMUSG00000062488	0.0793776092167365	0.2166562940445603	0.2960339032612968
ENSMUSG00000034739	0.07854091082305209	0.302709697401191	0.3812506082242431
ENSMUSG00000020142	0.07843445722596268	0.2476116026976143	0.326046059923577
ENSMUSG00000064945	0.07838714560657428	0.338428318061752	0.4168154636683263
ENSMUSG00000091405	0.07823347539182637	0.3146920352674514	0.236458559875625
ENSMUSG00000023036	0.07808087336173686	0.352232618116025	0.4303134914777619
ENSMUSG00000094932	0.07742842822051399	0.3678180026066588	0.2903895743861448
ENSMUSG00000120254	0.07728959213582312	0.216174344843484	0.2934639369793071
ENSMUSG00000075705	0.07726648121922597	0.3393043400553641	0.2620378588361381
ENSMUSG00000022218	0.07711633651484179	0.439140465941191	0.3620241294263492
ENSMUSG00000026435	0.0770894563748224	0.3400511841618243	0.2629617277870019
ENSMUSG00000121785	0.07707550181882489	0.4745454456126451	0.3974699437938202
ENSMUSG00000083012	0.0762809149507826	0.3003648469127072	0.3766457618634898
ENSMUSG00000047844	0.07537997777961247	0.3609294628417444	0.2855494850621319
ENSMUSG00000030087	0.0753540583590625	0.3403462518444239	0.4157003102034864
ENSMUSG00000109314	0.07529686277383618	0.3902519103875345	0.3149550476136983
ENSMUSG00000034371	0.07482714533909879	0.2885804287351032	0.2137532833960044
ENSMUSG00000023034	0.0745331464284002	0.3304191951782083	0.2558860487498081
ENSMUSG00000065232	0.07436975020076908	0.3742988710470116	0.2999291208462425
ENSMUSG00000096768	0.07394396939855014	0.281598270690424	0.3555422400889741
ENSMUSG00000035031	0.07390466644492483	0.362276852699604	0.2883721862546792
ENSMUSG00000044254	0.07371924236329619	0.3494277515648764	0.2757085092015802
ENSMUSG00000028327	0.07302014214678149	0.2997807407295604	0.3728008828763419
ENSMUSG00000028681	0.07274546349273309	0.3906523701237144	0.3179069066309813
