gene	ISS_minus_LAR_delta	ISS_delta	LAR_delta
ENSMUSG00002074875	0.1577913612167492	0.464679000495526	0.3068876392787768
ENSMUSG00000068263	0.1425787923214047	0.3906338110159572	0.2480550186945525
ENSMUSG00000102070	0.1381912859410967	0.4361384756526716	0.2979471897115749
ENSMUSG00000028681	0.13543873835243941	0.3906523701237144	0.255213631771275
ENSMUSG00000047907	0.1300049561087361	0.3584488467939138	0.2284438906851777
ENSMUSG00000039196	0.12397196221391282	0.5049011958835241	0.3809292336696113
ENSMUSG00000093701	0.12388636492829691	0.4067924064972575	0.2829060415689606
ENSMUSG00000010064	0.11787475015939397	0.4382328512156414	0.3203581010562474
ENSMUSG00000026077	0.11731991292135496	0.4018051655502505	0.2844852526288955
ENSMUSG00000031016	0.11648748610230092	0.3656622768517792	0.2491747907494783
ENSMUSG00000105096	0.11584949351395771	0.3581302575574572	0.2422807640434995
ENSMUSG00000038526	0.11493550525433832	0.4648451602190755	0.3499096549647372
ENSMUSG00000061353	0.1145445593187554	0.3315640800769702	0.2170195207582148
ENSMUSG00000020889	0.11251533216235288	0.4561124575240473	0.3435971253616944
ENSMUSG00000074527	0.1122863370858517	0.3596472588224508	0.2473609217365991
ENSMUSG00000065725	0.10828144447439991	0.3678401608388067	0.2595587163644068
ENSMUSG00000044254	0.10761654407674467	0.3494277515648764	0.2418112074881317
ENSMUSG00000090021	0.10689637891464451	0.3055928245531607	0.1986964456385162
ENSMUSG00000026814	0.1054389217364608	0.420258549674824	0.3148196279383632
ENSMUSG00000090958	0.10443415535249989	0.3845786420535123	0.2801444867010124
ENSMUSG00000039058	0.10420295287957401	0.2920554654768025	0.1878525125972285
ENSMUSG00000064345	0.10399812245730619	0.26934780834221	0.1653496858849038
ENSMUSG00000032226	0.10217507145060717	0.2883434997382254	0.1861684282876182
ENSMUSG00000029188	0.10074648195786523	0.3553553240081294	0.2546088420502642
ENSMUSG00000027533	0.09940510109945366	0.3785252088899608	0.2791201077905071
ENSMUSG00000119838	0.09888787739120031	0.3639949689782246	0.2651070915870243
ENSMUSG00000095675	0.09817065805386932	0.3575104389506466	0.2593397808967773
ENSMUSG00000021775	0.09810957618983812	0.359503156181172	0.2613935799913339
ENSMUSG00000005373	0.09797285429412711	0.3791225761483526	0.2811497218542255
ENSMUSG00000051262	0.09794915281863248	0.3184744585669125	0.22052530574828
ENSMUSG00000019929	0.09760513728450837	0.3624283927974454	0.264823255512937
ENSMUSG00000050097	0.09750656501782362	0.3261539597073416	0.228647394689518
ENSMUSG00000118936	0.09732236130990829	0.3879821285616106	0.2906597672517023
ENSMUSG00000049241	0.09661054049016551	0.3217612547278697	0.2251507142377042
ENSMUSG00000104094	0.09605872302007601	0.2846533367368792	0.1885946137168032
ENSMUSG00000108884	0.09531549716295651	0.3624534037912361	0.2671379066282796
ENSMUSG00000105985	0.09452501695406207	0.3684769810384442	0.2739519640843821
ENSMUSG00000089255	0.09399485389974416	0.3635665322136917	0.2695716783139475
ENSMUSG00000037016	0.09317837939211743	0.3575931674156324	0.264414788023515
ENSMUSG00000065208	0.09307093355141838	0.3726357692253301	0.2795648356739117
ENSMUSG00000038415	0.09298747060265289	0.3868118660368094	0.2938243954341565
ENSMUSG00000104369	0.09077605172879522	0.3195173272190253	0.2287412754902301
ENSMUSG00000011305	0.08930401140665428	0.4212028477870274	0.3318988363803731
ENSMUSG00000079362	0.0884246494711744	0.3996631926686663	0.3112385431974919
ENSMUSG00000070661	0.08631861456795831	0.3941801574003005	0.3078615428323422
