gene	ISS_minus_LAR_delta	ISS_delta	LAR_delta
ENSMUSG00000043144	0.1665424098066569	0.4610127918228476	0.2944703820161907
ENSMUSG00000000628	0.15025692569103888	0.4469028831680182	0.2966459574769793
ENSMUSG00000077222	0.1460287047477784	0.3796782237437702	0.2336495189959918
ENSMUSG00000118837	0.1407259560812415	0.4611666982937186	0.3204407422124771
ENSMUSG00000102602	0.13947616268042018	0.4071551266103658	0.2676789639299456
ENSMUSG00000104030	0.13752397438909542	0.3702437255333687	0.2327197511442733
ENSMUSG00000058443	0.13564207839357642	0.3763166765154317	0.2406745981218553
ENSMUSG00000021388	0.13422086305596018	0.3801504646643863	0.2459296016084261
ENSMUSG00000064945	0.13112158974646326	0.4168154636683263	0.285693873921863
ENSMUSG00000067847	0.1309386062987191	0.3675374627485289	0.2365988564498098
ENSMUSG00000119776	0.12847188347704058	0.5027602790228393	0.3742883955457987
ENSMUSG00000039519	0.12432692325966377	0.3802786935374797	0.2559517702778159
ENSMUSG00000079357	0.12389808911707573	0.4176163451712378	0.2937182560541621
ENSMUSG00000026837	0.12239863167095222	0.4351156163203814	0.3127169846494292
ENSMUSG00000048126	0.11628582578846042	0.3690534005436386	0.2527675747551782
ENSMUSG00000060093	0.1156269049153118	0.4622289456189024	0.3466020407035906
ENSMUSG00000002289	0.1111564488389063	0.4833772757054594	0.3722208268665531
ENSMUSG00000023272	0.1088849817113069	0.3929146520853345	0.2840296703740276
ENSMUSG00000026930	0.1087396031938595	0.3882629338124449	0.2795233306185854
ENSMUSG00000064563	0.1084507644491085	0.4104321676888214	0.3019814032397129
ENSMUSG00000038393	0.10747985036426477	0.3742101404410841	0.2667302900768193
ENSMUSG00000080365	0.1069675574502742	0.3595285266370608	0.2525609691867866
ENSMUSG00000042985	0.1055828014880194	0.4425749393969857	0.3369921379089663
ENSMUSG00000089665	0.10555007304911768	0.3254905809956913	0.2199405079465736
ENSMUSG00000090165	0.10469731717289316	0.3758490177834722	0.271151700610579
ENSMUSG00000101609	0.10161097835756722	0.3194808932650856	0.2178699149075184
ENSMUSG00000029830	0.10039228826577348	0.3183704117523732	0.2179781234865997
ENSMUSG00000042834	0.10032541957052121	0.4122454276141313	0.3119200080436101
ENSMUSG00002075453	0.09693899969554493	0.4206739617698123	0.3237349620742674
ENSMUSG00000096010	0.0964682156730825	0.3647686466155689	0.2683004309424864
ENSMUSG00000120254	0.09628328345510723	0.2934639369793071	0.1971806535241999
ENSMUSG00000020593	0.09617355528553093	0.2867615908823367	0.1905880355968058
ENSMUSG00000118815	0.09589335885498212	0.3449824910372558	0.2490891321822737
ENSMUSG00000067719	0.09510417862833526	0.406997142054584	0.3118929634262487
ENSMUSG00000019326	0.09508356437625998	0.3622765456758318	0.2671929812995718
ENSMUSG00000085541	0.09246199023206761	0.2979144486311122	0.2054524583990446
ENSMUSG00000037625	0.09242915316984171	0.3224213312979443	0.2299921781281026
ENSMUSG00000058571	0.0921820343098862	0.394453792471518	0.3022717581616318
ENSMUSG00000026077	0.09180582924720121	0.3749602473035631	0.2831544180563619
ENSMUSG00000020142	0.0917644385226202	0.326046059923577	0.2342816214009568
ENSMUSG00000062997	0.09163171434753331	0.2407183330742336	0.1490866187267003
ENSMUSG00000107068	0.0899824046806969	0.4073629806431638	0.3173805759624669
ENSMUSG00000095675	0.08951120152968933	0.3555793905673431	0.2660681890376538
ENSMUSG00000003477	0.0886725526548835	0.3474153763424261	0.2587428236875426
ENSMUSG00000027074	0.0882458594408021	0.3880148933028626	0.2997690338620605
ENSMUSG00000038775	0.08752679947390396	0.4707959443114977	0.3832691448375937
ENSMUSG00000027246	0.08693843525557493	0.3807983006113909	0.293859865355816
ENSMUSG00000004988	0.08655541276383791	0.3119660782171546	0.2254106654533167
ENSMUSG00000028327	0.08602669141211228	0.3728008828763419	0.2867741914642296
ENSMUSG00000050097	0.08567752462149164	0.3410735204122544	0.2553959957907628
ENSMUSG00000063415	0.0856673064067976	0.4198057450799284	0.3341384386731308
ENSMUSG00000029478	0.08561281073779492	0.3716391687606565	0.2860263580228616
ENSMUSG00000031762	0.0845932290227302	0.3517227781836068	0.2671295491608766
ENSMUSG00000015090	0.08449990376113498	0.2998321576504311	0.2153322538892961
ENSMUSG00000097421	0.08411464821988457	0.4465266350256474	0.3624119868057628
ENSMUSG00000119476	0.08303060695569142	0.3765935470184472	0.2935629400627558
ENSMUSG00000020865	0.08301203308639202	0.2941716310203693	0.2111595979339773
ENSMUSG00000044786	0.0828060548086613	0.3155092807267122	0.2327032259180509
ENSMUSG00000016194	0.08255566349076049	0.3909766176276951	0.3084209541369346
ENSMUSG00000034739	0.08153360932849613	0.3812506082242431	0.299716998895747
ENSMUSG00000119895	0.08134144410200927	0.4032269269833152	0.3218854828813059
ENSMUSG00000115420	0.0810156520796882	0.3573432965290958	0.2763276444494076
ENSMUSG00000028989	0.0809342893166844	0.3611922295773432	0.2802579402606588
ENSMUSG00000037440	0.08080664880439925	0.357039006550704	0.2762323577463047
ENSMUSG00000102594	0.0803522713220598	0.3917397903476881	0.3113875190256283
ENSMUSG00000094306	0.080335759022788	0.2469421391722606	0.1666063801494726
ENSMUSG00000079015	0.08007624150066384	0.2542543909958209	0.1741781494951571
ENSMUSG00000076609	0.0800493063608137	0.4174362905257703	0.3373869841649566
ENSMUSG00000021214	0.07998821974311421	0.3489157252489044	0.2689275055057902
ENSMUSG00000022853	0.07942127731747187	0.3272778268034798	0.2478565494860079
ENSMUSG00000037411	0.07857881052708593	0.3859213428329165	0.3073425323058306
ENSMUSG00000027360	0.07841664968289508	0.3836397925547598	0.3052231428718647
ENSMUSG00000070645	0.07826634443211422	0.3328675514831978	0.2546012070510836
ENSMUSG00000119640	0.0780161313285	0.3353647994763722	0.2573486681478722
ENSMUSG00000021453	0.0779357252411095	0.3131427580670429	0.2352070328259334
ENSMUSG00000069310	0.07712508799855872	0.3580973421708824	0.2809722541723237
ENSMUSG00000030111	0.07711556151044291	0.3615066119522793	0.2843910504418364
ENSMUSG00000116993	0.07661080890157451	0.4984404331001729	0.4218296241985984
ENSMUSG00000031604	0.07575911939461977	0.3446682298401483	0.2689091104455285
ENSMUSG00000079042	0.073542127391371	0.3772741780733689	0.3037320506819979
ENSMUSG00000034522	0.07304399632111491	0.3428627269495798	0.2698187306284649
