gene	delta_interaction	delta_old	delta_yng
ENSMUSG00000021702	0.14089704079424142	0.4657909669773571	0.3248939261831157
ENSMUSG00000039519	0.1325245796561043	0.3884763499339202	0.2559517702778159
ENSMUSG00000020889	0.13115623081954447	0.3435971253616944	0.4747533561812389
ENSMUSG00000032978	0.1235215443347506	0.453876469548936	0.3303549252141854
ENSMUSG00000079165	0.1233840003486128	0.2653399874198597	0.3887239877684725
ENSMUSG00000043144	0.1224532033210658	0.4169235853372565	0.2944703820161907
ENSMUSG00000032068	0.12215671989653837	0.3897515030356394	0.267594783139101
ENSMUSG00000059901	0.12177293998462829	0.4800263998246395	0.3582534598400112
ENSMUSG00000031167	0.12170072028467571	0.3218831734369233	0.443583893721599
ENSMUSG00000105434	0.1201773446869755	0.4004461598841778	0.2802688151972023
ENSMUSG00000055333	0.1141061922341075	0.3727081730805864	0.2586019808464789
ENSMUSG00000095616	0.11385461779044367	0.34079367252277	0.2269390547323263
ENSMUSG00000002289	0.11096595633228706	0.4831867831988402	0.3722208268665531
ENSMUSG00000050074	0.10747156254494783	0.3822865728007908	0.274815010255843
ENSMUSG00000058620	0.10690203935850012	0.4568801456898906	0.3499781063313905
ENSMUSG00000074024	0.1047839135048888	0.2430534411987726	0.3478373547036614
ENSMUSG00000001506	0.10224318558877071	0.3646184449714146	0.2623752593826439
ENSMUSG00000032575	0.10211079120840466	0.3634695726192688	0.4655803638276735
ENSMUSG00002075983	0.1006399577384311	0.1520804875768505	0.2527204453152816
ENSMUSG00000048997	0.10043946295548262	0.4268786803011752	0.3264392173456926
ENSMUSG00000028214	0.10037209874849701	0.4511255338642302	0.3507534351157332
ENSMUSG00000001930	0.09978111956829633	0.4513848643505382	0.3516037447822419
ENSMUSG00000022887	0.09818795828964788	0.361402922765475	0.2632149644758271
ENSMUSG00000002910	0.09687711514093678	0.3401108984521046	0.4369880135930414
ENSMUSG00000026837	0.09595768763695389	0.4086746722863831	0.3127169846494292
ENSMUSG00000034739	0.09551692744084522	0.3952339263365922	0.299716998895747
ENSMUSG00000107068	0.0952028605177821	0.412583436480249	0.3173805759624669
ENSMUSG00000097324	0.09447237504330952	0.3060638757304154	0.4005362507737249
ENSMUSG00000023120	0.09359527908877571	0.2169769186845861	0.3105721977733618
ENSMUSG00000065226	0.09100232528867813	0.4254483498501586	0.3344460245614805
ENSMUSG00000058258	0.08994987839828728	0.4221199796414178	0.3321701012431305
ENSMUSG00000050359	0.08991052006582509	0.3272218887269784	0.2373113686611533
ENSMUSG00000077222	0.08967142101027642	0.3233209400062682	0.2336495189959918
ENSMUSG00000064427	0.08933539646990901	0.3219819791438837	0.2326465826739747
ENSMUSG00000015134	0.08724661504158937	0.4622927839678381	0.3750461689262487
ENSMUSG00000065778	0.0868145999470632	0.3621893979624941	0.2753747980154309
ENSMUSG00000085894	0.08675592973435808	0.3768382774637046	0.2900823477293465
ENSMUSG00000076609	0.08613735479880491	0.4235243389637615	0.3373869841649566
ENSMUSG00000020609	0.08441547300766933	0.3049642326261491	0.3893797056338184
ENSMUSG00000079362	0.08423405658932404	0.3112385431974919	0.3954725997868159
ENSMUSG00000078875	0.08410454277707838	0.270891637139716	0.1867870943626376
ENSMUSG00000104030	0.0838971257609083	0.3166168769051816	0.2327197511442733
ENSMUSG00000028003	0.08376550572159572	0.2188101451941307	0.3025756509157264
ENSMUSG00000118718	0.08333666477771379	0.3939124733286374	0.3105758085509236
ENSMUSG00000031431	0.08295903301433699	0.3699489113523833	0.2869898783380463
ENSMUSG00000031994	0.08239699744916629	0.3711864762734014	0.4535834737225677
ENSMUSG00000121785	0.0808762290005669	0.4924459855444413	0.4115697565438744
ENSMUSG00000022304	0.08053654059597501	0.3101136509084189	0.2295771103124439
ENSMUSG00000064655	0.07986243973668711	0.2401234401520621	0.3199858798887492
ENSMUSG00000020532	0.07962977539653487	0.2478956268121375	0.3275254022086724
ENSMUSG00000120992	0.07920558223830601	0.2847287327050294	0.2055231504667234
ENSMUSG00000070661	0.07914911498413613	0.3078615428323422	0.3870106578164783
ENSMUSG00000032578	0.07845615337181239	0.3288691930246472	0.2504130396528348
ENSMUSG00000061175	0.0781842837718556	0.2816597792721628	0.2034754955003072
ENSMUSG00000032420	0.07711502389758451	0.2455931675777852	0.1684781436802007
ENSMUSG00000068964	0.07643839348549189	0.2495275305257563	0.3259659240112482
ENSMUSG00000027360	0.07638319832076673	0.3816063411926314	0.3052231428718647
ENSMUSG00000020593	0.0762305803350796	0.2668186159318854	0.1905880355968058
ENSMUSG00000041237	0.0761007188048547	0.2198901559392707	0.2959908747441254
ENSMUSG00000040564	0.0760391394671861	0.340355867416948	0.4163950068841341
ENSMUSG00000028327	0.07581956813063179	0.3625937595948614	0.2867741914642296
ENSMUSG00000083405	0.07576377035219678	0.3510968127496355	0.2753330423974387
ENSMUSG00000085334	0.07550484877489166	0.301272836296297	0.2257679875214053
ENSMUSG00000019970	0.07542748377646002	0.3457926120102367	0.2703651282337767
ENSMUSG00000021025	0.07537510513967338	0.2532727922669574	0.3286478974066308
ENSMUSG00000037552	0.07536588396971117	0.2280145147661291	0.3033803987358403
ENSMUSG00000048489	0.0747638125663262	0.4093164650054188	0.3345526524390926
ENSMUSG00000059824	0.07470474717277331	0.2873257592848569	0.3620305064576302
ENSMUSG00000097421	0.0746829057929802	0.437094892598743	0.3624119868057628
ENSMUSG00000080440	0.0746811539215036	0.4002636024614446	0.325582448539941
ENSMUSG00000022508	0.07382672280031599	0.2912618548985767	0.3650885776988927
ENSMUSG00000017724	0.07341814289198612	0.3114012402323412	0.2379830973403551
ENSMUSG00000025511	0.0730774700930073	0.3369124720010498	0.2638350019080425
ENSMUSG00000071633	0.0729272594358929	0.2694586509350525	0.1965313914991596
ENSMUSG00000046574	0.072783608746508	0.2310349321817781	0.3038185409282861
ENSMUSG00000060093	0.07258723400690692	0.4191892747104975	0.3466020407035906
ENSMUSG00000089665	0.07241690595163541	0.292357413898209	0.2199405079465736
ENSMUSG00000015568	0.07213677150286052	0.2734269959587985	0.345563767461659
ENSMUSG00000046070	0.07186856499547278	0.3308958585244412	0.2590272935289684
ENSMUSG00000064367	0.0712266497090559	0.4099243188947706	0.3386976691857147
ENSMUSG00000063177	0.070798379442397	0.2170646521809688	0.2878630316233658
ENSMUSG00000058443	0.07076132543347538	0.3114359235553307	0.2406745981218553
ENSMUSG00000005413	0.07054827004841091	0.4636540767605346	0.3931058067121237
ENSMUSG00000068263	0.07050169084461999	0.2480550186945525	0.3185567095391725
ENSMUSG00000062997	0.0702337211794764	0.2193203399061767	0.1490866187267003
ENSMUSG00000044786	0.06991255258212739	0.3026157785001783	0.2327032259180509
ENSMUSG00000030862	0.06907006868688054	0.3630801509222789	0.2940100822353984
ENSMUSG00002076161	0.06904208901446071	0.2832636100652725	0.2142215210508118
ENSMUSG00000079495	0.06881822379112346	0.380049709954095	0.3112314861629715
ENSMUSG00000118837	0.06881179498166151	0.3892525371941386	0.3204407422124771
ENSMUSG00000026930	0.06870844748525129	0.3482317781038367	0.2795233306185854
ENSMUSG00000084174	0.068618094118787	0.3110065734414243	0.2423884793226373
ENSMUSG00000069267	0.0682056911752118	0.465925703893726	0.3977200127185142
ENSMUSG00000118936	0.067773139896319	0.2906597672517023	0.3584329071480213
ENSMUSG00000120983	0.06770000449413621	0.334968406053727	0.2672684015595908
ENSMUSG00000060678	0.06678792995362742	0.3028830890666639	0.3696710190202913
ENSMUSG00000121494	0.06677308018805622	0.3200248642098356	0.2532517840217794
ENSMUSG00000101939	0.0666312422206714	0.2996335698486987	0.2330023276280273
ENSMUSG00000117294	0.0659979997854071	0.4037163449668138	0.3377183451814067
ENSMUSG00000028989	0.0655584946221483	0.3458164348828071	0.2802579402606588
ENSMUSG00000118698	0.06529236853109571	0.4110176235988545	0.3457252550677588
ENSMUSG00000023046	0.06513330286174529	0.3754868828411682	0.4406201857029135
ENSMUSG00000038526	0.0650201539635461	0.3499096549647372	0.4149298089282833
ENSMUSG00000079357	0.06424864286058463	0.3579668989147467	0.2937182560541621
ENSMUSG00000024757	0.06395391579887799	0.3629839083173979	0.2990299925185199
ENSMUSG00000056749	0.06391066882954671	0.2258742431702066	0.2897849119997533
ENSMUSG00000037892	0.06339225256629749	0.2203409321859518	0.2837331847522493
ENSMUSG00000090958	0.06326560210008592	0.2801444867010124	0.3434100888010983
ENSMUSG00000024644	0.06261066580596758	0.3728667657254246	0.310256099919457
ENSMUSG00000037548	0.0625441409588921	0.2071498350357453	0.2696939759946374
ENSMUSG00000088990	0.06245962039911701	0.3350770872592439	0.2726174668601269
ENSMUSG00000119476	0.06244650304798893	0.3560094431107447	0.2935629400627558
ENSMUSG00000072664	0.0623945944043196	0.2013188213870617	0.2637134157913813
ENSMUSG00000027246	0.06223051833481469	0.3560903836906307	0.293859865355816
ENSMUSG00000024526	0.06219270211395378	0.3647848555687167	0.4269775576826705
ENSMUSG00000010064	0.06168082795570151	0.3203581010562474	0.3820389290119489
ENSMUSG00000090021	0.061547060126624004	0.1986964456385162	0.2602435057651402
ENSMUSG00000005268	0.0614733097060805	0.3766006365110506	0.3151273268049701
ENSMUSG00000040998	0.06078727265815159	0.2874291047109175	0.3482163773690691
ENSMUSG00000022583	0.06052015095996249	0.2481454608384286	0.3086656117983911
ENSMUSG00000059810	0.05972902704897548	0.390499386822525	0.3307703597735495
ENSMUSG00000116358	0.05964054034315969	0.4178832548751384	0.3582427145319787
ENSMUSG00000090733	0.059616306789532225	0.3366669067690738	0.396283213558606
ENSMUSG00000023886	0.059602723994300805	0.2134685693602487	0.2730712933545495
ENSMUSG00000075031	0.05942374480804388	0.2976593785440261	0.2382356337359822
ENSMUSG00000099241	0.059292035453049396	0.3757660043593406	0.3164739689062912
ENSMUSG00000093701	0.05896705947339781	0.2829060415689606	0.3418731010423584
ENSMUSG00000044249	0.058957125018363865	0.32146167969823	0.2625045546798661
ENSMUSG00000101609	0.058737618555989135	0.2766075334635075	0.2178699149075184
ENSMUSG00000022372	0.05859256872325613	0.2957324166356213	0.3543249853588774
ENSMUSG00000028339	0.0583540846992259	0.1716783301023012	0.2300324148015271
ENSMUSG00000019874	0.05796416537264487	0.4049335089659404	0.3469693435932955
ENSMUSG00000007097	0.0577805938181406	0.3124679265142339	0.2546873326960933
