gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000007097	85	-1.2119864316657163	-1.3233665271821595	1.7763568394002505e-15	2.1316282072803006e-12
ENSMUSG00000073640	242	-0.30859291767701724	-0.34865769020846743	9.076184248613117e-12	5.44571054916787e-09
ENSMUSG00000100426	137	0.10445694811642303	0.07729177090235965	2.445770252990087e-10	9.783081011960348e-08
ENSMUSG00000044645	216	-0.22153525860048934	-0.1988163886455899	1.4597241415614803e-08	4.379172424684441e-06
ENSMUSG00000094932	280	-0.06001471367199065	-0.056780421507600785	1.844677366413805e-08	4.427225679393132e-06
ENSMUSG00000043496	139	0.32355417311191675	0.22427910990490935	2.3041706875837065e-08	4.608341375167413e-06
ENSMUSG00000021207	111	0.18433485710993322	0.21557075513849758	4.739746328752403e-08	7.771799687139591e-06
ENSMUSG00000070661	120	0.0008995477110147233	-0.0017737601424143035	5.181199791426394e-08	7.771799687139591e-06
ENSMUSG00000048583	150	-0.052610678412019114	-0.05573668155168553	6.21177622672775e-08	8.282368302303666e-06
ENSMUSG00000095079	173	-0.6879762808792307	-0.5668207367921752	1.4401971593080987e-07	1.648235619504264e-05
ENSMUSG00000120777	301	0.12246769284829552	0.10436274469146448	1.510882651212242e-07	1.648235619504264e-05
ENSMUSG00000034739	138	0.2557802464812964	0.2852305036749933	3.7599244984143354e-07	3.7599244984143354e-05
ENSMUSG00000074634	274	0.4529311098391191	0.32178180874003964	7.126076627672617e-07	6.577916887082417e-05
ENSMUSG00000114279	104	0.17333583338185848	0.1708396945105326	9.502975071296049e-07	8.145407203968042e-05
ENSMUSG00000029700	155	-0.08529571369290334	-0.11981832535720553	1.296201004752362e-06	0.00010369608038018896
ENSMUSG00000005413	197	0.2257724238559601	0.28125459132618896	5.6737019562547175e-06	0.0004255276467191038
ENSMUSG00000091021	152	-0.29916800111532116	-0.25720224207692827	7.857845467973412e-06	0.0005546714447981232
ENSMUSG00000037725	80	-0.2781817835755628	-0.2624864745154177	1.6926041419229598e-05	0.0011284027612819731
ENSMUSG00000092805	108	-0.3415537609718753	-0.2695252289430226	2.105100486882172e-05	0.0013295371496097929
ENSMUSG00000028970	91	-0.06699561551213076	-0.061415306533907935	2.9583015634937482e-05	0.0017365006431267563
ENSMUSG00000092746	172	-0.27382469982840235	-0.20248736557866642	3.0388761254718233e-05	0.0017365006431267563
ENSMUSG00000078875	274	-0.5309735920280225	-0.48074028546036257	3.601726781132797e-05	0.001964578244254253
ENSMUSG00000056328	158	0.02834168802946841	0.023670278073856715	4.3685782482372204e-05	0.0022792582164715934
ENSMUSG00000049539	91	0.16588703170418867	0.1600253718643625	5.2905594162377945e-05	0.0026452797081188972
ENSMUSG00000068893	82	0.9216811992227991	0.77482321299716	5.5829394904560736e-05	0.0026798109554189153
ENSMUSG00000067149	132	-0.5998778252862398	-0.473124583477876	6.746685467295954e-05	0.0031138548310596713
ENSMUSG00000063556	177	-0.014516387879847999	-0.011998496494756655	7.266646868453464e-05	0.0032296208304237618
ENSMUSG00000022026	146	0.05172862800536829	0.040229571232355765	8.694290832911289e-05	0.0037261246426762667
ENSMUSG00000037411	166	0.29818099914118545	0.2492319753655774	9.095569692685324e-05	0.0037636840107663407
ENSMUSG00000069008	211	0.19323702082037847	0.14113583212797948	0.00010875264826171183	0.004206281722477198
ENSMUSG00000054999	174	0.20909363068640263	0.18681542384577504	0.00011187362963704928	0.004206281722477198
ENSMUSG00000108884	87	-0.011765816807750665	-0.011759213359992624	0.00011305016837726001	0.004206281722477198
ENSMUSG00000038526	117	0.5712105840444541	0.45166208698199223	0.00011567274736812294	0.004206281722477198
ENSMUSG00000037625	101	0.3248564139008476	0.263897348514252	0.00016389649003800688	0.005656707717816012
ENSMUSG00000062248	98	0.004972483217714705	0.0025044697575119235	0.0001671746126845619	0.005656707717816012
ENSMUSG00000028553	158	-0.36149345114827397	-0.37213863635976496	0.00016970123153448036	0.005656707717816012
ENSMUSG00000065701	97	-0.8049941221252085	-0.6257922494209169	0.00019323622597655632	0.006267120842482907
ENSMUSG00000030096	114	-0.2934300784021634	-0.24395383022899547	0.0002846073069024957	0.00898759916534197
ENSMUSG00000069300	97	-0.5747024009004239	-0.48702205185287817	0.0003269404953721855	0.009835618922225953
ENSMUSG00000022435	82	0.8520361472386877	0.7604568778862648	0.0003278539640741984	0.009835618922225953
ENSMUSG00000097421	123	0.09287144243717255	0.11787274348921957	0.00040322899990041794	0.011669787348427592
ENSMUSG00000030935	147	0.0995005708944494	0.07446507394407134	0.0004084425571949657	0.011669787348427592
ENSMUSG00000028937	97	-0.3456677028385463	-0.29985067906791246	0.00045246281425725954	0.012626869235086312
ENSMUSG00000013611	84	1.0555503368377686	0.8666588820820076	0.00047125606074316373	0.012852438020268102
ENSMUSG00000061906	164	-0.005703892587917595	-0.004896284964539107	0.0005615828507626874	0.014975542687004998
ENSMUSG00000031167	118	-0.2732326730620126	-0.18118926706617977	0.0006120392592239288	0.01574614423114304
ENSMUSG00000041293	91	0.5884244753047823	0.5305550105739134	0.0006167239823864357	0.01574614423114304
ENSMUSG00000003617	89	-0.3522775541990961	-0.3206828539135271	0.0006312602479616736	0.01578150619904184
ENSMUSG00000074063	121	0.2646538674831345	0.25216829536435525	0.0006624812075902708	0.016224029573639286
ENSMUSG00000025488	106	-0.5515715894754978	-0.43317029161865417	0.0007055813836769342	0.01693395320824642
ENSMUSG00000030546	80	-0.2812536146491798	-0.22657435591715835	0.0007609950217507544	0.01772814550152085
ENSMUSG00000079357	160	0.36470969207584836	0.28981246148437856	0.0007682196383992368	0.01772814550152085
ENSMUSG00000021228	99	-0.0869807764887809	-0.07334425677048023	0.0008491707145191763	0.019112542596354407
ENSMUSG00000006724	220	0.37321573458611884	0.32755689147825595	0.0008600644168359484	0.019112542596354407
ENSMUSG00000066632	231	-0.17994735655375171	-0.14590722443699775	0.0009437530201229505	0.02059097498450074
ENSMUSG00000028214	121	0.6100909020751696	0.5295992635177678	0.0009818373201312403	0.021039371145669433
ENSMUSG00000089960	137	0.15556067992001443	0.13916463859010272	0.0010552207511640432	0.021859895601388006
ENSMUSG00000069310	85	-0.9146212846040767	-0.665043410729043	0.0010565616207337536	0.021859895601388006
ENSMUSG00000048572	125	0.1113393695093721	0.09578817390765644	0.0010935090897215005	0.022240862841793232
ENSMUSG00000100210	80	-0.8537626863922954	-0.6992456901307598	0.0012190330330957844	0.024380660661915687
ENSMUSG00000020038	90	0.02755883671343418	0.021609456957397463	0.001528486946713481	0.030068595673052083
ENSMUSG00000020911	80	0.8856935358373419	0.7050190818324445	0.0016676520016074559	0.03227713551498302
ENSMUSG00002075625	188	-0.09131585713475897	-0.07948846292426082	0.0017464664143906905	0.03326602694077506
ENSMUSG00000062727	94	-0.7447436748072493	-0.6227403570951155	0.0019792564894071107	0.036596666871578074
ENSMUSG00000078898	251	-0.15572805567644843	-0.12257402105814535	0.001994695006867664	0.036596666871578074
ENSMUSG00000031861	91	-0.22878903150558536	-0.169137688672189	0.002051407728268617	0.036596666871578074
ENSMUSG00000026043	151	0.2695051951333873	0.22722029014279632	0.002056831678026283	0.036596666871578074
ENSMUSG00000096768	202	0.1744019990786894	0.17183174904660753	0.0020738111227227574	0.036596666871578074
ENSMUSG00000037563	169	-0.035245894640684304	-0.02656769111243695	0.00211463758093422	0.036776305755377735
ENSMUSG00000025889	100	-0.19827732080594063	-0.17829911919656483	0.0021904906497596244	0.03755126828159356
ENSMUSG00000038489	81	-0.4245772212743778	-0.39961946731103387	0.0025302877162312054	0.04276542618982319
ENSMUSG00000028927	102	0.06962245451286365	0.06232025801054039	0.0027283831959025173	0.04505076445461246
ENSMUSG00000079105	144	0.23426558114588225	0.19550143657156904	0.0027754300846726254	0.04505076445461246
ENSMUSG00000069267	83	-0.4229689151048709	-0.39275467449245094	0.0027781304747011015	0.04505076445461246
ENSMUSG00000038415	116	-0.07188718523829889	-0.06850756217061914	0.0028744280738617345	0.04599084918178775
ENSMUSG00000068744	117	-0.13439615666866508	-0.19492712392822523	0.002929422810014626	0.046254044368651985
