gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000078896	235	0.37844909392297327	0.7052977537056807	0.0	0.0
ENSMUSG00000094932	280	-0.018328196089715233	-0.024857456621584183	2.0761170560490427e-14	1.2456702336294256e-11
ENSMUSG00000069307	183	0.8435432143509421	0.8795058277307516	4.829470157119431e-14	1.9317880628477724e-11
ENSMUSG00000073640	242	0.26567537640221406	0.3854550960409217	5.621836329794405e-12	1.6865508989383216e-09
ENSMUSG00000120777	301	0.15023786909878115	0.22027652704238732	1.909661317966993e-11	4.583187163120783e-09
ENSMUSG00000077391	117	0.40085841715335935	0.5666094215518512	4.692853439181022e-09	9.385706878362043e-07
ENSMUSG00000076617	206	-0.41375117243151216	-0.5537225257947844	1.1320595461050686e-08	1.940673507608689e-06
ENSMUSG00000094306	282	-0.10727098137140476	-0.1344768305707319	1.3638754681188914e-08	2.045813202178337e-06
ENSMUSG00000065701	97	0.7158799139782775	0.9346996227519965	2.8053822265228234e-08	3.7405096353637646e-06
ENSMUSG00002076696	82	0.81245914674364	1.01676590996845	5.384872764357951e-07	6.461847317229541e-05
ENSMUSG00000006574	207	0.07639494128525282	0.09962549551046437	6.052573769954606e-07	6.602807749041388e-05
ENSMUSG00000064945	98	0.44565307209268146	0.531174460399394	6.867610002903035e-07	6.867610002903035e-05
ENSMUSG00000079165	90	0.4782311606453705	0.649309453343464	1.7859015890575591e-06	0.00016485245437454393
ENSMUSG00000092746	172	0.25225037857889954	0.2845549701314861	2.58425420907038e-06	0.000221507503634604
ENSMUSG00000119838	139	0.40721542239189096	0.6346086043094423	1.4729522472722856e-05	0.0011783617978178285
ENSMUSG00000087935	123	0.3608995901420697	0.46821729082787455	6.118045776037917e-05	0.004588534332028438
ENSMUSG00000064604	118	0.5396121673285945	0.6251401315798616	0.00011632492421420615	0.007589134955700659
ENSMUSG00000026435	138	-0.29725606590509357	-0.3634623253573674	0.00011781035146185559	0.007589134955700659
ENSMUSG00000096768	202	0.04178458964452017	0.05284257950263872	0.00012016130346526044	0.007589134955700659
ENSMUSG00000092805	108	0.30433873742585943	0.40009661052239315	0.00020863919253821805	0.012518351552293083
ENSMUSG00000012443	80	0.19203729792498203	0.31434343562165684	0.0003163465613374994	0.018076946362142823
ENSMUSG00000079357	160	0.06537787914276266	0.07832157450789452	0.00044041821704743356	0.02402281183895092
ENSMUSG00000037625	101	0.057956317067145526	0.06785022276760906	0.0005230532657639619	0.027289735605076276
ENSMUSG00000041293	91	-0.22006854936480177	-0.32347880197155415	0.000736721496494841	0.03683607482474205
ENSMUSG00000021388	107	-0.3457018919289108	-0.45988779957517506	0.0012506365044938628	0.06003055221570541
ENSMUSG00000079363	135	-0.484150143712757	-0.5145032185188646	0.0013835438166361902	0.061632081364251495
ENSMUSG00000068744	117	0.16879029572010087	0.29409222509983574	0.0013867218306956586	0.061632081364251495
ENSMUSG00000112441	89	-0.13404878079891366	-0.17484035649737983	0.0022532576211780064	0.0965681837647717
ENSMUSG00000040562	80	0.16912072580307613	0.17507543165425812	0.0023704565630255914	0.0980878577803693
ENSMUSG00000028369	81	-0.5007178544998173	-0.67544442444198	0.0026138748478549134	0.10455499391419654
ENSMUSG00000016763	100	-0.3211847290396719	-0.3322259960274197	0.0033755963044033166	0.13066824404141872
ENSMUSG00000030218	128	0.058038890454919924	0.07127040730231163	0.00625613367504485	0.2346050128141819
ENSMUSG00000087881	85	0.6533963710069666	1.0132497306077728	0.008468307285740995	0.307938446754218
ENSMUSG00000021614	95	-0.27247412502765495	-0.32026257293983584	0.010139542036258664	0.3578661895150117
ENSMUSG00000076609	126	0.08604806326329612	0.1039103367075393	0.01161056174310593	0.3980764026207747
ENSMUSG00000069874	87	-0.1245880022645019	-0.241483991345594	0.016652203210579475	0.5550734403526492
ENSMUSG00000102145	86	0.0468529379344535	0.04661760530744162	0.017591008674028186	0.570519200238752
ENSMUSG00000052516	89	-0.22891391366720326	-0.2981991997823719	0.020486787848748578	0.6469511952236393
ENSMUSG00000002055	113	-0.10954377055168175	-0.22802824576646322	0.02120692343649433	0.6525207211229025
ENSMUSG00000032060	80	0.3523463529534634	0.49265689428169823	0.023207911662464387	0.681246781809394
ENSMUSG00000046275	81	-0.3578141063451762	-0.3862227460709798	0.023275931711820963	0.681246781809394
ENSMUSG00000058571	102	-0.23917652070522238	-0.30788328697436235	0.02845049685528911	0.8128713387225459
ENSMUSG00000110040	186	-0.07938214354217027	-0.12097770460701479	0.029882237138992518	0.8339228969021167
