gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000094932	280	-0.010937252454460877	-0.01588091014412784	0.0	0.0
ENSMUSG00000094306	282	-0.12395222783088755	-0.19877262988968225	0.0	0.0
ENSMUSG00000070645	179	0.16494938842952125	0.3303875309486446	6.750155989720952e-14	2.7000623958883807e-11
ENSMUSG00000057836	237	-0.4079939492046825	-0.631152367725093	1.8329782136561334e-13	5.4989346409684003e-11
ENSMUSG00000079165	90	-0.4148118734359739	-0.7733387397776854	5.454303675378469e-12	1.3090328820908326e-09
ENSMUSG00000005125	101	0.17013431787490832	0.2234333165708477	2.2860380255451673e-11	4.572076051090335e-09
ENSMUSG00000040562	80	-0.17042930787429209	-0.22337160614468743	1.116317038807324e-10	1.8771991368756364e-08
ENSMUSG00000027487	276	0.11928996993228722	0.19482551209241483	1.3282996924601775e-10	1.8771991368756364e-08
ENSMUSG00000021614	95	0.3209090426564219	0.488114264588479	1.4078993526567274e-10	1.8771991368756364e-08
ENSMUSG00000033715	86	0.5188129626214493	0.9011871818186001	2.9873048479345243e-10	3.521513989503753e-08
ENSMUSG00000073125	285	-0.003613767214120051	-0.007084221418969964	3.2280544903784403e-10	3.521513989503753e-08
ENSMUSG00000030218	128	0.09188007088378039	0.17208256272160294	5.797594626599789e-10	5.797594626599789e-08
ENSMUSG00000099927	246	-0.14610778316855302	-0.23731014922042504	8.84713635684875e-10	8.166587406321923e-08
ENSMUSG00000087935	123	-0.27673825621604947	-0.5199941848312801	2.2819922396166703e-08	1.9559933482428604e-06
ENSMUSG00000023046	155	-0.08442250490188624	-0.16580329444479913	5.285077286920625e-08	4.2280618295365e-06
ENSMUSG00000022679	106	0.3652702091261736	0.6139137812460325	2.0246788057232123e-07	1.5185091042924093e-05
ENSMUSG00000038738	98	-0.1719081247225398	-0.29565988457756864	2.943075855244004e-07	2.0774653095840027e-05
ENSMUSG00000108884	87	0.2010708346962933	0.3277875235656442	3.298365121029434e-07	2.1989100806862893e-05
ENSMUSG00000048373	192	0.09411615617573105	0.19277758146874024	3.65333197693829e-07	2.307367564382078e-05
ENSMUSG00000027322	173	-0.00424749478697817	-0.009569613746144085	4.559127939618435e-07	2.735476763771061e-05
ENSMUSG00000042379	113	-0.06946060764603362	-0.16839394419950546	5.558472818689708e-07	3.176270182108405e-05
ENSMUSG00000027339	105	-0.17628631647676096	-0.39268550223175425	9.096499008487413e-07	4.921072502828139e-05
ENSMUSG00000028214	121	0.13643451565876646	0.24871165631154551	9.758671799531271e-07	4.921072502828139e-05
ENSMUSG00000119838	139	-0.22651467770338024	-0.5482955529199054	9.842145005656278e-07	4.921072502828139e-05
ENSMUSG00000021702	128	-0.12920631393790308	-0.258358476241687	1.041997270245787e-06	5.001586897179777e-05
ENSMUSG00000064945	98	-0.37091671526432013	-0.5667410573630496	1.5340324170942665e-06	6.916024039386552e-05
ENSMUSG00000079363	135	0.06096586715430068	0.0827919748953545	1.5561054088619741e-06	6.916024039386552e-05
ENSMUSG00000019944	88	-0.0002509009093039638	0.0048421021433822375	2.0355747485378828e-06	8.72389177944807e-05
ENSMUSG00000106107	110	-0.3265500474721184	-0.6629760647004865	2.365651149416337e-06	9.788901307929669e-05
ENSMUSG00000064604	118	-0.21717809736728633	-0.42667915008346885	2.6976799299971432e-06	0.00010790719719988573
ENSMUSG00000025650	85	-0.2729148954153069	-0.5854804689060648	3.7685297163969622e-06	0.00014587856966697917
ENSMUSG00000098934	153	-0.14330564588308212	-0.2677399794232172	4.603650281320704e-06	0.0001726368855495264
ENSMUSG00000091345	172	-0.02650196999311459	-0.051777601551071646	6.519991200049091e-06	0.00023709058909269422
ENSMUSG00000032060	80	-0.24629710502922586	-0.39182938574439874	6.812754898222195e-06	0.00024045017287843042
ENSMUSG00000020255	83	-0.2623452492058267	-0.4693052902973322	7.490413185817779e-06	0.00025681416637089526
ENSMUSG00000034457	139	0.04698039442300806	0.09620356052385987	8.0365552993511e-06	0.0002678851766450367
ENSMUSG00000028364	87	-0.16349140480160618	-0.2815932903656783	9.307596583574274e-06	0.0003018679973051116
ENSMUSG00000021670	101	0.20174933075904875	0.30508497610645907	1.0006004432794313e-05	0.00031597908735139937
ENSMUSG00000065701	97	-0.4933312408626066	-0.8090012555525168	1.2935858682450174e-05	0.0003980264209984669
ENSMUSG00000091694	143	0.015855001658200526	0.024920047498244287	1.5128544092135598e-05	0.00045385632276406795
ENSMUSG00000119011	89	-0.3128967598080641	-0.5717997549917142	1.69738188717794e-05	0.0004967946986862263
ENSMUSG00000095616	253	-0.22354100290685866	-0.4353242825520732	2.0295388759361543e-05	0.0005798682502674726
ENSMUSG00000050069	112	0.16760369352996377	0.28992608519967455	4.083162771262305e-05	0.001139487285003434
ENSMUSG00000087881	85	-0.48258562386035775	-0.962652727235218	4.239811307971131e-05	0.0011563121749012175
ENSMUSG00000047379	130	-0.45237093986943305	-0.7292195788361807	5.479692750653964e-05	0.0014612514001743904
ENSMUSG00000016763	100	-0.006767815351486114	-0.010240010655167785	5.6727317680249634e-05	0.0014798430699195556
ENSMUSG00000092746	172	-0.3669456344097841	-0.5355828651541104	7.083214078174027e-05	0.001808480190172092
ENSMUSG00000118936	124	-0.36006983909755896	-0.4672833728771809	9.6182154768365e-05	0.002341347126129989
ENSMUSG00000030337	83	-0.43850256204604976	-0.8494761633734128	9.688999676271681e-05	0.002341347126129989
ENSMUSG00000026417	93	0.1321847207844255	0.2628009618607167	9.755613025541621e-05	0.002341347126129989
ENSMUSG00000050074	97	-0.03575679697096349	-0.054058929266977376	0.00011877981968988482	0.0027948192868208193
ENSMUSG00000109378	93	-0.3062797129154194	-0.579884476862732	0.00012715531960760806	0.0029343535294063397
ENSMUSG00000000359	102	0.10565475746989203	0.2293248164617977	0.00014289323650362729	0.003235318562346278
ENSMUSG00000032198	82	-0.31883061826229087	-0.5336304666223641	0.00016629132621237552	0.003695362804719456
ENSMUSG00000026837	80	-0.5085656668990843	-0.9601132167928367	0.00018343264705655837	0.004002166844870364
ENSMUSG00000071532	208	0.2539780396968129	0.4228147245317423	0.00023154523709312258	0.004961683651995484
ENSMUSG00000057722	100	0.03895537331700348	0.07582493534286355	0.0002520367093481468	0.005226416249264879
ENSMUSG00000065016	95	-0.3131638929247839	-0.5307113916254051	0.00025261011871446915	0.005226416249264879
ENSMUSG00000019232	116	-0.06531100720167188	-0.12652192353928135	0.0002794607451236386	0.005683947358446887
ENSMUSG00000037625	101	-0.01671347618103059	-0.031179699336565107	0.0003206466342905445	0.00641293268581089
ENSMUSG00000038453	91	-0.0676769733428951	-0.1297701711803463	0.0003290268926660067	0.006472660183593574
ENSMUSG00000050621	102	0.3618981450796118	0.59595379881042	0.00033857829067840406	0.006515089117100002
ENSMUSG00000026435	138	0.16486468091607115	0.3200671369349509	0.0003420421786477501	0.006515089117100002
ENSMUSG00000099241	185	-0.1166069418191891	-0.12458447589363016	0.0003988381002357766	0.007478214379420811
ENSMUSG00000034771	88	-0.2977889291942115	-0.5856636530835508	0.00042053464080171743	0.007763716445570168
ENSMUSG00000062785	85	-0.3418886899948108	-0.6250203704941841	0.000487908404189219	0.00886854860388688
ENSMUSG00000032350	113	0.2499539256095889	0.39555742123919024	0.0004951606303836842	0.00886854860388688
ENSMUSG00000102602	80	-0.4537558065785545	-0.6677199610209641	0.0005034973505450013	0.008885247362558846
ENSMUSG00000037679	80	-0.26257866434752886	-0.5038705002031278	0.0007286437489062436	0.012672065198369454
ENSMUSG00000005373	92	-0.11792129576206165	-0.20347614214420173	0.0009143229560684141	0.01567410781831567
ENSMUSG00000051669	81	-0.23186558485031247	-0.39843935940704256	0.0009396783473457626	0.015881887560773453
ENSMUSG00000025270	88	-0.052723100036383405	-0.11736463377659712	0.000983617463436448	0.01639362439060747
ENSMUSG00000006576	82	-0.32608960010111276	-0.6665080383019106	0.0012768958861183455	0.020990069360849514
ENSMUSG00000120777	301	-0.24999658539891273	-0.4205625918240101	0.001315506522686083	0.021332538205720265
ENSMUSG00000023905	98	0.14111970523372264	0.37383573050096114	0.001640040787435515	0.02624065259896824
ENSMUSG00000034855	128	-0.15970543436706003	-0.23728657301036668	0.001694942006670641	0.02676224221058907
ENSMUSG00000038146	98	-0.32347545325756055	-0.5489227738613047	0.0017545126834126457	0.027066080976713744
ENSMUSG00000019942	80	-0.3024698598776001	-0.6445816002117841	0.0017592952634863934	0.027066080976713744
ENSMUSG00000056025	103	0.10879047811031332	0.20072902315224805	0.0018129103764324972	0.0275378791356835
ENSMUSG00000041293	91	0.14773733615875154	0.2586317946662793	0.0019895098285616086	0.02984264742842413
ENSMUSG00000004951	80	-0.00803597569465624	-0.01592448355269566	0.0024810673764300573	0.036756553724889736
ENSMUSG00000048997	87	-0.2821452081203451	-0.6097779770608612	0.0026627858046797126	0.03864446847073596
ENSMUSG00000048583	150	-0.14158676965162006	-0.2848586487895689	0.002672909069225904	0.03864446847073596
ENSMUSG00000058443	80	0.37498237490653946	0.7294052731532537	0.0027357149010979187	0.03908164144425598
ENSMUSG00000068263	88	-0.44414000064134584	-0.7497615937270801	0.0029559514171142443	0.04173107882984815
ENSMUSG00000090877	94	0.11819626390934018	0.1982526757301426	0.0030750604985365637	0.042907820909812516
ENSMUSG00000023067	86	0.015020926622674045	0.031624542635281326	0.003576278324717408	0.048962893568723936
ENSMUSG00000026602	169	0.027905626595019446	0.04734086874648373	0.003590612195039755	0.048962893568723936
ENSMUSG00000048126	82	-0.45032634362578366	-0.5896242069024404	0.003983578586482794	0.053711171952577005
ENSMUSG00000001870	89	-0.0492282688617715	-0.1044158448493757	0.004712173901047723	0.06258226857388044
ENSMUSG00000021390	88	0.08876481950282974	0.13616318770254526	0.004746935634852512	0.06258226857388044
ENSMUSG00000063556	177	-0.07680845968425384	-0.13198244759984654	0.0047979739239975006	0.06258226857388044
ENSMUSG00000118866	119	-0.05990873724222097	-0.10244166312477643	0.004878749859086207	0.06295161108498332
ENSMUSG00000048154	85	-0.21179130226373666	-0.25318731538739386	0.005565160508261724	0.07104460223312839
ENSMUSG00000102982	89	-0.3387838244438172	-0.5813292700928263	0.005710438437536602	0.07213185394783077
ENSMUSG00000029778	97	-0.21354363113641672	-0.3902283385460792	0.005966476255221953	0.07458095319027441
ENSMUSG00000033763	85	-0.3157116234302529	-0.5717050346602706	0.006215429915510051	0.07689191648053671
ENSMUSG00000027840	141	-0.014805322885511845	-0.02403054036084244	0.008390408177947561	0.1027396919748681
ENSMUSG00000039109	104	-0.007253924012183253	-0.01163937679247885	0.008501126217184796	0.10304395414769449
ENSMUSG00000056749	80	-0.008039337117225143	-0.024068305067410235	0.008701853010191551	0.10374426961538437
ENSMUSG00000021388	107	0.24024356203153585	0.42596266378599557	0.008731809359294851	0.10374426961538437
