gene	rewiring_abs_obs	ci_2p5	ci_97p5
ENSMUSG00000002250	238.4655542820692	64.5164363861084	661.9826782226563
ENSMUSG00000078875	180.6656317859888	108.12480792999267	294.47103652954104
ENSMUSG00000030256	180.57690642029047	64.81572256088258	455.5073486328125
ENSMUSG00000040564	176.57322235405445	140.16693687438965	342.4849227905274
ENSMUSG00000029368	169.53498676419258	64.49650459289552	395.303865814209
ENSMUSG00000034785	168.8019640520215	121.8826421737671	367.5186981201172
ENSMUSG00000112324	167.2031013891101	114.1947702407837	341.52608871459967
ENSMUSG00000119286	163.6898048967123	96.56093215942383	295.6308479309082
ENSMUSG00000030680	162.79655591398478	92.78667736053467	373.36344146728516
ENSMUSG00000043144	158.96144188102335	90.16080837249756	373.08469543457034
ENSMUSG00000021250	157.00151677429676	76.78362464904785	458.0384834289551
ENSMUSG00000095648	156.53584107384086	96.07357749938966	271.8462699890137
ENSMUSG00000074634	154.95809788256884	127.93732166290283	331.97562637329105
ENSMUSG00000025185	154.67506052553654	52.94927453994751	462.52404251098636
ENSMUSG00000063415	151.56825701892376	115.41583232879638	285.8548835754395
ENSMUSG00000070469	145.94951700419188	119.97889671325683	254.01163520812992
ENSMUSG00000083012	142.36014308780432	57.285096931457524	396.0630271911621
ENSMUSG00000074527	137.4867010898888	77.997243309021	320.2991485595703
ENSMUSG00000074768	136.77567519247532	81.97196350097657	263.8022827148438
ENSMUSG00000029188	136.15423400700092	46.8416392326355	369.40149154663084
ENSMUSG00000037411	134.93802385032177	96.29064617156982	370.26731414794926
ENSMUSG00000109814	134.863271843642	113.65274105072021	274.14650955200193
ENSMUSG00000026077	134.21696838736534	41.26330623626709	371.37444229125975
ENSMUSG00000038393	133.44736272096634	87.99086799621583	333.5330017089844
ENSMUSG00000091021	132.8814517557621	80.15014533996582	284.40570907592775
ENSMUSG00000042745	131.37724141031504	47.48798446655274	379.45488891601565
ENSMUSG00000095079	128.94740705937147	100.36017303466797	249.17301445007325
ENSMUSG00000032578	128.75328090041876	58.54844493865967	416.29065093994143
ENSMUSG00000069008	128.54467552155256	112.94798774719239	203.5016414642335
ENSMUSG00000090165	127.87457872927189	116.98746528625489	272.0353324890137
ENSMUSG00000066632	127.17425832059234	110.1847604751587	205.90569000244142
ENSMUSG00000116358	126.85331142693758	91.36959476470948	308.18806686401365
ENSMUSG00000022304	126.61284462362528	95.68199138641357	241.6790794372559
ENSMUSG00000078880	126.36174598708749	76.35004291534423	314.0828987121583
ENSMUSG00000026348	125.74576899409294	57.46416158676148	323.7423355102539
ENSMUSG00000021135	123.64404908567667	97.08031330108642	245.63735084533693
ENSMUSG00000040715	123.24123663594946	72.86402626037598	276.45923309326173
ENSMUSG00000067736	122.4177199122496	71.57827243804931	292.6380111694336
ENSMUSG00000027487	121.38320178538561	75.62127285003662	281.8128936767578
ENSMUSG00000023034	121.08282933291048	97.96786193847656	211.38294906616213
ENSMUSG00000099927	120.51227309089154	65.36932744979859	382.20590438842777
ENSMUSG00000002797	119.7584979236126	55.83039150238037	307.855574798584
ENSMUSG00000031775	118.56537954509258	43.18923931121826	329.0352195739746
ENSMUSG00000044645	118.36154410243034	62.909321022033694	299.11466827392576
ENSMUSG00000073125	115.70583776757121	109.27257499694825	222.44031105041506
ENSMUSG00000038224	115.32039351016283	63.20067014694214	350.47840881347656
ENSMUSG00000078898	112.73104635253549	73.24785652160645	245.21431388854984
ENSMUSG00000021025	112.71113553643227	56.50655384063721	258.338665008545
ENSMUSG00000048583	112.25861746817827	80.11027069091797	200.01507225036622
ENSMUSG00000027360	111.47650459036231	42.0083966255188	321.3374557495117
ENSMUSG00000006724	111.17681105434895	85.51428966522218	210.37600822448735
ENSMUSG00000070661	110.0455380231142	62.3257833480835	218.29293556213378
ENSMUSG00000025316	109.77713984623551	65.1906915664673	351.27138290405276
ENSMUSG00000022508	109.59823389397934	79.80879802703858	244.95168037414555
ENSMUSG00000085541	109.58201962709427	61.84202890396118	285.854288482666
ENSMUSG00000029700	109.5223891288042	69.97965087890626	212.54807090759277
ENSMUSG00000035202	109.10160026885569	83.37344169616699	262.20249023437503
ENSMUSG00000024411	108.84437386132777	71.93104114532471	220.2325050354004
ENSMUSG00000026602	106.96188783273101	62.479877185821536	227.3940814971924
ENSMUSG00000094932	105.8772207684815	63.01527652740479	261.0520851135254
ENSMUSG00000031016	105.67269572615623	45.70108432769776	325.85450973510746
ENSMUSG00000071633	105.53074511885643	74.53059959411621	244.13823051452638
ENSMUSG00000033831	105.42468205094337	34.884063148498534	292.7745933532715
ENSMUSG00000047586	105.11105187982321	51.19900007247925	249.76231536865234
ENSMUSG00000051811	104.50438421219587	77.50086765289306	247.96691551208497
ENSMUSG00000020651	104.07652132958174	65.61421585083008	213.13167686462404
ENSMUSG00000057836	103.7045494094491	75.0960039138794	222.85040473937988
ENSMUSG00000005268	103.32978594303131	107.01842308044434	149.9250202178955
ENSMUSG00000046699	103.11747961118817	76.03024978637696	188.0412212371826
ENSMUSG00000022366	102.76576908677816	95.78876781463623	171.19076805114747
ENSMUSG00000033453	101.79838500916958	62.53983383178711	280.19957122802737
ENSMUSG00000024650	101.70907485485077	51.85077171325683	283.18689422607423
ENSMUSG00000017002	101.65366035699844	76.76872539520264	195.35442466735842
ENSMUSG00000037053	101.10486625880003	81.09531059265137	248.6486587524414
ENSMUSG00000074264	100.99302481114864	52.3902229309082	202.87312011718754
ENSMUSG00002075625	99.69163200445473	60.76485977172852	213.64993286132815
ENSMUSG00000058927	99.18270772695541	66.33087997436523	175.17990074157717
ENSMUSG00000020182	99.15652081370354	38.379235458374026	282.89656829833984
ENSMUSG00000029372	98.10025442764163	68.82973499298096	268.8359619140625
ENSMUSG00000095616	97.9688917696476	64.09811592102051	216.03197975158696
ENSMUSG00000031167	97.92223216593266	48.071907138824464	255.30881385803224
ENSMUSG00000038567	97.45982136204839	82.58353786468506	249.1064350128174
ENSMUSG00000038963	97.32512068748474	42.97795114517212	287.1906646728516
ENSMUSG00000121785	96.41589608415961	82.71516914367676	173.21702041625977
ENSMUSG00000005220	96.16786038503051	53.607740783691405	239.53273849487306
ENSMUSG00000015568	96.06731469929218	42.558310985565186	289.3341514587402
ENSMUSG00000020893	95.91703767329454	37.16088571548462	242.33554878234864
ENSMUSG00000023046	95.73846573382616	48.502622318267825	203.30248107910157
ENSMUSG00000118936	95.68196917325258	45.74438982009888	216.5194107055664
ENSMUSG00000018486	95.28995330631733	45.75864868164062	267.6335929870606
ENSMUSG00000120167	95.20775251463056	31.75438942909241	248.41597290039064
ENSMUSG00000120777	95.14379871450365	82.30154609680176	180.2853702545166
ENSMUSG00000043496	95.05801293253899	65.79680824279785	193.2219379425049
ENSMUSG00000078193	94.86703814007342	84.03738117218018	267.76075668334965
