gene	rewiring_abs_obs	ci_2p5	ci_97p5
ENSMUSG00000078898	259.57796539738774	131.45580444335937	682.2345428466798
ENSMUSG00000039519	232.38073026225902	94.32985973358154	654.4243865966797
ENSMUSG00000110386	211.69932253286242	100.92891006469726	449.01649093627935
ENSMUSG00000078894	204.7283578645438	80.15565280914306	577.4126663208008
ENSMUSG00000002250	192.56806521862745	103.0475612640381	382.4538871765138
ENSMUSG00000069008	187.39593756571412	110.37590560913087	383.87809982299814
ENSMUSG00000063415	185.3849494382739	134.04176864624023	358.53867187500003
ENSMUSG00000027487	185.3533141091466	134.40481719970703	369.9334495544434
ENSMUSG00000043496	169.72645335644484	128.98508548736572	275.65929412841797
ENSMUSG00000066632	162.98843953758478	126.23037281036378	359.89839172363287
ENSMUSG00000057036	161.46924739331007	30.735563802719117	493.94351119995116
ENSMUSG00000120777	159.86701229400933	120.07017917633057	311.691072845459
ENSMUSG00000029368	158.29998204112053	130.27644958496094	326.44415817260744
ENSMUSG00000074634	158.29313975572586	127.17695121765136	274.93356552124027
ENSMUSG00000071532	149.52656589075923	85.98198223114014	348.35541915893555
ENSMUSG00000006724	148.90681007504463	99.96797313690186	313.2104431152344
ENSMUSG00000070469	146.96511777862906	88.89539318084717	274.9395797729493
ENSMUSG00000039542	146.8292311616242	120.98740825653077	253.98721771240236
ENSMUSG00000015568	146.4020369425416	56.32752017974853	375.71328582763675
ENSMUSG00000038224	145.97491460852325	83.5202112197876	309.59475631713866
ENSMUSG00000022797	145.63023744523525	116.01595096588134	244.23584327697756
ENSMUSG00000021135	141.02659633010626	99.64444274902344	237.95894317626957
ENSMUSG00000095545	139.77451626583934	118.31669769287109	270.7487174987793
ENSMUSG00000109814	138.45018069446087	89.74840793609619	308.570450592041
ENSMUSG00000071178	134.4573379084468	121.43764438629151	292.93232650756835
ENSMUSG00000090165	134.38955787569284	92.58491916656494	269.00370635986343
ENSMUSG00000026043	134.1396811567247	97.2431713104248	240.6362190246582
ENSMUSG00000094932	133.2889112625271	58.68642883300781	346.4495002746582
ENSMUSG00000063681	133.21338952332735	85.47468814849854	228.151286315918
ENSMUSG00002075453	132.66415591537952	52.1557975769043	335.13418731689455
ENSMUSG00000056328	132.17050337791443	91.98452434539796	211.67189712524421
ENSMUSG00000030096	132.148075863719	87.71878604888916	238.06453742980958
ENSMUSG00000119873	131.2539782654494	38.06032791137695	360.0816955566406
ENSMUSG00000078875	130.17021590843797	118.89485187530518	326.06797409057623
ENSMUSG00000022366	128.81301026418805	81.68508472442628	223.60410232543944
ENSMUSG00000028553	127.89018866419792	87.49388999938965	213.89882392883302
ENSMUSG00000048373	126.67311685532331	105.54249114990235	223.67345504760743
ENSMUSG00002075625	126.62904008850455	102.230788230896	232.16733741760257
ENSMUSG00000100426	126.40932658314705	93.58576698303223	216.9505512237549
ENSMUSG00000073418	126.08128076046705	95.05679988861084	274.9152000427247
ENSMUSG00000112324	123.81969539821148	70.43229961395264	274.89354400634767
ENSMUSG00000074527	123.40471342392266	104.09957218170166	283.374016571045
ENSMUSG00000033831	123.37195299100131	91.80112419128417	221.79098396301274
ENSMUSG00000025185	122.87107170373201	70.58132858276367	271.78046188354494
ENSMUSG00000099241	122.43714044988155	88.28207416534424	202.74576377868652
ENSMUSG00000079017	120.76033110171556	88.52821273803711	219.2087001800537
ENSMUSG00000054364	120.73193182051182	69.73866653442383	229.93272972106936
ENSMUSG00000107068	120.59981337888166	106.27420768737792	242.42766799926758
ENSMUSG00000081604	120.28004974126816	55.68293838500976	326.18539428710943
ENSMUSG00000095079	119.90322685241699	75.31120510101319	235.9721172332764
ENSMUSG00000035202	119.44179403968155	94.08618087768555	247.70930938720704
ENSMUSG00000063556	119.17492308653891	45.509377002716064	301.64320907592776
ENSMUSG00000079357	119.11030300706625	83.03065605163575	204.87901306152344
ENSMUSG00000054999	118.98999393545091	110.79859142303467	183.5333435058594
ENSMUSG00000030680	118.15761881694198	88.55173358917236	279.7148551940918
ENSMUSG00000026348	117.90953505039215	86.66416263580322	193.75597457885743
ENSMUSG00000096596	117.25952313840389	65.77939987182617	285.779207611084
ENSMUSG00000026042	117.21698953211308	61.09077892303467	319.93076629638676
ENSMUSG00000040715	117.08465370163321	78.10665855407714	251.37698745727545
ENSMUSG00000061906	116.59545978158712	65.18704090118408	216.7668411254883
ENSMUSG00000095675	116.19778656959534	65.08948612213135	284.2459228515625
ENSMUSG00000119286	116.08387808129191	67.90117855072022	301.9968406677246
ENSMUSG00000028989	115.96942927874625	88.7715389251709	216.7923648834229
ENSMUSG00000030256	115.92589969094843	80.41169338226318	234.87563667297366
ENSMUSG00000064337	115.92083046585321	81.1125560760498	260.2552062988281
ENSMUSG00000095616	115.60285903979093	72.62188529968262	242.24038658142095
ENSMUSG00000092746	114.81609560549259	97.52994441986084	210.02381935119632
ENSMUSG00002076650	114.78259460628033	49.266738986968996	297.1519660949707
ENSMUSG00000057836	114.72980298101902	99.98982219696045	212.9044414520264
ENSMUSG00000070304	114.60865011811256	45.57502822875976	273.194807434082
ENSMUSG00000023034	114.51550298184156	85.52294597625733	208.54382438659667
ENSMUSG00000026077	114.30412778630853	72.09417762756348	257.24794921875014
ENSMUSG00000046699	113.84915931150317	81.56328010559082	188.89224395751953
ENSMUSG00000079105	113.37126390635967	97.00851020812988	185.69338417053225
ENSMUSG00000092595	113.19672421365976	88.19510650634766	225.81364402770996
ENSMUSG00000038567	113.07854202389717	75.08990879058838	227.4038078308106
ENSMUSG00000073640	112.46593785844743	63.062423896789554	245.90676193237317
ENSMUSG00000058927	111.65755482017994	94.66282997131347	231.27212944030768
ENSMUSG00000067736	111.26094908639789	93.52528629302978	250.86688499450693
ENSMUSG00000028003	110.66266434639692	82.73099536895752	207.9569465637207
ENSMUSG00000078880	110.4556933939457	100.13724155426026	229.75326194763184
ENSMUSG00000111692	110.35727535001934	98.10108032226563	214.64841041564947
ENSMUSG00000005413	110.21257624030113	90.78424739837646	188.93466644287113
ENSMUSG00000098306	110.03503382205963	91.23385658264161	222.75188751220708
ENSMUSG00000021207	109.6237960010767	72.07791290283203	191.68780975341807
ENSMUSG00000031016	109.23653893917799	87.0525541305542	194.98199615478515
ENSMUSG00000044645	109.00062049180269	94.90284156799316	208.53169136047364
ENSMUSG00000089960	108.97660649567842	70.89862575531006	208.92640380859376
ENSMUSG00000037053	108.58124509826303	83.71733989715577	194.37794151306156
ENSMUSG00000121785	108.09122869372368	87.75551681518554	216.0727195739746
ENSMUSG00000037411	107.77145648561418	54.273934555053714	219.30253105163578
ENSMUSG00000116358	107.41678506694734	65.47200746536255	240.90426254272464
ENSMUSG00000034785	106.85173278674483	89.37435970306397	187.07059478759768
ENSMUSG00000077323	105.86953540891409	89.41318778991699	200.45222511291507
ENSMUSG00002075983	105.50941606238484	93.55499229431152	184.92353591918945
ENSMUSG00000038418	105.33996497839689	78.5649917602539	252.19535331726075
ENSMUSG00000096768	105.3310458175838	75.20716991424561	214.7049415588379
ENSMUSG00000002797	104.86452448740602	70.31004886627197	213.6163249969483
ENSMUSG00000028195	104.85730488598347	86.59471263885499	238.89712028503422
ENSMUSG00000022508	104.33132673054934	81.93093376159668	236.76693687438964
ENSMUSG00000116207	104.01184344477952	91.31993293762207	223.70680046081546
ENSMUSG00000100862	103.55440098047256	75.14011135101319	248.1370113372803
ENSMUSG00000086320	103.54347904026508	72.95069789886475	192.65009803771974
ENSMUSG00000095595	103.34600162319839	83.3725196838379	237.9331676483155
ENSMUSG00000023886	102.64613023400307	45.75848827362061	251.41913795471194
ENSMUSG00000027360	102.47738395631313	68.14321165084839	226.17914352416994
ENSMUSG00000073125	102.4570933803916	84.3131586074829	198.65266304016117
ENSMUSG00000087259	102.40408707410097	79.67788429260254	237.48785438537598
ENSMUSG00000091345	102.01282956078649	66.90270137786865	236.8658653259278
ENSMUSG00000038264	101.91309305280447	59.251626873016356	179.1439971923828
ENSMUSG00000070661	101.7440767660737	39.76424617767334	267.6228507995606
ENSMUSG00000095648	101.60056592337787	96.30483684539794	258.4268356323243
ENSMUSG00000019874	101.45636822283268	67.90201625823974	214.6619686126709
ENSMUSG00000010651	101.12596941739321	77.66579627990723	183.1901149749756
ENSMUSG00000078193	100.40719799697399	100.39040679931641	244.21982498168947
ENSMUSG00000107928	100.28270456567407	48.589695072174074	248.13999176025393
ENSMUSG00000022546	100.23096491396427	81.153147315979	202.10620994567873
ENSMUSG00000025316	100.11285116896033	92.00097904205322	212.27157936096194
ENSMUSG00000001506	100.10317066125572	73.30361061096191	178.54229087829592
ENSMUSG00000052562	99.4537976756692	52.596681690216066	234.11837615966797
ENSMUSG00000003617	99.44708633422852	70.56111431121826	160.7717742919922
ENSMUSG00000020108	99.27791859954596	76.185258102417	197.5326976776123
ENSMUSG00000030268	97.99101386219263	53.736028575897215	253.79644470214845
ENSMUSG00000027840	97.96041625738144	78.36956787109375	187.8258167266846
ENSMUSG00000039395	97.9457355812192	83.1271541595459	203.29409294128425
ENSMUSG00000038641	97.39521279931068	79.4824447631836	188.35384445190437
