gene	rewiring_abs_obs	ci_2p5	ci_97p5
ENSMUSG00000069307	208.36552586778998	76.04331893920899	556.5608596801758
ENSMUSG00000078896	201.8942520543933	43.289325618743895	591.4984237670899
ENSMUSG00000076617	176.14470809698105	55.37279233932495	477.86635055541996
ENSMUSG00000120777	175.49852125905454	64.34732093811036	377.6207489013672
ENSMUSG00000035186	158.8952742666006	80.91902580261231	437.1840660095215
ENSMUSG00000057836	149.21172757074237	75.16762161254883	344.71512298583986
ENSMUSG00000078875	138.01385257020593	50.348208808898924	343.7111915588379
ENSMUSG00000006574	131.73628626018763	86.06528968811035	302.8473327636719
ENSMUSG00000099927	129.19046844355762	50.98509454727173	331.0730621337891
ENSMUSG00000074634	126.61998612061143	85.12268905639648	277.0750686645509
ENSMUSG00000110386	123.10850911494344	67.87505950927735	234.28659400939944
ENSMUSG00000098306	122.54644816555083	81.76646327972412	250.605099105835
ENSMUSG00000027487	120.96787683852017	91.73997745513915	269.5333236694336
ENSMUSG00000079357	119.9589138366282	51.98028440475464	284.5828918457033
ENSMUSG00000073640	118.1251922659576	38.77999658584595	316.57285232543944
ENSMUSG00000094306	116.21353974286467	111.44342575073242	284.59691085815433
ENSMUSG00000078898	115.89378453698009	70.14275341033935	251.88987998962403
ENSMUSG00000118734	114.78096511214972	90.37055492401123	295.05211563110356
ENSMUSG00000119286	114.5572321396321	102.80361309051514	246.56222457885744
ENSMUSG00000095616	110.23722006194293	58.889650917053224	299.1839088439942
ENSMUSG00000112324	110.03555180504918	65.37026500701904	269.4127769470215
ENSMUSG00000099241	107.9808106906712	61.16064319610596	273.4955398559571
ENSMUSG00000037563	106.76408769190311	51.56134424209595	220.31520881652833
ENSMUSG00000044645	104.09814063087106	70.73471450805664	213.42460021972659
ENSMUSG00000079363	103.9101985534653	22.65614023208618	312.32956314086914
ENSMUSG00000096768	103.25022538006306	86.34752941131592	182.6128993988037
ENSMUSG00000095079	103.09228152036667	55.11732587814331	190.30813598632812
ENSMUSG00000076609	100.79719172045588	35.83204441070557	214.24245262145996
ENSMUSG00000037548	100.59245872497559	38.201358032226565	317.0469352722168
ENSMUSG00000096852	99.73897332698107	64.72124996185303	234.12442436218262
ENSMUSG00000071532	99.43869407474995	51.86206312179566	241.88711929321292
ENSMUSG00000070645	99.16506195813417	48.09883165359497	201.60575027465825
ENSMUSG00000078894	95.91328212060034	74.99438762664795	224.43564987182626
ENSMUSG00000040564	93.78684082534164	59.97118139266968	172.4721908569336
ENSMUSG00000067149	93.56849953532219	46.11782846450806	191.71363983154296
ENSMUSG00000035202	92.3572871722281	64.31207418441772	177.5575107574463
ENSMUSG00000116358	88.64082464948297	50.37236948013306	178.59716796875
ENSMUSG00000001349	88.38520419597626	76.05529651641845	169.52725944519042
ENSMUSG00000081604	86.89920527860522	32.514159488677976	215.8825653076172
ENSMUSG00000038567	86.65525701642036	55.06360216140747	249.66957206726073
ENSMUSG00000064220	86.33309427648783	47.744600772857666	177.99438781738283
ENSMUSG00000079362	86.23159351013601	45.033496952056886	262.3811233520508
ENSMUSG00000107068	85.48886596411467	59.08158302307129	190.91772460937503
ENSMUSG00000119670	85.37269377708435	41.406743907928465	220.60336112976074
ENSMUSG00000119206	84.59172084182501	45.500266456604	222.96818351745605
ENSMUSG00000066632	84.08704095333815	52.54115295410156	202.27047767639164
ENSMUSG00000049511	82.31211925297976	45.714026832580565	200.32774467468263
ENSMUSG00000092746	82.11217179149389	47.4493727684021	179.35651206970215
ENSMUSG00000069874	81.9224155023694	23.415759325027466	231.19897537231446
ENSMUSG00000098934	81.91429754346609	51.98782148361206	218.54591102600102
ENSMUSG00000094932	81.83672919124365	63.23398933410645	163.2961555480957
ENSMUSG00000026043	80.75780239328742	35.47817583084107	159.6952159881592
ENSMUSG00000078921	80.71047738194466	23.272950077056883	241.4548252105713
ENSMUSG00000030680	80.6758237183094	66.90391082763672	183.10417671203615
ENSMUSG00000048373	80.44773137569427	51.87088708877563	143.15114936828616
ENSMUSG00000079017	79.90494427829981	53.953611087799075	184.38366127014166
ENSMUSG00000109814	79.22170421853662	40.32846632003784	172.8269790649414
ENSMUSG00000006724	78.22754794359207	46.73763132095337	184.3861511230469
ENSMUSG00000001506	78.17717749252915	42.0058536529541	175.88492431640626
ENSMUSG00000078853	77.99141670763493	29.0162495136261	243.21856117248538
ENSMUSG00000024411	77.80460597574711	29.887256336212157	177.97674064636232
ENSMUSG00000025479	77.62316831760108	55.62829065322876	169.08778953552246
ENSMUSG00000058927	77.51631918177009	39.33294324874878	167.94311027526865
ENSMUSG00000037053	77.4940418698825	62.44552307128907	143.77376556396484
ENSMUSG00000118864	76.87150271236897	37.39977493286133	202.5876148223877
ENSMUSG00002075625	76.00780893675983	60.604730701446535	135.0093547821045
ENSMUSG00000043144	75.68552505783737	61.27321615219116	181.75736923217778
ENSMUSG00000043496	75.49906257912517	58.57259979248047	126.29207744598389
ENSMUSG00000025498	74.9778695423156	49.22315864562989	225.29359359741213
