gene	rewiring_abs_obs	ci_2p5	ci_97p5
ENSMUSG00000094932	273.7039244957268	98.37937812805175	644.9946929931641
ENSMUSG00000094306	222.5105855166912	112.15420818328857	560.8780258178712
ENSMUSG00000027487	182.3947594780475	137.64905128479003	276.23889541625977
ENSMUSG00000099927	171.11113952845335	127.64632263183594	307.3676589965821
ENSMUSG00000074634	167.9356591743417	77.51870498657226	387.3890419006348
ENSMUSG00000057836	167.24688002094626	95.5722490310669	337.9369903564454
ENSMUSG00000120777	164.6352444961667	154.0352108001709	340.5757781982423
ENSMUSG00000110386	164.31470268964767	116.5042314529419	410.65636215209963
ENSMUSG00000073125	148.78780160471797	106.71007213592529	331.64113540649413
ENSMUSG00000095616	148.54578962549567	60.53140687942505	433.3418022155762
ENSMUSG00000071532	126.38188374787569	66.29192371368408	258.9635551452637
ENSMUSG00000098306	125.22657999489456	95.0163034439087	359.45967025756846
ENSMUSG00000091345	120.24024029169232	59.59000253677368	323.73540420532225
ENSMUSG00000074527	119.98047375306487	93.36309795379638	304.8503852844239
ENSMUSG00000070645	117.96076853945851	84.94554653167725	197.32186317443848
ENSMUSG00000069307	116.60706209763885	48.54355239868164	290.8595153808594
ENSMUSG00000044645	115.4804368680343	59.71566543579102	298.8721618652344
ENSMUSG00000099241	113.11010789498687	77.04021110534669	207.48350601196296
ENSMUSG00000038567	112.96035048365593	56.32767391204834	235.5505428314209
ENSMUSG00000095545	110.8405234888196	59.10950422286987	246.97663078308108
ENSMUSG00000092746	110.51086441799998	70.89960346221923	221.7479377746582
ENSMUSG00000078898	109.61281934380531	72.40941429138184	308.9257263183594
ENSMUSG00000112324	109.53765792958438	68.93750514984131	289.04390411376954
ENSMUSG00000048373	106.27870745956898	63.03747253417969	203.36680488586427
ENSMUSG00000058927	104.33720298670232	74.51722583770751	213.64320602416993
ENSMUSG00000066632	101.91745560988784	51.85484170913696	193.37535057067876
ENSMUSG00000023046	100.50268280133605	68.50886669158936	206.8282814025879
ENSMUSG00000079363	99.24021447822452	43.569073009490964	192.26446266174315
ENSMUSG00000078894	99.18672002945095	79.13112392425538	266.5884918212891
ENSMUSG00000025479	97.91179831326008	60.740470886230476	192.82842330932618
ENSMUSG00000092595	95.41873985528946	76.74201850891113	205.2516876220704
ENSMUSG00000063556	95.02700462564826	42.29725141525269	184.02393569946292
ENSMUSG00000063415	94.87202085927129	77.62747611999512	186.261088180542
ENSMUSG00000026602	94.29346001893282	72.79881343841552	175.9301712036133
ENSMUSG00000078880	94.22219537757337	51.681478881835936	174.7799312591553
ENSMUSG00000107068	94.12929271161556	76.4501937866211	183.1438987731934
ENSMUSG00000073640	93.91718381270766	50.81593742370605	192.25811882019045
ENSMUSG00000098934	92.27100202441216	45.99737634658813	196.9161117553711
ENSMUSG00000019577	92.08303850889206	56.73864221572877	192.92031898498539
ENSMUSG00000043144	91.91740652918816	62.21112689971924	184.87794799804686
ENSMUSG00000118936	91.52804553508759	40.83664245605469	240.16359786987306
ENSMUSG00000078875	91.50446532666683	57.71439743041992	245.8409278869629
ENSMUSG00000070469	91.29626132547855	55.0301197052002	219.27020645141602
ENSMUSG00000035699	91.18584679998457	68.91134729385377	187.8914939880371
