ENSEMBL	SYMBOL
ENSMUSG00000022797	Tfrc
ENSMUSG00000098934	Gvin-ps4
ENSMUSG00000056025	Clca3a1
ENSMUSG00000028681	Ptch2
ENSMUSG00000063590	Slc22a28
ENSMUSG00000102504	NA
ENSMUSG00000031375	Bgn
ENSMUSG00000056328	Myh1
ENSMUSG00000032758	Kap
ENSMUSG00000038224	Serpinf2
ENSMUSG00000021207	Akr1c21
ENSMUSG00000066072	Cyp4a10
ENSMUSG00000003617	Cp
ENSMUSG00000091705	H2-Q2
ENSMUSG00000031383	Dusp9
ENSMUSG00000022366	Slc22a22
ENSMUSG00000100426	Gm4208
ENSMUSG00000019768	Esr1
ENSMUSG00000028108	Ecm1
ENSMUSG00000121280	NA
ENSMUSG00000104094	NA
ENSMUSG00000074634	Tmem267
ENSMUSG00000069919	Hba-a1
ENSMUSG00000024190	Dusp1
ENSMUSG00000033676	Gabrb3
ENSMUSG00000079357	Gm11100
ENSMUSG00000069917	Hba-a2
ENSMUSG00000005268	Prlr
ENSMUSG00000114501	NA
ENSMUSG00000112441	NA
ENSMUSG00000089960	Ugt1a1
ENSMUSG00000021135	Slc10a1
ENSMUSG00000001467	Cyp51
ENSMUSG00000061742	Slc22a12
ENSMUSG00000032946	Rasgrp2
ENSMUSG00000035459	Stab2
ENSMUSG00000022026	Olfm4
ENSMUSG00000086320	NA
ENSMUSG00000051747	Ttn
ENSMUSG00000037053	Azgp1
ENSMUSG00000031825	Crispld2
ENSMUSG00000022769	Sdf2l1
ENSMUSG00000079165	Sap25
ENSMUSG00000018486	Wnt9b
ENSMUSG00000042371	Slc5a10
ENSMUSG00000030096	Slc6a6
ENSMUSG00000023120	Ldc1
ENSMUSG00000038745	Nlrp6
ENSMUSG00000053964	Lgals4
ENSMUSG00000039236	Isg20
ENSMUSG00000104586	NA
ENSMUSG00000037679	Inf2
ENSMUSG00000056313	Tcim
ENSMUSG00000030795	Fus
ENSMUSG00000029641	Rasl11a
ENSMUSG00000044786	Zfp36
ENSMUSG00000016194	Hsd11b1
ENSMUSG00000028655	Mfsd2a
ENSMUSG00000099041	NA
ENSMUSG00000024299	Adamts10
ENSMUSG00000073940	Hbb-bt
ENSMUSG00000025270	Alas2
ENSMUSG00000054364	Rhob
ENSMUSG00000028970	Abcb1b
ENSMUSG00000023034	Nr4a1
ENSMUSG00000024087	Cyp1b1
ENSMUSG00000036040	Adamtsl2
ENSMUSG00000025889	Snca
ENSMUSG00000026043	Col3a1
ENSMUSG00000050071	Bex1
ENSMUSG00000094306	Gm24924
ENSMUSG00000063177	Klk1b27
ENSMUSG00000025089	Gfra1
ENSMUSG00000121069	NA
ENSMUSG00000059743	Fdps
ENSMUSG00000104503	NA
ENSMUSG00000090021	Gm6493
ENSMUSG00000061906	Ugt2b38
ENSMUSG00000022546	Gpt
ENSMUSG00000032575	Manf
ENSMUSG00000045319	Proser2
ENSMUSG00000109498	NA
ENSMUSG00000052562	Slc22a30
ENSMUSG00000016763	Scube1
ENSMUSG00000001506	Col1a1
ENSMUSG00000032978	Guca2b
ENSMUSG00000052516	Robo2
ENSMUSG00000020182	Ddc
ENSMUSG00000026348	Acmsd
ENSMUSG00000056749	Nfil3
ENSMUSG00000076609	Igkc
ENSMUSG00000090958	Lrrc32
ENSMUSG00000020911	Krt19
ENSMUSG00000060924	Csmd1
ENSMUSG00000033453	Adamts15
ENSMUSG00000042961	Egflam
ENSMUSG00000026574	Dpt
