gene	symbol	rewiring_mean	rewiring_std	rank_std
ENSMUSG00000036856	Wnt4	0.4878342494694843	0.0620029460943838	33.01151314314446
ENSMUSG00000031734	ENSMUSG00000031734	0.4796767221089045	0.0387436396855406	11.933566105737214
ENSMUSG00000047586	Nccrp1	0.4582529255705572	0.0380657642052515	20.242529486207992
ENSMUSG00000109314	ENSMUSG00000109314	0.4550681386758608	0.0493014915878658	30.55094106570205
ENSMUSG00000040952	ENSMUSG00000040952	0.4543539091921152	0.0475705303554848	62.27487454824778
ENSMUSG00000029482	Aacs	0.4411361857014487	0.0409854415125949	38.04536765494585
ENSMUSG00000039062	ENSMUSG00000039062	0.4407460151967989	0.0345492681755898	25.70914234275426
ENSMUSG00000109814	ENSMUSG00000109814	0.4365711669378139	0.0413863073017027	35.61867487709221
ENSMUSG00000085087	ENSMUSG00000085087	0.4347448623450963	0.0487923287020567	110.0688875204978
ENSMUSG00000006542	Prkag3	0.4232936603434362	0.0447323244376525	62.46599074696567
ENSMUSG00000069008	ENSMUSG00000069008	0.4179064117794981	0.041136923518858	92.99763437851524
ENSMUSG00000026185	Igfbp5	0.4175921983298167	0.0298263406558251	54.49779812065805
ENSMUSG00000042541	ENSMUSG00000042541	0.4174341083343386	0.0365837797917454	56.04997769847906
ENSMUSG00000022894	ENSMUSG00000022894	0.4156963756781362	0.032443408989832	45.61841733335343
ENSMUSG00000028195	Ccn1	0.4147696921524607	0.0440949707188841	119.8360963983724
ENSMUSG00000020460	ENSMUSG00000020460	0.4142695101008412	0.0420959418941772	96.45563747132668
ENSMUSG00000002808	ENSMUSG00000002808	0.4123608691426781	0.0385805070436492	69.582253484635
ENSMUSG00000098950	ENSMUSG00000098950	0.4093736585714371	0.0406948471836901	94.6480322035276
ENSMUSG00000079042	Apela	0.4080482199619098	0.0443832753233049	70.63257039071989
ENSMUSG00000022949	ENSMUSG00000022949	0.4079243226534571	0.031509083259798	49.722127870798126
ENSMUSG00000033020	ENSMUSG00000033020	0.4077857398843554	0.0729812228296005	156.79081605757398
ENSMUSG00000009013	Dynll1	0.4070219667770893	0.0503642890090525	102.4943413072156
ENSMUSG00000014158	ENSMUSG00000014158	0.406399829871847	0.0537202095911116	174.22654791965547
ENSMUSG00000022679	Mpv17l	0.4056794192020077	0.0502418287484843	79.61413191136359
ENSMUSG00000048040	Arxes2	0.4047816903630885	0.0379925149822535	68.37075398150878
ENSMUSG00000021974	ENSMUSG00000021974	0.403756163828542	0.0329880758718658	67.65618966510013
ENSMUSG00000039477	ENSMUSG00000039477	0.4013332699133739	0.0299496042028996	74.0
ENSMUSG00000038695	ENSMUSG00000038695	0.4003927722777984	0.0357684394125871	60.01708090202322
ENSMUSG00000000120	ENSMUSG00000000120	0.4001351239873617	0.057268866325058	200.19992507491105
ENSMUSG00000045294	Insig1	0.4000121865892209	0.0359567822916978	84.79646219035321
ENSMUSG00000026602	Nphs2	0.3995599435433731	0.0504604439368795	52.54483799575368
ENSMUSG00000070003	ENSMUSG00000070003	0.3990588438257552	0.0323312427858067	53.21851181684809
ENSMUSG00000031503	ENSMUSG00000031503	0.3989548365680889	0.0394362481700518	108.56283894593032
ENSMUSG00000003814	ENSMUSG00000003814	0.396246376627604	0.0380222166125561	102.61754235996884
ENSMUSG00000068037	ENSMUSG00000068037	0.3954395262571404	0.0205451185169898	42.21954523677393
ENSMUSG00000089774	Slc5a3	0.3933206568027942	0.03287327192393	90.30193796370042
ENSMUSG00000034159	ENSMUSG00000034159	0.3932569810981507	0.0471297052673246	109.1356953521624
ENSMUSG00000029829	ENSMUSG00000029829	0.3929276569430381	0.0280951088899395	55.14898004496547
ENSMUSG00000038624	Nepn	0.3914385782604263	0.0322681766958706	82.13866324697524
ENSMUSG00000007872	Id3	0.3913428184279049	0.0444521773377293	124.00983831938495
ENSMUSG00000084786	ENSMUSG00000084786	0.3908400606137958	0.0437790744890084	131.22560725712037
ENSMUSG00002074875	ENSMUSG00002074875	0.3906241914466882	0.0472504873744119	152.9621194936838
ENSMUSG00000002831	Plin4	0.3901747131416609	0.037816661145708	86.47201859561277
ENSMUSG00000065353	Snora73b	0.3900677223387463	0.0332002447439491	112.63232218151236
ENSMUSG00000064254	ENSMUSG00000064254	0.3898945271833758	0.0357765738309165	114.14048361558665
ENSMUSG00000104713	Gbp6	0.3887060413179373	0.0262210543663079	81.18842282000557
ENSMUSG00000002797	Ggct	0.3887044831073217	0.0261116253872621	95.40104821227072
ENSMUSG00000020782	ENSMUSG00000020782	0.3875785216644981	0.0312591448174414	90.56732302547094
ENSMUSG00000041577	Prelp	0.3872170053320224	0.0467987158062205	171.709085374071
ENSMUSG00000105954	ENSMUSG00000105954	0.3871413713698349	0.0310242297353757	114.15060227611592
