gene	symbol	rewiring_mean	rewiring_std	logFC	FDR	q_BH
ENSMUSG00000059824	ENSMUSG00000059824	0.4554725430857728	0.0502223610154992			
ENSMUSG00000090101	ENSMUSG00000090101	0.4543467248982649	0.0574632548732966			
ENSMUSG00000022419	ENSMUSG00000022419	0.4361791165186572	0.0685132198024143			
ENSMUSG00000109378	ENSMUSG00000109378	0.4343479875926634	0.0263775057917855			
ENSMUSG00000062456	ENSMUSG00000062456	0.4298769580649635	0.0468327630666087			
ENSMUSG00000027800	ENSMUSG00000027800	0.4265943487983447	0.0281509516022244			
ENSMUSG00000095123	ENSMUSG00000095123	0.4254053210412556	0.0436683402792692			
ENSMUSG00000019768	ENSMUSG00000019768	0.4247436912176305	0.0472150962908249			
ENSMUSG00002074846	ENSMUSG00002074846	0.4227241714591529	0.0494904088053931			
ENSMUSG00000030587	ENSMUSG00000030587	0.4212338740969846	0.063314505901526			
ENSMUSG00000090124	ENSMUSG00000090124	0.416947080633099	0.0274243582713761			
ENSMUSG00000002504	ENSMUSG00000002504	0.4160592318647348	0.0333804193800564			
ENSMUSG00000061474	ENSMUSG00000061474	0.4134849323871067	0.028545150944275			
ENSMUSG00000001642	ENSMUSG00000001642	0.4126211334664106	0.041617295639689			
ENSMUSG00000120079	ENSMUSG00000120079	0.4097539425309395	0.0435242991939328			
ENSMUSG00000029372	ENSMUSG00000029372	0.4084849772687419	0.0407085431605405			
ENSMUSG00000027907	ENSMUSG00000027907	0.4084048345268455	0.0492101066603327			
ENSMUSG00000105643	ENSMUSG00000105643	0.4069122795477763	0.0435211342047406			
ENSMUSG00000031253	ENSMUSG00000031253	0.4049548833732311	0.0482087776834441			
ENSMUSG00000010607	ENSMUSG00000010607	0.4042839124173921	0.0493462577700198			
ENSMUSG00000025892	ENSMUSG00000025892	0.4011616348816974	0.0311614802608901			
ENSMUSG00000033880	ENSMUSG00000033880	0.3996296362897054	0.0329119802425875			
ENSMUSG00000047583	ENSMUSG00000047583	0.3986389798129096	0.0293402746737073			
ENSMUSG00000064966	ENSMUSG00000064966	0.3979183112692038	0.0382025328639648			
ENSMUSG00000058443	ENSMUSG00000058443	0.3970027848272445	0.0218798357373149			
ENSMUSG00000047907	ENSMUSG00000047907	0.3969489724597594	0.0288996314164303			
ENSMUSG00000022661	ENSMUSG00000022661	0.3956471470827395	0.020706206876047			
ENSMUSG00000020889	ENSMUSG00000020889	0.3949756421117165	0.0463340945230501			
ENSMUSG00000056749	ENSMUSG00000056749	0.3944710116718674	0.0261192939967724			
ENSMUSG00000032098	ENSMUSG00000032098	0.3926141722346615	0.0448881747683974			
ENSMUSG00000059049	ENSMUSG00000059049	0.3923753459901195	0.0407830425564817			
ENSMUSG00000031775	ENSMUSG00000031775	0.3922266975048366	0.046911424749386			
ENSMUSG00000121504	ENSMUSG00000121504	0.3921992543730682	0.050008928034547			
ENSMUSG00000006649	ENSMUSG00000006649	0.3907079616076033	0.0327984960975125			
ENSMUSG00000062006	ENSMUSG00000062006	0.390338596498716	0.0425807893646365			
ENSMUSG00000022504	ENSMUSG00000022504	0.3892160180246495	0.0282115552664331			
ENSMUSG00000073274	ENSMUSG00000073274	0.3882066093584212	0.0260200675923193			
ENSMUSG00000102070	ENSMUSG00000102070	0.3877840274838887	0.0450145197392677			
ENSMUSG00000109628	ENSMUSG00000109628	0.3866801944470175	0.0445334138589194			
ENSMUSG00000100850	ENSMUSG00000100850	0.3860073851525362	0.0346803619523931			
ENSMUSG00000028150	ENSMUSG00000028150	0.3856618360606121	0.0385941296918532			
ENSMUSG00000115190	ENSMUSG00000115190	0.3853471798875357	0.0257801882117138			
ENSMUSG00000004988	ENSMUSG00000004988	0.384733961571199	0.0314020362905529			
ENSMUSG00000091021	ENSMUSG00000091021	0.3845586506866799	0.0552565026056554			
ENSMUSG00000074183	ENSMUSG00000074183	0.3844020737913256	0.0434562174290154			
ENSMUSG00000052563	ENSMUSG00000052563	0.3840064387959957	0.0526960323169286			
ENSMUSG00000029830	ENSMUSG00000029830	0.3833743076590273	0.0534544654755944			
ENSMUSG00000020846	ENSMUSG00000020846	0.3827678827666317	0.042992082125496			
ENSMUSG00000026674	ENSMUSG00000026674	0.3812326297674465	0.0475498219230866			
ENSMUSG00000032575	ENSMUSG00000032575	0.3802547634520297	0.0395766526249367			
ENSMUSG00000052837	ENSMUSG00000052837	0.379235517342427	0.0331372544474992			
ENSMUSG00000034762	ENSMUSG00000034762	0.3775840083227187	0.0397487584777196			
ENSMUSG00000008348	ENSMUSG00000008348	0.3769108075007099	0.0504117578703171			
ENSMUSG00000027074	ENSMUSG00000027074	0.3766992997013518	0.0504950554468661			
ENSMUSG00000069305	ENSMUSG00000069305	0.3763427840708578	0.0248206366576603			
ENSMUSG00000027829	ENSMUSG00000027829	0.3759327578274308	0.0352415954194665			
ENSMUSG00000065947	ENSMUSG00000065947	0.3759281610572224	0.0288147211846824			
ENSMUSG00000061353	ENSMUSG00000061353	0.3752955000337159	0.0332934752811693			
ENSMUSG00000029309	ENSMUSG00000029309	0.3750026522998062	0.0322344142493385			
ENSMUSG00000055148	ENSMUSG00000055148	0.3747679315018563	0.0309683400679343			
ENSMUSG00000027204	ENSMUSG00000027204	0.3743796725881162	0.0486288183136573			
ENSMUSG00000087819	ENSMUSG00000087819	0.3742571899832257	0.0446614024769473			
ENSMUSG00000114432	ENSMUSG00000114432	0.3737367844365692	0.0392448253831373			
ENSMUSG00000019894	ENSMUSG00000019894	0.3733434305630339	0.0375509344709204			
ENSMUSG00000007783	ENSMUSG00000007783	0.3730711327626556	0.0208173994982014			
ENSMUSG00000108214	ENSMUSG00000108214	0.3714295481059579	0.0585150227669557			
ENSMUSG00000047246	ENSMUSG00000047246	0.37123936319677	0.0321722806081019			
ENSMUSG00000118671	ENSMUSG00000118671	0.3708739228648789	0.0300256146092669			
ENSMUSG00000006570	ENSMUSG00000006570	0.3707938994226852	0.0357182210503311			
ENSMUSG00000088948	ENSMUSG00000088948	0.3705597541520502	0.0571965103983392			
ENSMUSG00000041881	ENSMUSG00000041881	0.3698740116633253	0.0323877940607253			
ENSMUSG00000037347	ENSMUSG00000037347	0.369830536177605	0.0557125959374993			
ENSMUSG00000027487	ENSMUSG00000027487	0.3696109463342844	0.0439623237327857			
ENSMUSG00000023067	ENSMUSG00000023067	0.3691501358857437	0.0325656453805276			
ENSMUSG00000047586	ENSMUSG00000047586	0.368930382888461	0.0244084392569345			
ENSMUSG00000034739	ENSMUSG00000034739	0.3679681841214707	0.0517771528238146			
ENSMUSG00000021943	ENSMUSG00000021943	0.3676594257625011	0.0573455697708564			
ENSMUSG00000022878	ENSMUSG00000022878	0.3675553535428312	0.0359532711883866			
ENSMUSG00000027559	ENSMUSG00000027559	0.3675215431202288	0.0395696358004212			
ENSMUSG00000015981	ENSMUSG00000015981	0.367272332244518	0.0631114408564932			
ENSMUSG00000034926	ENSMUSG00000034926	0.3671276616019282	0.0414937183046966			
ENSMUSG00000093535	ENSMUSG00000093535	0.3666879766263457	0.030747638165389			
