gene	delta_interaction	delta_old	delta_yng
ENSMUSG00000109378	0.2215126255107726	0.2128353620818908	0.4343479875926634
ENSMUSG00000015405	0.1809412988915286	0.454962357650079	0.2740210587585504
ENSMUSG00000027800	0.1742450419304516	0.2523493068678931	0.4265943487983447
ENSMUSG00000002504	0.16057195864199603	0.2554872732227388	0.4160592318647348
ENSMUSG00000073274	0.1512070609520403	0.2369995484063809	0.3882066093584212
ENSMUSG00000022510	0.14639484590853216	0.2031853639054856	0.3495802098140178
ENSMUSG00000032554	0.14007611739141035	0.4767846814621288	0.3367085640707185
ENSMUSG00000047586	0.13634164806971177	0.2325887348187492	0.368930382888461
ENSMUSG00000068740	0.1353900577490531	0.3881006539839984	0.2527105962349453
ENSMUSG00000006057	0.1336589418352891	0.4033184579287492	0.2696595160934601
ENSMUSG00000090077	0.1324572970046962	0.3350283777079457	0.2025710807032495
ENSMUSG00000047583	0.1284028749849106	0.270236104827999	0.3986389798129096
ENSMUSG00000120425	0.1217306988495013	0.2040977196958406	0.3258284185453419
ENSMUSG00000069516	0.1214196370428216	0.2330186923757212	0.3544383294185428
ENSMUSG00000007097	0.12001653195650192	0.4279747511506477	0.3079582191941458
ENSMUSG00000054986	0.11995918819461371	0.3572391922431899	0.2372800040485762
ENSMUSG00000018900	0.11988089995305651	0.4027857394361426	0.2829048394830861
ENSMUSG00000007892	0.11986484344171822	0.3857541605412324	0.2658893170995142
ENSMUSG00000032175	0.1194942960719933	0.4571975059356303	0.337703209863637
ENSMUSG00000056755	0.1190397053045067	0.4290078535854423	0.3099681482809356
ENSMUSG00000085133	0.1155183371316276	0.3534519690483165	0.2379336319166889
ENSMUSG00000025868	0.1134348810442852	0.3512533755611213	0.2378184945168361
ENSMUSG00000090101	0.11304167108965851	0.3413050538086064	0.4543467248982649
ENSMUSG00000050737	0.11266702448793281	0.4044462807591619	0.2917792562712291
ENSMUSG00000085385	0.11225129998529512	0.3317290011699449	0.2194777011846498
ENSMUSG00000029368	0.1118146286055346	0.2365335217368721	0.3483481503424067
ENSMUSG00000068263	0.11020817691669182	0.4063457861492841	0.2961376092325923
ENSMUSG00000061028	0.1082302271258781	0.4241033283378977	0.3158731012120196
ENSMUSG00000031775	0.10774093050538613	0.4999676280102227	0.3922266975048366
ENSMUSG00000081604	0.10771559672020417	0.3475243179294539	0.2398087212092497
ENSMUSG00000033453	0.10742001025555142	0.1777430974223131	0.2851631076778645
ENSMUSG00000024610	0.1071560325040612	0.4173907099621098	0.3102346774580486
ENSMUSG00000087819	0.10692489741655203	0.2673322925666737	0.3742571899832257
ENSMUSG00000033880	0.1047767466805058	0.2948528896091996	0.3996296362897054
ENSMUSG00000062456	0.10456354285525149	0.325313415209712	0.4298769580649635
ENSMUSG00000028469	0.10361787487948038	0.379967762788886	0.2763498879094056
ENSMUSG00002076161	0.10277565840800959	0.2299210303772963	0.3326966887853059
ENSMUSG00000037035	0.10269498267037919	0.4039651577531217	0.3012701750827425
ENSMUSG00000120167	0.10268189866083371	0.3787756848474274	0.2760937861865937
ENSMUSG00000009927	0.10210729780126043	0.3408418764787953	0.2387345786775349
ENSMUSG00000025375	0.10180163794769079	0.241106139985886	0.3429077779335768
ENSMUSG00000055839	0.10120883445812218	0.296584207900315	0.1953753734421928
ENSMUSG00000024650	0.10049409647385787	0.3924393989485019	0.291945302474644
ENSMUSG00000027829	0.10045623533592579	0.275476522491505	0.3759327578274308
ENSMUSG00000120254	0.09977900849451671	0.3513290229825884	0.2515500144880717
ENSMUSG00000019768	0.09913461588647621	0.3256090753311543	0.4247436912176305
ENSMUSG00000036752	0.09913114604649609	0.3853666710470356	0.2862355250005395
ENSMUSG00000028427	0.098889554233481	0.4121659249446147	0.3132763707111337
ENSMUSG00000086938	0.09888831075496299	0.3478543851418508	0.2489660743868878
ENSMUSG00000050097	0.0986615922272999	0.3472887759247817	0.2486271836974818
ENSMUSG00002074846	0.09822730440500255	0.3244968670541504	0.4227241714591529
ENSMUSG00000103928	0.0980603472307438	0.3817276562661286	0.2836673090353848
ENSMUSG00000038641	0.09780762546900196	0.3748729131188069	0.2770652876498049
ENSMUSG00000062661	0.0973810940006739	0.4077045305090895	0.3103234365084156
ENSMUSG00000047793	0.09720171854820867	0.2785210305753544	0.1813193120271457
ENSMUSG00000031167	0.09716202117313716	0.2694417709269155	0.3666037921000527
ENSMUSG00000120623	0.09714016510698648	0.3704548245251807	0.2733146594181942
ENSMUSG00000018486	0.09611773572412813	0.3464403957852392	0.2503226600611111
ENSMUSG00000009013	0.09590969625025347	0.3460965764097882	0.2501868801595347
ENSMUSG00000053964	0.0953211847159357	0.4091569506526081	0.3138357659366724
ENSMUSG00000038803	0.09497044253482578	0.2017030293204658	0.2966734718552916
ENSMUSG00000024011	0.09487172594196719	0.3542054266224119	0.2593337006804447
ENSMUSG00000039579	0.09381576540128828	0.3217199348152562	0.2279041694139679
ENSMUSG00000050608	0.09377209020619981	0.3833523527796348	0.289580262573435
ENSMUSG00000052837	0.09293547262925311	0.2863000447131739	0.379235517342427
ENSMUSG00000026315	0.0925173636425149	0.2397828590033374	0.3323002226458523
ENSMUSG00000019689	0.0923463682559787	0.4202931354496567	0.327946767193678
