gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000073640	350	-0.4043217666679989	-0.45299396234222306	0.0	0.0
ENSMUSG00000084803	350	0.21912936321459903	0.17783702973158705	2.220446049250313e-16	1.8503717077085943e-13
ENSMUSG00000007097	93	-1.1349061261862559	-1.1318927056890304	2.220446049250313e-16	1.8503717077085943e-13
ENSMUSG00000044645	302	-0.2816882261919097	-0.21597967788901928	3.552713678800501e-15	2.220446049250313e-12
ENSMUSG00000029108	243	-0.0011019608005895666	-0.001038633188579216	5.142553050063725e-13	2.5712765250318625e-10
ENSMUSG00000100426	134	-0.10290884034475262	-0.09748826431863346	1.1213252548714081e-12	4.6721885619642e-10
ENSMUSG00000066632	305	-0.21381983517203634	-0.17758693847169205	3.034461570905478e-12	1.0837362753233849e-09
ENSMUSG00000032554	164	0.09070443101227414	0.05432631066746277	4.114375506958368e-12	1.2857423459244899e-09
ENSMUSG00000031380	196	0.00931611177511456	0.006828146820741713	4.719669099984003e-12	1.311019194440001e-09
ENSMUSG00002075625	266	-0.15691033555194767	-0.15228559419033386	8.064549028574675e-12	2.0161372571436686e-09
ENSMUSG00000036278	142	0.012411714025072735	0.021271197943885517	3.8257064183255807e-11	8.694787314376319e-09
ENSMUSG00000094932	386	0.3991068114060914	0.32156896935042534	4.8326342927396126e-11	1.0067988109874193e-08
ENSMUSG00000040584	225	0.02124314494431144	0.01783538469225612	6.066958047057369e-11	1.1496617150338499e-08
ENSMUSG00000033569	125	-0.27601447738707247	-0.2631777856962504	6.438105604189559e-11	1.1496617150338499e-08
ENSMUSG00000078875	427	-0.659027718007566	-0.53453463588472	8.752765179309563e-11	1.4587941965515938e-08
ENSMUSG00000068893	84	1.6402257336303558	1.3310889220878743	9.921152788194831e-11	1.5501801231554424e-08
ENSMUSG00000034205	182	0.40407883562147573	0.44896264263772256	1.2539436156089323e-10	1.8262659902864204e-08
ENSMUSG00000100210	87	-1.5096542246639777	-1.1511961602582355	1.3149115130062228e-10	1.8262659902864204e-08
ENSMUSG00000092746	202	0.19999598958529446	0.14980971589379755	1.859236098411543e-10	2.4463632873836092e-08
ENSMUSG00000005413	279	0.04940051502781064	0.052304061210059996	3.4994229736184934e-10	4.374278717023117e-08
ENSMUSG00000034739	166	0.22684565242379778	0.27539401606348635	6.889636638973684e-10	8.201948379730577e-08
ENSMUSG00000069273	88	-1.0361273247748672	-1.0466051194522308	1.1205596450736266e-09	1.273363233038212e-07
ENSMUSG00000120777	438	-0.06553012253716484	-0.05579405619687035	3.2272441385927664e-09	3.50787406368779e-07
ENSMUSG00000026620	245	0.29917447790503476	0.3247944265352697	1.0603650180129875e-08	1.1045468937635288e-06
ENSMUSG00000071005	207	-0.09839314296841371	-0.13108452852466845	1.6155789817062782e-08	1.6155789817062782e-06
ENSMUSG00000027487	431	-0.03845447152852877	-0.03194664734892991	2.336717963569157e-08	2.2468441957395743e-06
ENSMUSG00000028553	184	-0.18582505881786093	-0.12807564956359566	3.493376288243866e-08	3.2346076742998755e-06
ENSMUSG00000040943	86	-0.75901216925122	-0.6147026853618875	6.08384417288832e-08	5.432003725793143e-06
ENSMUSG00000022435	80	1.0472177362069477	0.8450566058626165	7.642485810865907e-08	6.588349836953368e-06
ENSMUSG00000068037	201	0.0934681555838299	0.10064331743473517	9.475360818189671e-08	7.89613401515806e-06
ENSMUSG00000070661	116	0.02933155670762045	0.02313610514899385	1.8169691995417736e-07	1.4652977415659464e-05
ENSMUSG00000048583	151	0.0696172298863548	0.06697618764924511	3.9331018764077186e-07	3.07273584094353e-05
ENSMUSG00000038526	134	0.10811829626909505	0.10327278367621046	4.124442001263162e-07	3.1245772736842135e-05
ENSMUSG00000006200	168	-0.48195087050553514	-0.4006850760193562	7.196120777042125e-07	5.2912652772368566e-05
ENSMUSG00000040441	239	-0.07364513054490164	-0.07340007959189868	7.534498390748823e-07	5.3817845648205876e-05
ENSMUSG00000059213	141	-0.2256135378964253	-0.22369363116875368	8.937247215623501e-07	6.04982429018162e-05
ENSMUSG00000038968	172	0.1858126057311874	0.16916986294822647	8.953739949468797e-07	6.04982429018162e-05
ENSMUSG00000074445	86	1.440323601011184	1.0834045229820086	1.1261619782265697e-06	7.408960383069538e-05
ENSMUSG00000010760	95	-0.30708616413175716	-0.18838215945689785	1.227400274639301e-06	7.743614978406033e-05
ENSMUSG00000069008	280	0.048657543025913214	0.03871965644073106	1.2389783965449652e-06	7.743614978406033e-05
ENSMUSG00000112188	84	-0.29047863353043835	-0.24022942921339963	1.3728145523694835e-06	8.370820441277338e-05
ENSMUSG00000087881	93	-1.1574716687202447	-1.0515046567632949	1.6817769227239765e-06	0.00010010576920976051
ENSMUSG00000118653	253	0.18413693085313035	0.11273499836345062	2.2942528045133415e-06	0.000133386790960078
ENSMUSG00000030096	113	-0.3810326591134065	-0.304565684848009	2.424026137370916e-06	0.00013772875780516567
ENSMUSG00000048007	98	0.27393297888338214	0.2569266225541387	2.9721079306543885e-06	0.00016511710725857713
ENSMUSG00000039579	216	-0.3053491884842523	-0.3134949328413471	3.5863620011511443e-06	0.00019491097832343175
ENSMUSG00000065701	124	-0.5546987168490896	-0.4005522408389962	4.0412130153377746e-06	0.00021495813911371142
ENSMUSG00000026205	99	0.17482282221317216	0.10162721226786746	5.196151327102605e-06	0.0002706328816199273
ENSMUSG00000095041	94	-0.5743698214122563	-0.4838709689387787	5.751882485083293e-06	0.0002934633920960864
ENSMUSG00000049539	96	0.2861702369526023	0.35606076112302226	6.372233989693221e-06	0.00031861169948466106
ENSMUSG00000021207	123	0.18433485710993322	0.13127430353337882	7.092908167360967e-06	0.00034769157683141994
ENSMUSG00000037563	185	-0.28178030159324435	-0.24876081694654484	7.75978449396586e-06	0.0003730665622098971
ENSMUSG00000028970	99	-0.06699561551213076	-0.061415306533907935	9.667144010960804e-06	0.00045467234201903407
ENSMUSG00000013415	278	-0.025546385685448307	-0.03034688684222763	9.820922587611136e-06	0.00045467234201903407
ENSMUSG00000108884	83	-0.013305728137493299	-0.011759213359992624	1.0096267227144295e-05	0.00045892123759746795
ENSMUSG00000073530	159	-0.06854146495461252	-0.0642388371345264	1.0541099793703879e-05	0.00047038609951588484
ENSMUSG00000001943	119	0.7315595918334997	0.6048642020080697	1.0724803068962174e-05	0.00047038609951588484
ENSMUSG00000062456	98	0.7844172025565064	0.7081405479503144	1.2677639919189687e-05	0.0005464499965167969
ENSMUSG00000052572	169	0.011002168059345346	0.009173019595375585	1.4756131116677729e-05	0.0006193203569241726
ENSMUSG00000043496	143	0.279392620921131	0.2510489555130755	1.4863688566180144e-05	0.0006193203569241726
ENSMUSG00000106867	160	-0.4390029327943939	-0.3886630443626947	1.8783363133767494e-05	0.0007698099644986678
ENSMUSG00000039542	243	-0.010645221173761881	-0.01212258745730896	1.9383067492828587e-05	0.000781575302130185
ENSMUSG00000010607	90	-1.322315707022795	-1.009730484395487	2.1652295969176727e-05	0.0008502880408187835
ENSMUSG00000054052	220	0.21006316570565026	0.24179561320519324	2.1767373844960858e-05	0.0008502880408187835
ENSMUSG00000107722	143	-0.7490761514753078	-0.6369328110838068	2.269744422023212e-05	0.0008729786238550816
ENSMUSG00000106838	103	-0.8637519333511597	-0.7650115462150313	2.382142607926241e-05	0.0009023267454266064
ENSMUSG00000103146	93	-0.4709167718887372	-0.4540123308139085	2.418568622386541e-05	0.0009024509785024407
ENSMUSG00000026043	149	0.021727633476254088	0.018629507791264512	2.556578017010036e-05	0.0009399183886066309
ENSMUSG00000013611	85	1.194785360060631	0.9389047064656322	2.7189295142004966e-05	0.0009851193892030784
ENSMUSG00000015962	127	0.724024313688277	0.6649221501830771	2.845453212729776e-05	0.0010162332902606344
ENSMUSG00000089960	152	0.11576306419447419	0.10317804613928272	3.172275429397242e-05	0.0011169983906328318
ENSMUSG00000032401	174	0.5308911673724623	0.42618229566296323	3.291132696747745e-05	0.001142754408592967
ENSMUSG00000058833	85	-1.2511937208473691	-0.9806319801344026	3.409234142681683e-05	0.001167545939274549
ENSMUSG00000025144	98	0.9051463339012111	0.7906231030917846	4.065557542698439e-05	0.0013734991698305537
ENSMUSG00000095079	251	-0.5994964973535367	-0.4538334105458328	5.071581409565873e-05	0.0016905271365219576
ENSMUSG00000058351	83	-0.8183920163661269	-0.6255412537538014	5.266795220282283e-05	0.0017324984277244354
ENSMUSG00000071711	85	-1.541706552077087	-1.1189097362038531	5.4248435186754485e-05	0.001761312830738782
ENSMUSG00000091021	183	0.3520111058838685	0.23616472434508148	5.612611633820652e-05	0.001798913985198927
ENSMUSG00000072082	84	-0.4297098510898662	-0.4176200752391742	5.8128893736242304e-05	0.0018395219536785539
ENSMUSG00000116207	130	0.394359870906922	0.3063027136013118	6.157340013424051e-05	0.0019187843426963457
ENSMUSG00000107383	172	0.13946487188804857	0.12435323912792144	6.21686127033616e-05	0.0019187843426963457
ENSMUSG00000037411	213	0.16632670760154528	0.11205231152200452	7.292383983137363e-05	0.002223287799737001
ENSMUSG00000114279	98	-0.26850326722487894	-0.3008476213372655	7.399822544418289e-05	0.0022288622121741835
ENSMUSG00000114456	122	-0.42481717933551716	-0.3996203975851208	7.5534620442963e-05	0.002248054179850089
ENSMUSG00000061482	81	-1.3056141011416926	-1.1083142198016442	8.515221789540117e-05	0.002504476996923564
ENSMUSG00000031253	181	0.2428929298184804	0.19224941325083836	9.729921469459057e-05	0.0028284655434474004
ENSMUSG00000035561	133	-0.1954900994896918	-0.12449556158750415	0.00010397069965184524	0.0029876637830990012
ENSMUSG00000020609	105	0.2667353853583306	0.25924548061362906	0.00011447755963711614	0.0032522033987817086
ENSMUSG00000005547	194	-0.4001812281319884	-0.3347131828636146	0.00014290034998110102	0.004014054774750028
ENSMUSG00000021135	171	-0.23314467677846518	-0.15784208474817196	0.00014516291727273423	0.004032303257575951
ENSMUSG00000002602	107	0.8405881777405727	0.7786016253032635	0.00015592003316644565	0.00426736431470987
ENSMUSG00000117748	274	-0.08093238165601956	-0.045140053554529366	0.0001570390067813232	0.00426736431470987
ENSMUSG00000006154	259	0.1046751655638215	0.09828356635479225	0.00018289386641434646	0.004916501785331894
ENSMUSG00000106069	144	-0.16869336208328428	-0.1990604688443205	0.00019387863400099903	0.005148615706312099
ENSMUSG00000021950	99	0.14652558788657266	0.14794953667928523	0.00019564739683985977	0.005148615706312099
ENSMUSG00000037625	101	0.6269471466541277	0.4818107084911509	0.0002008266961132099	0.005203291652119798
ENSMUSG00000074634	351	0.35928605035878897	0.25183414460777354	0.00020356003266930323	0.005203291652119798
ENSMUSG00000019874	94	-0.24184734504669697	-0.2244043528257664	0.00020396903276309608	0.005203291652119798
ENSMUSG00000069300	94	-0.44647816494107667	-0.3931223596416335	0.0002067766177006325	0.005221631760116982
ENSMUSG00000026602	173	0.41526243984698813	0.3185062289125714	0.00021711734542184669	0.005427933635546167
ENSMUSG00000036523	139	0.11782413274049411	0.11497975367069518	0.0002539295349279769	0.0062853845279202195
ENSMUSG00000091898	119	0.4623938046395791	0.363157141247461	0.0002728936459646114	0.006627493522929222
ENSMUSG00000067235	160	0.19166270773857758	0.15780162026703862	0.00027318088219518977	0.006627493522929222
ENSMUSG00000110755	115	-0.29824963137507465	-0.28030579118327603	0.00027570373055385566	0.006627493522929222
ENSMUSG00000045725	136	0.1432420081458982	0.14847811669895533	0.0002857814800248937	0.006804320952973659
ENSMUSG00000041293	104	0.5015450988896157	0.46181819995950124	0.0002919012091339157	0.006884462479573483
ENSMUSG00000121184	104	-0.4302079614717518	-0.38003190368440365	0.00029780960121617017	0.0069581682527142565
ENSMUSG00000019689	87	-1.0596971966326272	-0.9170561418180746	0.00030353099896918145	0.007026180531694015
ENSMUSG00000058385	134	-0.22449008808471288	-0.17973466468329702	0.0003186714624873188	0.0073089784974155695
ENSMUSG00000041734	86	0.7624345504300465	0.7201545848287536	0.0003360951702667814	0.007578252122952722
ENSMUSG00000020911	80	0.980688236281273	0.7881631240934044	0.00033647439425910086	0.007578252122952722
ENSMUSG00000053852	216	-0.2842824816703808	-0.21471967573415174	0.0003440357107032943	0.007679368542484248
ENSMUSG00000032997	87	-0.6237341098487387	-0.5115927088180635	0.0003705499140910229	0.008198006948916436
ENSMUSG00000050359	86	0.899063962325453	0.7159467513016933	0.0004059222467948098	0.008901803657780916
