gene	rewiring_abs_obs	ci_2p5	ci_97p5
ENSMUSG00000084803	360.36316930502653	211.79844665527344	728.0826461791991
ENSMUSG00000039519	299.1510943889152	145.35318870544432	887.9470352172851
ENSMUSG00000078898	296.4347799420357	152.64599533081054	824.098272705078
ENSMUSG00000027487	289.7437344826758	208.03791542053222	580.2796051025391
ENSMUSG00000033470	281.5241191936657	204.41634521484374	599.0918273925779
ENSMUSG00000110386	279.7650438994169	146.85654106140137	553.1730209350583
ENSMUSG00000117748	253.79370065033436	122.6148868560791	604.8617416381835
ENSMUSG00000053977	244.42551919072866	94.09044647216797	632.8926635742185
ENSMUSG00000078894	241.374437879771	104.5232572555542	683.6069015502927
ENSMUSG00000002250	236.69253384321928	106.70198345184326	523.9260025024412
ENSMUSG00000078875	233.48092584311962	191.12268562316893	520.1412261962889
ENSMUSG00000009772	227.34931499511003	162.8627773284912	423.56079788208007
ENSMUSG00000120777	223.48362598195672	171.6826862335205	421.079833984375
ENSMUSG00000087141	219.4403050877154	152.52337837219238	378.3684341430664
ENSMUSG00000069008	215.30196325480938	139.33734664916992	485.18448181152337
ENSMUSG00000066632	214.05175495892763	164.73752784729004	485.29676589965817
ENSMUSG00000029368	211.31881439685822	164.0559871673584	402.563562774658
ENSMUSG00000057036	209.93382350355387	36.852134704589844	614.7855529785156
ENSMUSG00000111792	208.37026932742447	140.56848182678223	468.1404312133786
ENSMUSG00000112165	203.6367287375033	134.4951202392578	394.7841011047363
ENSMUSG00000074634	198.87717666104436	155.74306831359863	354.7928390502929
ENSMUSG00000095545	197.63944520428777	165.84464073181152	372.4131675720214
ENSMUSG00000096596	196.69653134793043	113.46795749664307	449.83549118041987
ENSMUSG00000102644	195.00781443621963	147.7790069580078	414.6872825622554
ENSMUSG00000071532	194.78002174198627	124.43156204223632	496.80608825683584
ENSMUSG00000095648	194.51529971323907	152.44144172668456	451.9920799255371
ENSMUSG00000094932	193.15891856513917	74.85062732696534	499.5319671630858
ENSMUSG00000095675	193.14117144793272	112.1979148864746	441.2588554382324
ENSMUSG00000074527	188.86576263606548	162.28721809387207	444.33346405029283
ENSMUSG00000038224	183.2289309874177	97.528000831604	403.81087570190414
ENSMUSG00000063415	182.16610442101955	136.95797729492188	322.480899810791
ENSMUSG00000100975	182.03030307590961	88.84825134277344	448.91629867553706
ENSMUSG00000039542	179.82000415027142	140.43501319885254	295.2643669128417
ENSMUSG00000028337	179.80913263559341	138.79299926757812	295.45460586547847
ENSMUSG00000111655	177.64291511662304	57.79802598953247	557.3217330932617
ENSMUSG00000071178	175.55229883734137	148.21697731018065	317.5623001098632
ENSMUSG00000118653	174.83619574457407	86.6246129989624	396.174845123291
ENSMUSG00000097702	174.0680115185678	149.78719062805175	287.95703125
ENSMUSG00000095079	172.89576284214854	109.15509033203125	356.34969482421843
ENSMUSG00000104336	172.59559785574675	104.35867710113526	362.4745773315429
ENSMUSG00000070348	171.91916986182332	110.37756633758545	346.1084899902344
ENSMUSG00000091756	171.91900165379047	99.27463703155517	387.72069854736327
ENSMUSG00000035202	171.6340495236218	118.01436614990234	378.6392745971679
ENSMUSG00000107068	170.3709886991419	150.78389739990234	386.1007995605469
ENSMUSG00000039579	169.73368820734322	123.00694923400879	291.64420242309563
ENSMUSG00002075625	169.72906447015703	130.80391311645508	340.8432441711425
ENSMUSG00000006724	169.40694002062082	106.64010944366456	371.13305053710934
ENSMUSG00000044645	167.78912856429815	128.4679012298584	315.6616806030273
ENSMUSG00000112324	167.74729811772704	102.23066349029541	380.3434913635254
ENSMUSG00000033831	167.69412839971483	123.63565082550049	314.2461967468261
ENSMUSG00000025481	166.36807999759912	121.57362384796143	356.35729141235345
ENSMUSG00000070469	166.3267651796341	87.83798866271972	340.95383682250963
ENSMUSG00000043496	165.79324863106012	132.00213432312012	282.5983970642088
ENSMUSG00000040584	165.27014026418328	110.11422100067139	299.4515243530273
