gene	rewiring_abs_obs	ci_2p5	ci_97p5
ENSMUSG00000094932	378.4421076346189	121.2592384338379	948.6789810180659
ENSMUSG00000108833	323.02984937280416	156.46736831665038	659.9913497924805
ENSMUSG00000027487	301.59583059698343	219.73800392150878	457.41376113891596
ENSMUSG00000094306	298.71900989860296	155.52140769958496	753.9424438476562
ENSMUSG00000091756	274.5808451361954	166.8130081176758	475.5910217285155
ENSMUSG00000099927	257.99350551329553	174.900870513916	477.87098693847645
ENSMUSG00000097702	237.25873724371195	130.48283615112305	530.5730133056637
ENSMUSG00000112689	230.0057613910176	213.7641845703125	472.78559265136715
ENSMUSG00000073125	228.55955022387207	153.52135200500487	505.0132141113281
ENSMUSG00000120777	222.9378659967333	204.50466613769532	526.2856674194336
ENSMUSG00000095616	221.34513618797064	80.57966995239258	636.0011932373046
ENSMUSG00000057836	212.88526263460517	120.92134094238281	432.78503341674775
ENSMUSG00000110386	204.20661740005016	138.94613876342774	535.6514556884763
ENSMUSG00000033470	203.1501034675166	135.45447959899903	510.19054641723596
ENSMUSG00000074634	202.42692261189222	107.47354698181152	465.277180480957
ENSMUSG00000111792	201.66966303437948	167.81621170043945	448.37685241699216
ENSMUSG00000052749	196.48640583828092	136.67744407653808	594.273791503906
ENSMUSG00000044645	188.11873529106379	85.04137210845947	483.7610481262207
ENSMUSG00000074527	184.56623262166977	143.02413749694824	525.3356781005855
ENSMUSG00000091345	178.61684411484748	78.58639392852783	474.71638793945283
ENSMUSG00000098306	176.6233761794865	137.14630126953125	512.4223327636715
ENSMUSG00000070645	175.47209726274014	113.36675643920898	312.30115737915037
ENSMUSG00000095545	169.50792640447617	78.50370788574219	369.52394332885723
ENSMUSG00000071532	168.4782072454691	95.45785064697266	371.2540061950683
ENSMUSG00000117748	167.86808121018112	87.63191223144531	318.08053207397444
ENSMUSG00000111497	166.6904011014849	96.95862426757813	331.85314636230464
ENSMUSG00000104336	163.0220248065889	94.62299690246581	345.78115310668943
ENSMUSG00000058927	158.27842624112964	100.15205078125	315.4231071472166
ENSMUSG00000078898	154.45397468283772	90.28288269042969	394.13642196655223
ENSMUSG00000102644	152.97899490222335	92.35501956939697	320.217142486572
ENSMUSG00000023046	145.06169626489282	96.90982055664062	309.0253852844237
ENSMUSG00000107068	144.42442995496094	108.2436294555664	291.83935546875
ENSMUSG00000073640	144.09262622334063	71.00653419494628	323.1658782958982
ENSMUSG00000071984	143.61548001505435	99.3204444885254	293.92764816284176
ENSMUSG00000112324	143.50762474397197	87.42723636627197	382.2539810180663
ENSMUSG00000078875	140.34499140828848	105.41421356201172	369.75510940551754
ENSMUSG00000019577	140.34134507924318	87.61191806793212	302.22057723998984
ENSMUSG00000066632	140.01625449955463	76.05388298034669	270.4240669250488
ENSMUSG00000099241	138.82792579196393	98.00469226837158	272.00615386962886
ENSMUSG00000116639	136.98059863969684	76.4878921508789	313.19638137817384
ENSMUSG00000078880	136.24959760252386	75.72527923583985	271.18839569091784
ENSMUSG00000026064	133.4754456395749	80.55774097442627	300.4766845703125
ENSMUSG00000097146	133.30755046755075	103.2351194381714	377.19011688232416
ENSMUSG00000083012	132.93734493479133	88.99834442138672	265.5212570190428
ENSMUSG00000069307	126.9231701712124	64.04558839797974	306.1928833007812
