gene	symbol	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000006574	ENSMUSG00000006574	303	0.0610714272595942	0.0831074727081927	0.0	0.0
ENSMUSG00000078896	ENSMUSG00000078896	380	0.3750237072817991	0.689989438730056	0.0	0.0
ENSMUSG00000073640	ENSMUSG00000073640	343	0.2802254082635034	0.4208728202994621	0.0	0.0
ENSMUSG00000094306	ENSMUSG00000094306	387	-0.0346596635878101	-0.0469935252779673	6.987743716990735e-13	4.3673398231192095e-10
ENSMUSG00000120777	ENSMUSG00000120777	446	0.209701980557293	0.2478212109504886	4.074451886992847e-11	2.0372259434964235e-08
ENSMUSG00000094932	ENSMUSG00000094932	385	-0.1336371727287778	-0.1344763109085492	6.141154251793067e-11	2.558814271580445e-08
ENSMUSG00000092746	ENSMUSG00000092746	208	-0.0857030995190122	-0.0994697233271742	2.4429358536082186e-10	8.72477090574364e-08
ENSMUSG00000064945	ENSMUSG00000064945	119	0.6723546907305703	0.8169974420500973	5.551795689839878e-10	1.734936153074962e-07
ENSMUSG00002076696	ENSMUSG00002076696	81	0.9316284835338596	1.1843263157921535	3.494850631113877e-09	9.70791841976077e-07
ENSMUSG00000096768	ENSMUSG00000096768	276	0.0534896142780795	0.0683766405665503	7.3889967477924764e-09	1.847249186948119e-06
ENSMUSG00000065701	ENSMUSG00000065701	124	0.5212923198938336	0.6237815988377862	1.3265002651863256e-08	3.014773329968922e-06
ENSMUSG00000069307	ENSMUSG00000069307	208	0.778476115129889	0.8393857228222834	2.2762309370705225e-08	4.7421477855635885e-06
ENSMUSG00000049751	ENSMUSG00000049751	84	-0.8972465045750136	-1.0557933409312863	2.7150123593777664e-07	5.221177614188012e-05
ENSMUSG00000015962	ENSMUSG00000015962	127	-0.4500921435654144	-0.567709569631932	5.947965679986567e-07	0.0001062136728569
ENSMUSG00000102918	ENSMUSG00000102918	84	-0.7234581224620354	-0.9970000575477678	1.2793813067846216e-06	0.0002132302177974
ENSMUSG00000003429	ENSMUSG00000003429	83	-0.829375652968884	-0.979287817637626	1.518174299830477e-06	0.0002308082465837
ENSMUSG00000038801	ENSMUSG00000038801	141	-0.2735908349975932	-0.3131244333788825	1.5694960767698165e-06	0.0002308082465837
ENSMUSG00000114247	ENSMUSG00000114247	89	0.5661281384527677	0.813012083370308	3.826495125536233e-06	0.0005314576563244
ENSMUSG00000015533	ENSMUSG00000015533	93	0.0967228349298229	0.1349666240065717	9.429805864713536e-06	0.0012407639295675
ENSMUSG00000032060	ENSMUSG00000032060	80	0.7668224817141884	0.8998093867585923	1.0103021773399943e-05	0.0012628777216749
ENSMUSG00000077391	ENSMUSG00000077391	118	0.2973754545673724	0.356919892764062	1.1117582998099174e-05	0.0013235217854879
ENSMUSG00000076617	ENSMUSG00000076617	259	-0.402600632607937	-0.5087217185885189	1.2678764365170458e-05	0.0014407686778602
ENSMUSG00000026154	ENSMUSG00000026154	82	-0.7217986732721304	-0.9736081654828884	1.568628751924539e-05	0.0017050312520918
ENSMUSG00000034566	ENSMUSG00000034566	81	-0.7918093204498267	-0.944654895483917	2.0208770669882803e-05	0.0021050802781127
ENSMUSG00000095041	ENSMUSG00000095041	93	0.4309688009321676	0.4620189078091863	2.1602102905471376e-05	0.0021602102905471
ENSMUSG00000079165	ENSMUSG00000079165	85	0.625311361253262	0.75932707757861	2.713610273941125e-05	0.0025050241136375
ENSMUSG00000108037	ENSMUSG00000108037	113	0.4201162606477738	0.434001226868121	2.728624832359916e-05	0.0025050241136375
ENSMUSG00000027133	ENSMUSG00000027133	81	-0.911204397678372	-0.9724033022021856	2.8056270072740475e-05	0.0025050241136375
ENSMUSG00000040441	ENSMUSG00000040441	234	-0.0676757708191863	-0.080111058587982	3.2449112688959225e-05	0.0027547895374568
ENSMUSG00000025743	ENSMUSG00000025743	89	-0.572058051824572	-0.6671175004563543	3.3057474449482704e-05	0.0027547895374568
ENSMUSG00000070720	ENSMUSG00000070720	109	-0.2182622261345371	-0.3105183114676811	5.434202879150973e-05	0.0043115219142131
ENSMUSG00000023089	ENSMUSG00000023089	82	-0.8066211700439447	-0.9603915566775648	5.518748050192812e-05	0.0043115219142131
ENSMUSG00000102602	ENSMUSG00000102602	83	0.7961427068861636	0.929789126066356	6.757845936700146e-05	0.0051195802550758
ENSMUSG00000096956	ENSMUSG00000096956	85	-0.6467518135905255	-0.7576390422840529	7.716813440450387e-05	0.0056546103356211
ENSMUSG00000041734	ENSMUSG00000041734	85	-0.6352584697306173	-0.7917581286087733	7.91645446986955e-05	0.0056546103356211
ENSMUSG00000087935	ENSMUSG00000087935	126	0.5366704968735541	0.6390885429112703	8.780523912299554e-05	0.006097586050208
ENSMUSG00000021917	ENSMUSG00000021917	81	-0.7808766953647127	-0.8589221990789591	0.0001063934758296	0.0071887483668672
