gene	ISS_minus_LAR_delta	ISS_delta	LAR_delta
ENSMUSG00002076601	0.1883383359777665	0.4731680590012191	0.2848297230234526
ENSMUSG00000024391	0.15838166966449768	0.4505695061002133	0.2921878364357156
ENSMUSG00000065208	0.1486394505646806	0.4209477796055315	0.2723083290408509
ENSMUSG00000034522	0.1481899866512516	0.4177262224030619	0.2695362357518103
ENSMUSG00000024208	0.14709365078106373	0.4151012390585767	0.268007588277513
ENSMUSG00000026602	0.1467030755929774	0.4043948209275015	0.2576917453345241
ENSMUSG00000053846	0.14486816505508138	0.3901998517665989	0.2453316867115175
ENSMUSG00000021999	0.1407404355399475	0.3575776424998366	0.2168372069598891
ENSMUSG00000060548	0.1359796817068716	0.3651324621238411	0.2291527804169695
ENSMUSG00000104503	0.1349603983878832	0.3727406391387128	0.2377802407508296
ENSMUSG00000108067	0.13278615329695706	0.3649981614392431	0.232212008142286
ENSMUSG00000003477	0.13205945605090358	0.3914476340418523	0.2593881779909487
ENSMUSG00000022358	0.1320424709703162	0.3252761253136066	0.1932336543432904
ENSMUSG00000116097	0.12650964329042869	0.3597405815478544	0.2332309382574257
ENSMUSG00000054690	0.12568231276060163	0.3279674049611763	0.2022850922005747
ENSMUSG00000036856	0.1229516617304926	0.3707755892126814	0.2478239274821888
ENSMUSG00000063787	0.12069765444227712	0.3452370650273318	0.2245394105850547
ENSMUSG00000030249	0.12053162252252353	0.4061748596721692	0.2856432371496457
ENSMUSG00000040111	0.11972718627697349	0.4245217830937738	0.3047945968168003
ENSMUSG00000037239	0.1196634563807972	0.3129423343810775	0.1932788780002803
ENSMUSG00000015656	0.11889850462301302	0.3669523648648581	0.2480538602418451
ENSMUSG00000028469	0.11680412738468751	0.2985738008996499	0.1817696735149624
ENSMUSG00000025823	0.1161498045261457	0.3514268214447927	0.235277016918647
ENSMUSG00000106320	0.11608484705396382	0.3667464047225332	0.2506615576685694
ENSMUSG00000027339	0.11484177342061447	0.318242836514356	0.2034010630937415
ENSMUSG00000100862	0.11361503117128757	0.3227055486336198	0.2090905174623322
ENSMUSG00000014599	0.11225121338554189	0.3967103228543888	0.2844591094688469
ENSMUSG00000114501	0.11194277250934842	0.3470532745443962	0.2351105020350478
ENSMUSG00000121069	0.1105403734397114	0.3435295598895594	0.232989186449848
ENSMUSG00000050069	0.1102597734399706	0.3376297655119946	0.227369992072024
ENSMUSG00000072115	0.10986692916239352	0.3456490923655262	0.2357821632031327
ENSMUSG00000047281	0.10978725877791481	0.3121214873321043	0.2023342285541895
ENSMUSG00000055430	0.10940998088946469	0.4547768112814153	0.3453668303919506
ENSMUSG00000085683	0.10794279949785024	0.3845134441227918	0.2765706446249416
ENSMUSG00000064337	0.10788953590313238	0.2949382223795828	0.1870486864764504
ENSMUSG00000112478	0.10758999485479537	0.3484270429963491	0.2408370481415537
ENSMUSG00000036751	0.1071930642767066	0.3116058150719283	0.2044127507952217
ENSMUSG00000038550	0.10608862120401277	0.2934478140417375	0.1873591928377247
ENSMUSG00000064380	0.10603822737270929	0.3624871164693902	0.2564488890966809
ENSMUSG00000078784	0.10597627979744328	0.3999226982609644	0.2939464184635211
ENSMUSG00000109378	0.1054629451941225	0.3031889615388117	0.1977260163446892
ENSMUSG00000017688	0.10413810544900831	0.3688706981804894	0.2647325927314811
ENSMUSG00000021207	0.10395377533734829	0.2499824872530189	0.1460287119156706
ENSMUSG00000121345	0.10296747737790327	0.3076984427001774	0.2047309653222741
ENSMUSG00000036764	0.10211411014025379	0.4000443962464468	0.297930286106193
ENSMUSG00000023153	0.10142235700945929	0.3527451853492832	0.2513228283398239
ENSMUSG00000070803	0.10055731286001163	0.4107027639170314	0.3101454510570198
ENSMUSG00000032068	0.0993751098548101	0.336594686457024	0.2372195766022139
ENSMUSG00000040249	0.09873113635348293	0.3133761491998027	0.2146450128463198
ENSMUSG00000061780	0.09854142702104651	0.379155921209738	0.2806144941886915
ENSMUSG00000021214	0.09841280886746162	0.355923054704713	0.2575102458372514
ENSMUSG00000046546	0.09810126963844451	0.3531201099072165	0.255018840268772
ENSMUSG00000055827	0.0973892308807332	0.3118462051578748	0.2144569742771416
ENSMUSG00000062727	0.09732368688561599	0.3340328990229924	0.2367092121373764
ENSMUSG00000104737	0.096603735912905	0.365319424799208	0.268715688886303
ENSMUSG00000029372	0.09643011587949701	0.396988987765799	0.300558871886302
ENSMUSG00000077709	0.09617306026785319	0.3452114401767298	0.2490383799088766
ENSMUSG00000103089	0.09614624226777341	0.3220999911701134	0.22595374890234
ENSMUSG00000032115	0.09605730644749802	0.3221884412482746	0.2261311348007766
ENSMUSG00000064513	0.09575285958982	0.3856719488626177	0.2899190892727977
ENSMUSG00000028339	0.09568186430375358	0.3523298627956768	0.2566479984919232
ENSMUSG00000033849	0.0956199781010228	0.3343652518622391	0.2387452737612163
ENSMUSG00000080538	0.09441573908656897	0.3571958368558913	0.2627800977693223
ENSMUSG00000107813	0.09383303066542609	0.321665790032584	0.2278327593671579
ENSMUSG00000087968	0.09352957792375713	0.3058590856543633	0.2123295077306062
ENSMUSG00000002602	0.09327588374707352	0.329516965515379	0.2362410817683055
ENSMUSG00000038775	0.0929009599646003	0.2836722020605379	0.1907712420959376
ENSMUSG00000024140	0.09271240414112081	0.3358593102701895	0.2431469061290687
ENSMUSG00000039115	0.09234213799803243	0.3658312387787958	0.2734891007807634
ENSMUSG00000015568	0.09222306527342417	0.4305971447315657	0.3383740794581415
ENSMUSG00000017390	0.09207411290458739	0.3292576702634308	0.2371835573588434
ENSMUSG00000096596	0.09198919496887703	0.345010575211157	0.25302138024228
ENSMUSG00000020604	0.09192562732376539	0.3133127740491245	0.2213871467253591
ENSMUSG00000022504	0.0919149618597046	0.2619049643785314	0.1699900025188268
ENSMUSG00000012350	0.09165952421002571	0.2644185042809995	0.1727589800709738
ENSMUSG00000079362	0.09156482741784258	0.297843250640843	0.2062784232230004
ENSMUSG00000114432	0.09151240991198778	0.3437138069585673	0.2522013970465795
ENSMUSG00000084786	0.09129292617492693	0.2903213443147926	0.1990284181398657
ENSMUSG00000018427	0.0907680316822522	0.3282463211859767	0.2374782895037245
ENSMUSG00000069516	0.09026283186164438	0.2892517206879058	0.1989888888262614
ENSMUSG00000113326	0.0899028033902296	0.3117055408911158	0.2218027375008862
ENSMUSG00000021974	0.08970467084518591	0.2893088173791342	0.1996041465339483
ENSMUSG00000103706	0.0896216021988755	0.3416489078669971	0.2520273056681216
ENSMUSG00000059146	0.08927168651843792	0.2683322884251043	0.1790606019066664
ENSMUSG00000020654	0.0891953093967463	0.3688434979855524	0.2796481885888061
ENSMUSG00000026674	0.08888972498205411	0.2958831048201858	0.2069933798381317
ENSMUSG00000119996	0.08824926454219942	0.3229802806539904	0.234731016111791
ENSMUSG00000030109	0.08779673081089451	0.3555187240828889	0.2677219932719944
ENSMUSG00000041801	0.08751606252353242	0.2675335186095517	0.1800174560860193
ENSMUSG00000059824	0.08715242237353843	0.3702761196159785	0.2831236972424401
ENSMUSG00000047844	0.0870477191974621	0.3089152786276338	0.2218675594301717
ENSMUSG00000059743	0.08666462139729053	0.3115286476131414	0.2248640262158509
ENSMUSG00000032218	0.0861530406563879	0.3754391724195306	0.2892861317631427
ENSMUSG00000102559	0.085939930893005	0.3569995012205939	0.2710595703275889
ENSMUSG00000039477	0.08570110835103717	0.2540756417318111	0.1683745333807739
ENSMUSG00000046574	0.08543945484176557	0.3368733829957667	0.2514339281540011
ENSMUSG00000030769	0.08522246363494579	0.3591460754550434	0.2739236118200976
ENSMUSG00000074578	0.08516803979127435	0.3624731407384085	0.2773051009471341
ENSMUSG00000066026	0.08503855828873289	0.3175191110869829	0.23248055279825
ENSMUSG00000121042	0.0848102507196839	0.3649370140823997	0.2801267633627158
ENSMUSG00000054435	0.0846532165197113	0.3061032183228719	0.2214500018031606
ENSMUSG00000028989	0.08449812721470423	0.3704196685150574	0.2859215413003532
ENSMUSG00000021614	0.0843561874081675	0.3306053943599337	0.2462492069517662
ENSMUSG00000028862	0.08431032446477879	0.3087055390421838	0.224395214577405
ENSMUSG00000036814	0.08412584498567599	0.2674338864227035	0.1833080414370275
ENSMUSG00000031725	0.08368436527483508	0.2935319553979306	0.2098475901230955
ENSMUSG00000026819	0.08367453446936499	0.2881998196033578	0.2045252851339928
ENSMUSG00000090124	0.08321279593639008	0.3510015081698895	0.2677887122334994
ENSMUSG00000041559	0.0832065512156707	0.2543231102265559	0.1711165590108852
ENSMUSG00000092837	0.08315526347677088	0.3944929538465938	0.3113376903698229
ENSMUSG00000038526	0.08306901458645127	0.3656253112808673	0.282556296694416
ENSMUSG00000103976	0.08306721893968871	0.3141986712455157	0.231131452305827
ENSMUSG00000078974	0.08282681845534048	0.3297207526627843	0.2468939342074438
ENSMUSG00000025743	0.08257678094357448	0.3303865009979637	0.2478097200543892
ENSMUSG00000116207	0.08238601130258594	0.3292617165837293	0.2468757052811434
ENSMUSG00000046743	0.08200332781046898	0.2149305450334648	0.1329272172229958
ENSMUSG00000050315	0.08195016523595822	0.329568515010606	0.2476183497746478
ENSMUSG00000121213	0.08181508017229028	0.3477441591587217	0.2659290789864314
ENSMUSG00000043681	0.08166469622861533	0.2845367722614435	0.2028720760328282
ENSMUSG00000029068	0.08143923914171258	0.3213255219595055	0.2398862828177929
ENSMUSG00000031549	0.0811801516184974	0.3867856593394885	0.3056055077209911
ENSMUSG00000050860	0.0810409071291591	0.2494283302797616	0.1683874231506025
ENSMUSG00000026678	0.08094320843262001	0.320938355756532	0.239995147323912
ENSMUSG00000021388	0.0808401419617572	0.3726947596481789	0.2918546176864217
ENSMUSG00000067847	0.0799975214458267	0.2686553448048975	0.1886578233590708
ENSMUSG00000087259	0.07991343238766849	0.3274916185124834	0.2475781861248149
ENSMUSG00000057722	0.07985525277183561	0.2866782938757556	0.20682304110392
ENSMUSG00000041644	0.07977442811070859	0.3229800338177248	0.2432056057070162
ENSMUSG00000095545	0.0795636903588231	0.3492087418996792	0.2696450515408561
ENSMUSG00000046275	0.07951228946868247	0.2773367038564837	0.1978244143878012
ENSMUSG00000119206	0.07948232721317816	0.3454665930141719	0.2659842658009937
ENSMUSG00000064604	0.0791798326694001	0.2421931288909924	0.1630132962215923
ENSMUSG00000026205	0.07915506412233458	0.346908680635462	0.2677536165131274
ENSMUSG00000117102	0.07908640636459718	0.2492495911039786	0.1701631847393814
ENSMUSG00000047502	0.0789519137952831	0.3058860104210822	0.2269340966257991
ENSMUSG00000086859	0.07891480651118102	0.2996259173119361	0.2207111108007551
