gene	delta_interaction	delta_old	delta_yng
ENSMUSG00000001506	0.16898378185307808	0.362435681328343	0.1934518994752649
ENSMUSG00000116097	0.16540786926315593	0.3986388075205816	0.2332309382574257
ENSMUSG00000064341	0.16234798326111682	0.4799659719991897	0.3176179887380729
ENSMUSG00000035121	0.1614553231111357	0.4711737784643846	0.3097184553532489
ENSMUSG00000026678	0.15798137390506048	0.3979765212289725	0.239995147323912
ENSMUSG00000071005	0.14682869293461637	0.4382195750118751	0.2913908820772587
ENSMUSG00000061578	0.13807919846612243	0.4893323508732335	0.3512531524071111
ENSMUSG00000000628	0.13587736802151568	0.409957284469206	0.2740799164476903
ENSMUSG00000055254	0.13142679241582933	0.401293525571467	0.2698667331556377
ENSMUSG00000001119	0.1270625251619935	0.3141492982653117	0.4412118234273052
ENSMUSG00000005107	0.1253731146952441	0.407957222410603	0.2825841077153589
ENSMUSG00000039001	0.12316968554436811	0.3564853416613285	0.2333156561169604
ENSMUSG00000021702	0.12227524059110373	0.2375114848663143	0.359786725457418
ENSMUSG00000036899	0.12033550967559759	0.1933595493745766	0.3136950590501742
ENSMUSG00000040283	0.11874007986828816	0.3736681703604808	0.2549280904921926
ENSMUSG00000028715	0.1183495011511218	0.306016734159966	0.4243662353110878
ENSMUSG00000019122	0.1177715078959028	0.3885928449741868	0.270821337078284
ENSMUSG00000032068	0.11715653366068188	0.3543761102628958	0.2372195766022139
ENSMUSG00000064356	0.11637991144112209	0.2835711934722463	0.3999511049133684
ENSMUSG00000060131	0.11570066567328208	0.3503266452215891	0.234625979548307
ENSMUSG00000022769	0.11529472026260712	0.3756443996523947	0.2603496793897876
ENSMUSG00000003541	0.11259402514447109	0.4358285047358984	0.3232344795914273
ENSMUSG00000120543	0.11249413285141702	0.3302851164735917	0.2177909836221747
ENSMUSG00000114501	0.11219722333243748	0.3473077253674853	0.2351105020350478
ENSMUSG00000118864	0.11142044285192429	0.3337767134459238	0.2223562705939995
ENSMUSG00000001870	0.11047430599525943	0.3391841041527187	0.2287097981574593
ENSMUSG00000031441	0.11022511090376341	0.3251100112136156	0.2148849003098522
ENSMUSG00000025981	0.1092819070325613	0.2784850557401289	0.3877669627726902
ENSMUSG00000109206	0.1084653674199681	0.369379252271952	0.2609138848519839
