gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000019894	136	-0.17413362525403464	-0.2476621344258576	0.0	0.0
ENSMUSG00000033569	126	0.023907805420457715	0.0407587047626303	0.0	0.0
ENSMUSG00000015962	127	-0.776310968399049	-1.0177741079250324	0.0	0.0
ENSMUSG00000094932	385	-0.21620999500155483	-0.26467848321532683	0.0	0.0
ENSMUSG00000040943	86	0.7631897442042812	0.8490111794786663	0.0	0.0
ENSMUSG00000025089	107	-0.6145016282796874	-0.9921970160224338	0.0	0.0
ENSMUSG00000024529	125	-0.12686218209564462	-0.13890404710127252	0.0	0.0
ENSMUSG00000106069	144	0.0401570579037067	0.057806285352997956	0.0	0.0
ENSMUSG00000034205	183	-0.15228499397635512	-0.17438889561144522	0.0	0.0
ENSMUSG00000053852	213	0.2516668528318418	0.42972983006347387	0.0	0.0
ENSMUSG00000063681	158	0.43747921782778576	0.5080476695927723	0.0	0.0
ENSMUSG00000030096	113	0.5002770870923978	0.6374761771733868	0.0	0.0
ENSMUSG00000087881	93	1.1911165162920916	1.5464628262397957	0.0	0.0
ENSMUSG00000027487	437	-0.20900985002517775	-0.25073037924374764	0.0	0.0
ENSMUSG00000020609	106	-0.4177620000205923	-0.5739745793044317	0.0	0.0
ENSMUSG00000021207	121	0.044239194504914585	0.07017212479792402	0.0	0.0
ENSMUSG00000084803	349	0.028617322444917093	0.03683484122407251	0.0	0.0
ENSMUSG00000036814	96	-0.34876110097393265	-0.3432462515318716	1.1102230246251565e-16	1.460819769243627e-14
ENSMUSG00000039542	249	0.05816768445074682	0.09159548931289091	1.1102230246251565e-16	1.460819769243627e-14
ENSMUSG00000003617	95	0.36136934310197755	0.38931170159152795	2.220446049250313e-16	2.7755575615628914e-14
ENSMUSG00000043496	145	-0.43723338991403615	-0.4325478331754963	3.3306690738754696e-16	3.965082230804131e-14
ENSMUSG00000040584	217	-0.26270022392273035	-0.2913498649995736	6.661338147750939e-16	7.569702440626068e-14
ENSMUSG00000073640	343	0.16477980613708565	0.25487506828415474	7.771561172376096e-16	8.447349100408799e-14
ENSMUSG00000098934	178	0.04464039616286694	0.08000988083904836	1.2212453270876722e-15	1.2721305490496585e-13
ENSMUSG00000095545	279	0.00926807597279655	0.01609114600056114	3.3306690738754696e-15	3.3306690738754696e-13
ENSMUSG00000006200	168	0.4733343630097798	0.5318349777713469	5.995204332975845e-15	5.764619550938313e-13
ENSMUSG00000034739	171	-0.1718202363699671	-0.26339052253937706	8.770761894538737e-15	8.121075828276608e-13
ENSMUSG00000108884	83	-0.014078909158704361	-0.018355348792890552	9.103828801926284e-15	8.128418573148468e-13
ENSMUSG00000040111	88	-0.38863290920853605	-0.46915486638375964	1.3322676295501878e-14	1.1485065771984378e-12
ENSMUSG00000065226	86	1.1223935917019805	1.3519366612977564	4.39648317751562e-14	3.6637359812630166e-12
ENSMUSG00000030283	91	-0.5169110481394468	-0.6762002120145282	7.738254481637341e-14	6.2405278077720495e-12
ENSMUSG00000062991	136	0.05000822236761518	0.10346109442758113	1.780797731498751e-13	1.3912482277333993e-11
ENSMUSG00000020798	143	-0.2016888990998264	-0.24271596829014386	2.156053113822054e-13	1.6333735710773137e-11
ENSMUSG00000102555	86	0.9470230706967409	1.1019483069980933	2.354783035229957e-13	1.7314581141396743e-11
ENSMUSG00000022180	118	-0.0483152695931495	-0.05014659540257138	2.5979218776228663e-13	1.855658484016333e-11
ENSMUSG00000111497	198	-0.04846437480300694	-0.054140571520055095	3.8824499171141724e-13	2.6961457757737308e-11
ENSMUSG00000023328	190	-0.12540122242644436	-0.16257366231527284	4.957145804951324e-13	3.349422841183327e-11
ENSMUSG00000006362	155	0.32360005187801966	0.40057835500594047	1.028066520802895e-12	6.763595531597993e-11
ENSMUSG00000064604	134	0.40908616201195347	0.46534970424073574	1.2569945084806022e-12	8.057657105644886e-11
ENSMUSG00000035031	107	-0.48098921030760106	-0.542350562489941	1.3519185770860531e-12	8.449491106787832e-11
ENSMUSG00000062456	97	-0.8571381926536573	-1.2035159866771838	1.4990231278488864e-12	9.003380052079246e-11
ENSMUSG00000066632	305	0.17752645597793382	0.20994504303329214	1.5125678487493133e-12	9.003380052079246e-11
ENSMUSG00000092746	208	0.09136367039754867	0.10918719001188709	1.8941515023129796e-12	1.1012508734377788e-10
ENSMUSG00000056427	153	0.36673242710530674	0.4093831481062612	3.089195566019498e-12	1.7552247534201695e-10
ENSMUSG00000024972	135	-0.37195103615522357	-0.435383552291264	3.2763791679712995e-12	1.8202106488729441e-10
ENSMUSG00000031849	113	0.18363686762750142	0.29171485882248255	3.6350922272276875e-12	1.975593601754178e-10
ENSMUSG00000102204	118	-0.36070213764906006	-0.43235484690775056	4.14979162144391e-12	2.2073359688531438e-10
ENSMUSG00000103085	86	1.034159883111713	1.2555615697612463	4.978240042419202e-12	2.5928333554266675e-10
ENSMUSG00000072082	85	0.6626686451956596	0.8846514238930849	9.15312270421964e-12	4.669960563377368e-10
ENSMUSG00000039519	306	0.27699660471989784	0.29719671328619884	1.0823564267070651e-11	5.411782133535326e-10
ENSMUSG00000061906	180	-0.11087555587291593	-0.15555182076173754	1.361577517400292e-11	6.67439959509947e-10
ENSMUSG00000029581	113	0.5953531928360454	0.6089992506873223	1.5389134411236682e-11	7.398622313094558e-10
ENSMUSG00000051397	87	0.4674475423991685	0.43768729985054744	2.3138824190027663e-11	1.09145397122772e-09
ENSMUSG00000104235	100	0.6921366441994876	0.797103339387427	2.6070590131155313e-11	1.2069717653312645e-09
ENSMUSG00000026768	91	0.6049607627093775	0.8430767929239242	3.259104097708132e-11	1.462946827171915e-09
ENSMUSG00000121280	83	0.5736304471036425	0.6944755538366718	3.2770008928650896e-11	1.462946827171915e-09
ENSMUSG00000118653	257	0.021964177489278796	0.035217392571898425	4.174804946188715e-11	1.8310548009599626e-09
ENSMUSG00000022887	130	-0.002742861956358869	-0.003418727188032343	5.072364750446923e-11	2.1863641165719493e-09
ENSMUSG00000068587	84	-0.8079345997422953	-1.058494414182019	5.5959015199391615e-11	2.371144711838628e-09
ENSMUSG00000112188	84	0.2531924492679537	0.28038905574419204	7.011569103099191e-11	2.9214871262913298e-09
