gene	ISS_minus_LAR_delta	ISS_delta	LAR_delta
ENSMUSG00000063171	0.16675325670841618	0.4499558750622675	0.2832026183538513
ENSMUSG00000032060	0.16104117260560713	0.4845211833096859	0.3234800107040788
ENSMUSG00000016918	0.1531524296571414	0.3362182081492438	0.1830657784921024
ENSMUSG00000030935	0.15067859820798357	0.38645616524904	0.2357775670410564
ENSMUSG00000099519	0.13571741040335172	0.4379433984989715	0.3022259880956198
ENSMUSG00000063681	0.1329484988303154	0.4524272130684869	0.3194787142381715
ENSMUSG00000035385	0.12949622680144357	0.4432311879575749	0.3137349611561313
ENSMUSG00000107362	0.12814402476082593	0.4514590131519897	0.3233149883911638
ENSMUSG00000001774	0.12738705480574514	0.4478668182514866	0.3204797634457415
ENSMUSG00000037411	0.1264647217353787	0.3935017097645339	0.2670369880291552
ENSMUSG00000077323	0.1262177259339295	0.4193957461296425	0.293178020195713
ENSMUSG00000040350	0.12618356666763522	0.3304357512904889	0.2042521846228537
ENSMUSG00000034390	0.1233757947826768	0.4242490061467358	0.300873211364059
ENSMUSG00000024140	0.12300970274478204	0.3254976091530217	0.2024879064082397
ENSMUSG00000053977	0.12263760046886238	0.3565699688375781	0.2339323683687157
ENSMUSG00000051517	0.1224366555807318	0.4152267321819681	0.2927900766012363
ENSMUSG00000069008	0.12216013007131699	0.4485519898788652	0.3263918598075482
ENSMUSG00000071076	0.12096777249906121	0.3906660009514284	0.2696982284523672
ENSMUSG00000023755	0.11959133108884268	0.3556891573783866	0.2360978262895439
ENSMUSG00000022894	0.11708208428705491	0.3801420523642357	0.2630599680771808
ENSMUSG00000056293	0.1158635657388451	0.321525827684994	0.2056622619461489
ENSMUSG00000107928	0.114237425091811	0.4238277339043631	0.3095903088125521
ENSMUSG00000047793	0.1142109516537429	0.340470773066258	0.2262598214125151
ENSMUSG00000027359	0.11332242361480499	0.3797014471927959	0.2663790235779909
ENSMUSG00000024526	0.11191156509876249	0.3789965830474466	0.2670850179486841
ENSMUSG00000042099	0.11162721881197879	0.3621929890759017	0.2505657702639229
ENSMUSG00000020838	0.11021452160645578	0.3748402045310178	0.264625682924562
ENSMUSG00000070720	0.11002931792631201	0.3302226040063012	0.2201932860799892
ENSMUSG00000029068	0.10991304729587517	0.3158524781391083	0.2059394308432331
ENSMUSG00000053862	0.109343065116489	0.278197080220333	0.168854015103844
ENSMUSG00000065653	0.10920228580499669	0.2751788339013821	0.1659765480963854
ENSMUSG00000032177	0.10772951453481328	0.4071644823691455	0.2994349678343322
ENSMUSG00000022123	0.10744449205356671	0.3780285716331728	0.2705840795796061
ENSMUSG00000029368	0.10708829751550308	0.3194435228848769	0.2123552253693738
ENSMUSG00000006570	0.10594439148722651	0.3665207584506907	0.2605763669634642
ENSMUSG00000041945	0.10530570621034849	0.3191587881191988	0.2138530819088503
ENSMUSG00000074521	0.1050216914022859	0.3885359240419596	0.2835142326396737
ENSMUSG00000007038	0.10485202141558522	0.2636977843171818	0.1588457629015966
ENSMUSG00000118866	0.10446988041865332	0.3467197080241292	0.2422498276054759
ENSMUSG00000001773	0.1035683566653188	0.3158113748760621	0.2122430182107433
ENSMUSG00000076609	0.10291539341881717	0.4370461030338871	0.3341307096150699
ENSMUSG00000120875	0.10267461466014222	0.366419270737241	0.2637446560770988
ENSMUSG00000053317	0.10219794290159462	0.3443342476150728	0.2421363047134782
ENSMUSG00000023015	0.10177825652774422	0.3032086067948203	0.2014303502670761
ENSMUSG00000034205	0.1005522197355666	0.3715624899822385	0.2710102702466719
ENSMUSG00000040270	0.09999007768435186	0.3652166354090772	0.2652265577247253
ENSMUSG00000021594	0.09987750096927211	0.2891086502211601	0.189231149251888
ENSMUSG00000074170	0.09972314169407964	0.3499374996084839	0.2502143579144043
ENSMUSG00000030530	0.09961941260372731	0.33683601475155	0.2372166021478227
ENSMUSG00000055148	0.0995948922458002	0.3631508407685705	0.2635559485227703
ENSMUSG00000026726	0.0993029558947062	0.308401426744235	0.2090984708495288
ENSMUSG00000067629	0.0990743092888004	0.3427443284288439	0.2436700191400435
ENSMUSG00000071014	0.09877550251877165	0.3939377580757348	0.2951622555569631
ENSMUSG00000112366	0.0981756248751709	0.3074030028308194	0.2092273779556485
ENSMUSG00000021390	0.09807302285986594	0.2935229813208802	0.1954499584610143
ENSMUSG00000024411	0.09787859670028898	0.3859279133394728	0.2880493166391838
ENSMUSG00000045374	0.09769317631023922	0.4070868562093991	0.3093936798991599
ENSMUSG00000000120	0.09760124902124218	0.3394115499555322	0.24181030093429
ENSMUSG00000061104	0.0975688213184645	0.4108911360138315	0.313322314695367
ENSMUSG00000025934	0.0968610018861692	0.3723477729893819	0.2754867711032127
ENSMUSG00000025608	0.09662922628460352	0.3670685319764685	0.270439305691865
ENSMUSG00000030609	0.09577217865877849	0.2862006127740447	0.1904284341152662
ENSMUSG00000008855	0.0957667693135136	0.2837846043258136	0.1880178350123
ENSMUSG00000046516	0.0954880991592337	0.3196228210077448	0.2241347218485111
ENSMUSG00000060548	0.09530359125048352	0.2538449024543517	0.1585413112038682
ENSMUSG00000118671	0.09505751454716183	0.4174353937046748	0.322377879157513
ENSMUSG00000028073	0.09496524164919712	0.3775197183281554	0.2825544766789583
ENSMUSG00000040723	0.09482957611771647	0.373123575496581	0.2782939993788645
ENSMUSG00000020914	0.09475269206602441	0.2850796368349766	0.1903269447689522
