gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000078896	380	0.3750237072817991	0.689989438730056	0.0	0.0
ENSMUSG00000006574	303	0.06107142725959429	0.08310747270819277	0.0	0.0
ENSMUSG00000073640	343	0.2802254082635034	0.42087282029946216	0.0	0.0
ENSMUSG00000094306	387	-0.03465966358781013	-0.0469935252779673	6.987743716990735e-13	4.3673398231192095e-10
ENSMUSG00000120777	446	0.209701980557293	0.24782121095048865	4.074451886992847e-11	2.0372259434964235e-08
ENSMUSG00000094932	385	-0.1336371727287778	-0.13447631090854928	6.141154251793068e-11	2.5588142715804452e-08
ENSMUSG00000092746	208	-0.08570309951901227	-0.09946972332717423	2.442935853608219e-10	8.72477090574364e-08
ENSMUSG00000064945	119	0.6723546907305703	0.8169974420500973	5.551795689839878e-10	1.7349361530749619e-07
ENSMUSG00002076696	81	0.9316284835338597	1.1843263157921537	3.494850631113877e-09	9.70791841976077e-07
ENSMUSG00000096768	276	0.05348961427807958	0.0683766405665503	7.388996747792476e-09	1.847249186948119e-06
ENSMUSG00000065701	124	0.5212923198938336	0.6237815988377862	1.3265002651863256e-08	3.014773329968922e-06
ENSMUSG00000069307	208	0.778476115129889	0.8393857228222834	2.2762309370705225e-08	4.7421477855635885e-06
ENSMUSG00000049751	84	-0.8972465045750136	-1.0557933409312865	2.7150123593777664e-07	5.221177614188012e-05
ENSMUSG00000015962	127	-0.4500921435654144	-0.567709569631932	5.947965679986567e-07	0.00010621367285690297
ENSMUSG00000102918	84	-0.7234581224620354	-0.9970000575477678	1.2793813067846216e-06	0.00021323021779743692
ENSMUSG00000003429	83	-0.829375652968884	-0.9792878176376261	1.518174299830477e-06	0.0002308082465837965
ENSMUSG00000038801	141	-0.2735908349975932	-0.31312443337888257	1.5694960767698163e-06	0.0002308082465837965
ENSMUSG00000114247	89	0.5661281384527677	0.813012083370308	3.826495125536233e-06	0.0005314576563244769
ENSMUSG00000015533	93	0.09672283492982293	0.13496662400657175	9.429805864713536e-06	0.0012407639295675705
ENSMUSG00000032060	80	0.7668224817141884	0.8998093867585923	1.0103021773399945e-05	0.0012628777216749931
ENSMUSG00000077391	118	0.29737545456737247	0.356919892764062	1.1117582998099174e-05	0.001323521785487997
ENSMUSG00000076617	259	-0.402600632607937	-0.5087217185885189	1.2678764365170458e-05	0.0014407686778602794
ENSMUSG00000026154	82	-0.7217986732721304	-0.9736081654828885	1.568628751924539e-05	0.0017050312520918902
ENSMUSG00000034566	81	-0.7918093204498267	-0.944654895483917	2.0208770669882803e-05	0.002105080278112792
ENSMUSG00000095041	93	0.43096880093216766	0.4620189078091863	2.1602102905471376e-05	0.0021602102905471376
ENSMUSG00000079165	85	0.625311361253262	0.75932707757861	2.713610273941125e-05	0.0025050241136375423
ENSMUSG00000108037	113	0.42011626064777385	0.434001226868121	2.728624832359916e-05	0.0025050241136375423
ENSMUSG00000027133	81	-0.9112043976783719	-0.9724033022021857	2.8056270072740475e-05	0.0025050241136375423
ENSMUSG00000040441	234	-0.0676757708191863	-0.08011105858798206	3.2449112688959225e-05	0.002754789537456892
ENSMUSG00000025743	89	-0.572058051824572	-0.6671175004563543	3.3057474449482704e-05	0.002754789537456892
ENSMUSG00000070720	109	-0.21826222613453714	-0.3105183114676811	5.434202879150973e-05	0.0043115219142131345
ENSMUSG00000023089	82	-0.8066211700439447	-0.9603915566775647	5.518748050192812e-05	0.0043115219142131345
ENSMUSG00000102602	83	0.7961427068861636	0.9297891260663561	6.757845936700146e-05	0.005119580255075869
ENSMUSG00000096956	85	-0.6467518135905255	-0.7576390422840529	7.716813440450387e-05	0.0056546103356211064
ENSMUSG00000041734	85	-0.6352584697306173	-0.7917581286087733	7.91645446986955e-05	0.0056546103356211064
ENSMUSG00000087935	126	0.5366704968735541	0.6390885429112703	8.780523912299554e-05	0.006097586050208024
ENSMUSG00000021917	81	-0.7808766953647127	-0.8589221990789591	0.00010639347582963588	0.007188748366867289
ENSMUSG00000012443	81	0.5488755125552383	0.7764582492193159	0.00011213827381850727	0.007377518014375479
ENSMUSG00000052516	88	-0.5052361046196894	-0.6670193356380245	0.00014336984986440537	0.009190374991308037
ENSMUSG00000073421	91	-0.32923806160688457	-0.4021949219969849	0.00016480293949960867	0.010300183718725542
ENSMUSG00000087881	93	0.7933845996856688	1.1479216461378157	0.0001833878462303984	0.011182185745756
ENSMUSG00000033880	160	0.028928289446049728	0.0384262366539994	0.00023048624736354828	0.013719419485925493
ENSMUSG00000119838	174	0.4093739844858637	0.6481253229188277	0.0002446310354367043	0.01422273461841304
ENSMUSG00000036781	84	-0.8168977493420213	-1.0477123956096785	0.0002704680879388466	0.015367504996525373
ENSMUSG00000037625	102	0.08231882476247829	0.10629964444950063	0.00038705878692124607	0.021503265940069224
ENSMUSG00000064604	134	0.6400569492019714	0.788217731529567	0.00043794156811605145	0.02380117218022019
ENSMUSG00000115161	101	0.5223844230175001	0.632015779235367	0.0005156822948929607	0.02742990930281706
ENSMUSG00000038690	81	-0.8005655169486998	-0.9334647805254763	0.0005702939391262207	0.029702809329490664
ENSMUSG00000099927	351	0.08835375458002108	0.10762528884519654	0.0006246197724248947	0.03186835573596402
ENSMUSG00000047215	81	-0.8165881991386398	-1.0713684538084363	0.0006790042707579547	0.03395021353789773
ENSMUSG00000079357	159	0.039981125295163074	0.04212980312368219	0.0007684656663131673	0.037414100460136504
ENSMUSG00000036899	98	0.06425026506185766	0.08754464629647421	0.0007782132895708394	0.037414100460136504
ENSMUSG00000002055	108	-0.24814180163666388	-0.41076873155611493	0.0008447233191426484	0.039845439582200395
ENSMUSG00000063787	91	-0.7173565715551362	-0.9648999639796737	0.0010553285661052403	0.04885780398635372
ENSMUSG00000105950	85	0.5013850241899473	0.7278082247182579	0.0011302731382332176	0.051376051737873525
ENSMUSG00000018417	80	-0.40164407528936963	-0.47684174634415377	0.0017449557550502925	0.07789981049331662
ENSMUSG00000020053	96	0.12251112384256016	0.17992465637785704	0.0018343754270501167	0.08045506258991739
ENSMUSG00000109206	106	0.454216204537077	0.564446391833684	0.0019598699168456024	0.08447715158817251
ENSMUSG00000026688	82	-0.464617317914961	-0.5026073581300321	0.002362771524703211	0.10006819351321879
ENSMUSG00000028369	82	-0.7487152830697599	-0.8815156423756094	0.002401636644317251	0.10006819351321879
ENSMUSG00000098306	362	-0.02728495290503094	-0.03612964285517696	0.002679860350392582	0.1098303422292042
ENSMUSG00000020953	157	-0.28434493653476167	-0.3501071931221591	0.0028287023129232036	0.11406057713400014
