gene	rewiring_abs_obs	ci_2p5	ci_97p5
ENSMUSG00000023034	346.42510170675814	221.95753707885743	561.1076156616209
ENSMUSG00000021250	340.5270935036242	173.7953426361084	869.8008499145508
ENSMUSG00000119286	282.36756098642945	131.85671615600586	584.6386535644531
ENSMUSG00000030680	279.2965422384441	194.1546630859375	748.0604690551758
ENSMUSG00000032578	274.08566427603364	135.95583572387696	757.2333541870116
ENSMUSG00000002250	245.83844112418592	90.12699165344239	795.5900573730468
ENSMUSG00000074527	240.15920284762979	146.2192523956299	451.4370124816894
ENSMUSG00000095648	238.93927709572017	153.3094623565674	379.5984893798826
ENSMUSG00000084803	230.26479138992727	158.60537719726562	502.6491737365722
ENSMUSG00000027487	229.99014400877059	170.05292854309081	439.7559600830077
ENSMUSG00000078875	228.6699349079281	157.79286041259766	419.91887893676744
ENSMUSG00000029752	218.7351449429989	87.93391628265381	641.4775619506835
ENSMUSG00000029368	217.6775790117681	101.30503482818604	467.59458236694337
ENSMUSG00000029372	214.3461740165949	114.85360507965088	447.8744163513182
ENSMUSG00000069008	213.88735992088914	175.80453491210938	354.31145477294916
ENSMUSG00000044645	212.75486427545547	91.9864839553833	492.748095703125
ENSMUSG00000118936	210.02330573275685	99.94326782226562	467.78118972778316
ENSMUSG00000095079	208.58436729572713	147.9623073577881	423.94489059448233
ENSMUSG00000038415	206.84826140478253	122.3877944946289	442.51501083374
ENSMUSG00000109814	205.4227537959814	182.87114219665528	356.42302474975577
ENSMUSG00000074768	204.86123709008098	147.1565704345703	376.713956451416
ENSMUSG00000026077	204.36640931665897	87.38064422607422	579.6574035644531
ENSMUSG00000066632	204.25363003462553	161.74065971374512	347.07650909423825
ENSMUSG00000063415	197.89057002961636	145.54081344604492	325.8255172729492
ENSMUSG00000040564	195.7971747983247	119.69976959228515	375.881941986084
ENSMUSG00000030994	193.82941214367747	171.77498893737794	350.9439468383789
ENSMUSG00000029108	193.7482572775334	106.44912548065186	338.96270751953125
ENSMUSG00000099241	193.28663996979594	60.1574667930603	509.3690521240234
ENSMUSG00000027796	192.4638851583004	111.73050689697266	393.4853569030762
ENSMUSG00000022304	189.43252593651414	143.3565357208252	320.63905410766597
ENSMUSG00000039110	187.56245589256287	66.5881118774414	425.9414817810058
ENSMUSG00000102644	187.44537773076445	120.78397521972656	504.3394134521484
ENSMUSG00000083012	186.8315955400467	106.98532066345214	402.5995864868164
ENSMUSG00000110386	186.3818282149732	121.34805641174316	451.0414939880371
ENSMUSG00000027360	186.2898186892271	72.8748550415039	517.7931900024414
ENSMUSG00000037411	186.15914558339864	108.17799644470215	447.81148300170895
ENSMUSG00000074634	185.71457907930017	149.6410732269287	420.9198516845703
ENSMUSG00000094932	178.91538030654192	122.58103656768799	449.52938385009764
ENSMUSG00000029188	177.44408340007067	84.9098892211914	484.69553070068355
ENSMUSG00000002797	176.98387713730335	85.04301586151124	459.07579650878887
ENSMUSG00000076617	176.71342005766928	86.92348442077636	411.5047721862792
ENSMUSG00000037035	176.21490824595094	87.16122455596924	375.512540435791
ENSMUSG00000105954	174.5952052846551	100.88473415374756	306.9698089599608
ENSMUSG00000021913	174.52165016904473	89.8694839477539	472.0892494201658
ENSMUSG00000034785	172.23474841564894	113.36242446899413	369.41736679077144
ENSMUSG00000073125	172.01540832594037	133.53651542663573	434.42210159301715
ENSMUSG00000035692	171.83402559533715	104.43216876983642	304.1929931640625
ENSMUSG00000036853	171.12753205373883	109.47568798065186	286.2047271728515
ENSMUSG00000040584	170.18512406945229	134.66816902160645	298.19866943359375
ENSMUSG00000074521	169.83979384414852	103.96620349884033	362.6156433105466
ENSMUSG00000053977	168.35452673956752	146.3702522277832	296.01367950439453
ENSMUSG00000049971	168.32555694133043	127.62878704071045	271.3246223449707
ENSMUSG00000078880	167.93136310949922	122.43562278747558	426.78829879760707
ENSMUSG00000091021	167.88069120794535	94.01460552215576	328.82435607910156
ENSMUSG00000054052	166.95680890977383	123.41019439697266	292.06836166381834
ENSMUSG00000090165	166.69855353608727	125.69487171173095	369.2804931640623
ENSMUSG00000023247	164.9659673050046	122.13152313232422	269.14673080444334
ENSMUSG00000096768	164.7389056449756	104.13229446411133	328.34783401489256
ENSMUSG00000026657	164.4674397855997	140.7952117919922	270.45923233032215
ENSMUSG00000056501	163.5862948447466	73.38840217590332	361.1520462036132
ENSMUSG00000058927	163.4314654506743	109.73159332275391	300.912026977539
ENSMUSG00000107068	163.06393587682396	127.98281784057617	391.80442352294915
ENSMUSG00000099927	162.00923670828342	63.93959674835205	531.6473175048827
ENSMUSG00000036278	160.56970973312855	87.98304615020751	282.73401718139644
ENSMUSG00000054757	159.17472168244421	110.5181791305542	278.75316619873036
ENSMUSG00000114432	158.84112716466188	105.82838592529296	293.25597610473625
ENSMUSG00000090145	158.63816234469414	102.10295009613037	306.80631561279296
ENSMUSG00000033831	158.3780251238495	60.75558166503906	410.72348556518546
ENSMUSG00000006724	158.01272456534207	92.0748664855957	296.4196617126465
ENSMUSG00000032401	156.53104953467846	55.53749084472656	385.9599029541014
ENSMUSG00000078898	155.19136903434992	95.75763854980468	313.75085983276364
ENSMUSG00000039639	155.10802230238914	93.66132469177246	273.1879325866699
ENSMUSG00000026064	154.48311206698418	138.5657501220703	309.4988685607909
ENSMUSG00000071005	154.4296912960708	93.32362308502198	307.8422607421875
ENSMUSG00000015243	154.17455473542213	104.02110290527344	264.884033203125
ENSMUSG00000086266	153.93724482879043	92.9772762298584	291.30135726928694
ENSMUSG00000070469	153.87870579585433	116.57520561218261	276.1630264282226
ENSMUSG00002075983	152.17975826002657	101.25295677185059	325.1284858703612
ENSMUSG00000078122	151.83685255795717	41.509191799163816	354.04758758544915
ENSMUSG00002075625	150.81331107020378	93.2748893737793	317.39426269531236
ENSMUSG00000073530	150.086279168725	102.58223609924316	259.8634796142578
ENSMUSG00000028337	149.6162326708436	118.77584209442139	335.9123115539549
ENSMUSG00002074846	149.09991802461445	75.39356784820556	279.389436340332
ENSMUSG00000006154	147.4536534892395	111.25245151519775	313.24994812011715
ENSMUSG00000030256	146.57708831131458	60.4925817489624	388.2350196838379
ENSMUSG00000020651	146.33565973490477	105.17158527374268	272.03845748901364
ENSMUSG00000020423	145.75538120418787	66.00777435302734	334.58874511718744
ENSMUSG00000043144	145.1176971886307	106.98972415924072	409.57137756347635
ENSMUSG00000116358	145.10063587874174	109.25119800567627	394.2989807128906
ENSMUSG00000098306	144.82802146300673	104.49603862762451	341.29995956420896
ENSMUSG00000022949	144.81530008465052	57.20433282852173	412.6454933166504
ENSMUSG00000121785	144.6130180004984	107.62158069610595	246.60157089233397
ENSMUSG00000049134	144.07230036705732	67.50017471313477	310.60476913452146
ENSMUSG00000096596	143.812141623348	84.25170440673828	360.2176818847656
