gene	rewiring_abs_obs	ci_2p5	ci_97p5
ENSMUSG00000076617	236.0583942309022	102.11701278686523	566.9161865234373
ENSMUSG00000119286	231.9713628590107	128.39217567443848	494.4347732543943
ENSMUSG00000095616	231.9308072924614	127.01289710998535	486.29473037719714
ENSMUSG00000120777	231.55971579626203	121.15047702789306	475.93100891113244
ENSMUSG00000078875	221.14458978548646	94.45762367248535	500.34584197998015
ENSMUSG00000110386	216.32306806370616	116.35376224517822	484.6635025024412
ENSMUSG00000078896	212.15466017648578	42.77260208129883	600.8298904418945
ENSMUSG00000073640	208.41432948037982	83.84701690673828	445.8287193298339
ENSMUSG00000081604	206.48798519652337	80.89348258972169	474.1475524902343
ENSMUSG00000096852	204.95441978424788	107.60565948486328	459.6044708251953
ENSMUSG00000057836	204.9446978904307	86.76207580566407	463.1390991210936
ENSMUSG00000099241	203.66191106662154	134.7947826385498	400.0489807128906
ENSMUSG00000074634	198.79293908551335	118.01848201751709	424.3752441406249
ENSMUSG00000023885	188.32642417401075	66.15936279296875	380.0916595458984
ENSMUSG00000096768	185.45790726318955	154.57339630126953	368.6792663574216
ENSMUSG00000094306	178.17125869356096	149.96728172302247	405.74486465454095
ENSMUSG00000056116	177.5434280373156	105.28494472503662	376.6017356872558
ENSMUSG00000035186	169.31730980053544	60.06829805374146	512.5142868041992
ENSMUSG00000027487	168.4333434002474	98.09696083068847	391.74230957031244
ENSMUSG00000079357	166.34695807052776	73.60858917236328	391.3880416870115
ENSMUSG00000030680	165.53443283960223	108.65424747467041	331.9796928405759
ENSMUSG00000099927	165.51471585780382	109.30567932128906	493.9398933410643
ENSMUSG00000069008	163.46630577370524	124.26971454620362	300.4954406738281
ENSMUSG00000026064	159.95968302339315	57.05897302627564	438.90750427246076
ENSMUSG00000074521	156.88566062785685	90.25830020904542	357.1360877990722
ENSMUSG00000006154	155.5335327796638	76.38987293243409	321.88369750976557
ENSMUSG00000078898	153.25512631237507	71.1834529876709	383.8930686950681
ENSMUSG00000037548	153.05404049158096	69.19197082519531	430.2986755371093
ENSMUSG00000095079	151.84717768151313	109.51485137939453	297.08009643554686
ENSMUSG00000107068	147.2298900745809	114.39256286621094	301.72443618774406
ENSMUSG00000066632	146.2133409269154	94.54167346954345	282.43770141601556
ENSMUSG00000101678	146.109252050519	56.14881896972656	384.011515045166
ENSMUSG00000006574	143.73707982897758	124.01743431091309	323.02649307250954
ENSMUSG00000024486	142.86301738210022	84.2265853881836	242.36356277465816
ENSMUSG00000098306	140.13221294619143	110.16252136230469	322.66449737548817
ENSMUSG00000023034	137.63874809630215	86.27100696563721	289.29806900024414
ENSMUSG00000058927	137.3538166526705	83.16739711761474	272.3898941040039
ENSMUSG00000076609	136.57998932152987	71.65414142608643	279.42943420410154
ENSMUSG00000087259	135.69224798679352	66.9174394607544	346.54998245239244
ENSMUSG00000071532	134.91375648975372	79.62748737335205	414.2713027954101
ENSMUSG00000078894	133.9444639161229	96.04057903289795	305.1270034790039
ENSMUSG00000001349	131.74608694016933	98.5924087524414	228.34296951293945
ENSMUSG00000118734	131.29465961642563	115.21814212799072	297.498176574707
ENSMUSG00000035202	131.28758605197072	63.753253841400145	310.46571044921865
ENSMUSG00000030994	130.28458189219236	77.560382270813	330.8268890380859
ENSMUSG00000049103	130.07138782553375	87.29424266815185	236.7743816375732
ENSMUSG00000118936	128.32757825031877	83.18966522216797	414.22974777221657
ENSMUSG00000005553	127.6554205082357	95.01098098754883	307.58942794799793
ENSMUSG00000040569	127.60372588410974	80.81985683441162	225.8237712860107
ENSMUSG00000043144	126.77061595395207	90.04923992156982	352.37458190917954
ENSMUSG00000102644	125.31867909431458	57.57685794830322	309.01175994873046
ENSMUSG00000018830	125.28953254409134	84.53491744995117	256.018228149414
ENSMUSG00000079362	123.93217562139034	38.94682598114014	301.40374984741203
ENSMUSG00002076451	123.74013090878725	52.26769323348999	223.05878181457516
ENSMUSG00000067736	123.65540682151914	60.21452150344849	274.11162490844725
ENSMUSG00000067149	123.37786023691297	69.67737579345703	269.02915496826165
ENSMUSG00002075983	121.83097581006587	54.04576530456543	217.11540985107422
ENSMUSG00000078193	121.42908243089914	86.06476879119873	240.55186309814448
ENSMUSG00000038567	121.37150026112795	70.78018836975097	361.5276184082031
ENSMUSG00000109814	120.55113222450018	77.00935363769531	273.01916046142566
ENSMUSG00000021250	120.1572161782533	77.09093284606934	240.05092735290512
ENSMUSG00000039639	120.10066890635062	49.45263118743897	330.0602684020996
ENSMUSG00000074527	120.07750868983567	86.85377349853516	238.15398445129392
ENSMUSG00000039126	120.01847165077925	36.20380334854126	276.7753517150878
ENSMUSG00000033633	117.02645248174667	70.5551679611206	206.92471313476557
ENSMUSG00000024672	116.40501174330711	68.43226070404053	225.76398162841792
ENSMUSG00000063556	116.23741456121206	98.06864681243897	244.07951583862305
ENSMUSG00000054757	115.65614675357938	56.466432666778566	224.90352668762205
ENSMUSG00000095545	114.11702407710254	84.04984893798829	261.1939308166504
ENSMUSG00002075625	114.04876302182674	58.463855266571045	201.40426025390607
ENSMUSG00000089960	113.66626819595695	56.188840007781984	228.370838165283
ENSMUSG00000098934	113.15732452645898	72.34368095397949	285.00095367431635
ENSMUSG00000071005	112.38737322576344	91.50873107910157	258.07443161010735
ENSMUSG00000009772	111.62587710283697	69.8556474685669	275.3607643127441
ENSMUSG00000092746	111.3647588249296	54.26968574523926	244.83729400634758
ENSMUSG00000119206	111.29466132074594	63.06367950439453	283.86687393188475
ENSMUSG00000017724	111.18584355339408	68.18038902282714	239.99314994812008
ENSMUSG00000073125	109.85903787240386	62.75016260147095	221.50631980895992
ENSMUSG00000066366	109.41234896332026	57.32262840270996	200.65754623413082
ENSMUSG00000062554	109.11709520593286	72.24080085754395	255.0562690734863
ENSMUSG00000090145	108.76601150259376	67.10316429138183	233.13676185607903
ENSMUSG00000098950	108.57758617587388	83.92601146697999	221.43579940795897
ENSMUSG00000069874	108.30306373536587	30.13547134399414	290.8588500976562
ENSMUSG00000025479	107.07591154798865	72.17757949829101	227.11901702880849
ENSMUSG00000118864	107.07046304643154	50.212648963928224	276.29883575439453
ENSMUSG00000005980	106.42662299191579	62.09733200073242	264.19301452636705
ENSMUSG00000028553	106.22451662272215	82.73777046203614	191.00569419860838
ENSMUSG00000119670	105.70709780603647	53.96125974655151	263.5801498413086
ENSMUSG00000094932	104.9711022367701	76.57450408935547	260.5807113647461
ENSMUSG00000002289	104.84397358447313	59.989929008483884	185.42987709045408
ENSMUSG00000036853	104.19570241123438	74.18320350646972	208.5504302978515
ENSMUSG00000044749	103.79834817349911	63.61641149520874	215.36989021301267
ENSMUSG00000069792	103.32543010264635	48.666811847686766	214.95669174194333
ENSMUSG00000037053	103.27481209859252	66.13208332061768	212.73654174804688
ENSMUSG00000040564	103.10324328392744	47.64885711669922	198.93058395385737
ENSMUSG00000116358	102.74585791304708	60.5600926399231	268.36804122924804
ENSMUSG00000015243	102.46755699068308	64.95651264190674	198.27618408203125
ENSMUSG00000044313	102.24349806085229	72.86509075164795	273.9139831542967
ENSMUSG00000078880	102.19171085581183	87.72107753753663	250.42336158752437
ENSMUSG00000027796	100.67987238243222	56.23896074295044	191.51203193664546
ENSMUSG00000112324	100.657161898911	53.28323411941528	218.95553932189938
ENSMUSG00000117879	100.51592748612165	55.3191198348999	180.64236450195312
ENSMUSG00000091021	100.13434676826	68.5485860824585	176.85166015624998
ENSMUSG00000026825	99.56674160808325	59.140643405914304	191.18170585632316
ENSMUSG00000022445	98.94398484379053	72.7231969833374	257.1623863220214
ENSMUSG00000090168	98.8970655798912	61.71365966796875	204.33399314880364
ENSMUSG00000095648	98.60723742283881	77.23878479003906	259.1232398986815
ENSMUSG00000034855	98.3965660687536	35.581073951721194	219.16888236999503
ENSMUSG00000035042	97.97128640860319	74.67271461486817	158.92573814392088
ENSMUSG00000034810	97.68688011914492	55.42958450317383	188.48800315856928
ENSMUSG00000037005	96.87258249521255	59.60466136932373	180.72676773071282
ENSMUSG00000060131	96.71691729128361	71.37729454040527	212.62392921447753
ENSMUSG00000022949	96.60509023442864	62.33805274963379	200.27127876281736
ENSMUSG00000024338	96.5763231292367	28.51995038986206	259.2430419921875
ENSMUSG00000064080	96.26656220853329	70.11110095977783	174.941632080078
ENSMUSG00000053977	95.93268393911421	69.05591259002685	237.41999092102043
ENSMUSG00000029659	95.89488399215043	56.0254301071167	180.95916633605952
ENSMUSG00000030268	95.70274880900979	35.35768337249756	228.39239349365232
ENSMUSG00000056501	94.46116776391864	64.47746448516845	181.26675949096673
ENSMUSG00000023036	93.76424427330494	50.999254894256595	217.23788452148438
ENSMUSG00000054052	93.46687524206936	54.46765451431274	187.60854530334467
ENSMUSG00000105703	93.04696218110621	75.02853660583496	150.26821899414062
ENSMUSG00000070427	92.90479331836104	63.04483890533447	228.8250881195068
ENSMUSG00000071637	92.84260056354105	49.36838912963867	197.12715950012205
ENSMUSG00000028337	92.61781072244048	55.91278076171875	235.18040466308594
ENSMUSG00000114432	92.54629032127559	64.42941799163819	182.25729980468748
ENSMUSG00000028571	91.54376062378287	59.31704969406128	188.5766693115234
ENSMUSG00000118012	91.52656352706254	61.71551342010498	189.5282371520995
ENSMUSG00000025498	91.12261316925287	41.10481023788452	189.74721946716292
ENSMUSG00000039519	90.74243308603764	59.93754272460937	160.12973861694334
ENSMUSG00000048489	90.69740019738674	49.92369661331177	186.77038269042967
ENSMUSG00000057036	90.67736926674843	63.92251615524292	168.01640853881835
ENSMUSG00000069516	90.21409665048122	53.17389678955078	162.44254035949706
ENSMUSG00000073421	90.18769947066903	55.89140882492065	185.47427177429196
ENSMUSG00000016942	90.1111547127366	52.40393571853638	187.571268081665
ENSMUSG00000021913	90.01594115421176	65.0779037475586	216.72070693969724
ENSMUSG00000031380	89.77012161910534	59.85330171585083	221.00214195251465
