gene	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000010051	187	0.17013058662414487	0.2768988261264769	0.0	0.0
ENSMUSG00000087881	95	-0.8352977633476261	-1.4347106851905116	0.0	0.0
ENSMUSG00000092746	264	-0.30675375498831164	-0.40478932186448857	0.0	0.0
ENSMUSG00000074527	327	0.17371631264686477	0.19352381310206837	0.0	0.0
ENSMUSG00000094932	342	0.06219949810765685	0.09068951692191954	0.0	0.0
ENSMUSG00000070645	184	0.3715005565434689	0.6995190876952564	0.0	0.0
ENSMUSG00000064604	118	-0.7161104097962367	-1.2749697271302058	0.0	0.0
ENSMUSG00000095616	353	-0.21813531219959378	-0.43718806979409036	0.0	0.0
ENSMUSG00000092178	315	-0.187883664947003	-0.38763568360989104	7.771561172376096e-16	2.1587669923266932e-13
ENSMUSG00000118936	212	-0.346895150095225	-0.49705133002218554	2.55351295663786e-15	6.38378239159465e-13
ENSMUSG00000099927	343	-0.38451299332082206	-0.6986093713048199	1.9984014443252818e-14	4.541821464375641e-12
ENSMUSG00000027487	349	0.32233207896351707	0.5245032663643877	1.9317880628477724e-13	4.0245584642661925e-11
ENSMUSG00000048126	80	-0.7328743606805803	-1.4064818395588712	2.0938806244430452e-13	4.026693508544318e-11
ENSMUSG00000040037	171	-0.080721306800841	-0.1145394941855628	6.068479052601106e-13	1.0836569736787688e-10
ENSMUSG00000025735	98	-0.4697711279615759	-0.8417210099533408	8.607559109918839e-13	1.4345931849864732e-10
ENSMUSG00000110386	355	0.12005847096443335	0.18592676213087428	2.4773516571485743e-12	3.8708619642946474e-10
ENSMUSG00000057836	315	-0.2911610618233675	-0.41542773316040316	4.92872409552092e-12	7.248123669883705e-10
ENSMUSG00000074521	280	0.2505096049979321	0.4189238130525741	2.0433543745923544e-11	2.8379921869338256e-09
ENSMUSG00000065016	90	-0.7015544006135304	-1.032665678563867	4.726496971585448e-11	6.065134505739422e-09
ENSMUSG00000064945	129	-0.5796558484435093	-0.8847702359336193	4.852107604591538e-11	6.065134505739422e-09
ENSMUSG00000119662	116	-0.6307267698459322	-0.8886486322289898	6.766309734729248e-11	8.055130636582438e-09
ENSMUSG00000021388	119	0.36515619605779553	0.6030061255987962	8.486522595774204e-11	9.643775677016141e-09
ENSMUSG00000019768	162	0.14934071106836008	0.28609263977684224	1.0563061536572604e-10	1.1481588626709352e-08
ENSMUSG00000107383	137	-0.3732246160507201	-0.456306505602204	1.1529377452745848e-10	1.2009768179943592e-08
ENSMUSG00000038508	85	-0.25001820214092796	-0.6015818714127548	5.53897816502058e-10	5.338944030464942e-08
ENSMUSG00000065208	89	-0.654586737323553	-1.0120157208172993	5.55250179168354e-10	5.338944030464942e-08
ENSMUSG00000089809	95	0.027920812368393548	0.03368106246731294	7.255165357378246e-10	6.717745701276154e-08
ENSMUSG00000029778	89	-0.23692688122391664	-0.4509115233724567	8.092895242839404e-10	7.225799323963753e-08
ENSMUSG00000091345	133	-0.005685167014598169	-0.00935858576422029	8.701912523889632e-10	7.405423496642527e-08
ENSMUSG00000009281	131	0.045331128779798696	0.0905769017608359	8.886508195971032e-10	7.405423496642527e-08
