gene	symbol	rewiring_mean	rewiring_std	logFC	FDR	q_BH
ENSMUSG00000049241	ENSMUSG00000049241	0.4721835010361239	0.0527820802366012			0.4722789332266671
ENSMUSG00000093445	ENSMUSG00000093445	0.4718256348789083	0.0350086059845671			1.0
ENSMUSG00000051149	ENSMUSG00000051149	0.4717373731747832	0.0595207011881775			1.0
ENSMUSG00000032334	ENSMUSG00000032334	0.4700661004374348	0.0385108436877728			1.0
ENSMUSG00000002409	ENSMUSG00000002409	0.4633023843639481	0.0451228453213038			0.0643539409861172
ENSMUSG00000051319	ENSMUSG00000051319	0.4619036943948836	0.0480736241881636			1.0
ENSMUSG00000027111	ENSMUSG00000027111	0.458744638595496	0.0360822920955772			1.0
ENSMUSG00000034591	ENSMUSG00000034591	0.4500215583699674	0.0449303820566339			0.0669319252021753
ENSMUSG00000064655	ENSMUSG00000064655	0.4433463550796082	0.0576789011942871			0.0003594153037108
ENSMUSG00000029570	ENSMUSG00000029570	0.4404999505764866	0.0430697903325389			1.0
ENSMUSG00000038264	ENSMUSG00000038264	0.4385858580623223	0.0408938779500682			0.119017007533439
ENSMUSG00000118866	ENSMUSG00000118866	0.4372315060947186	0.0469484932280206			0.0177925720985158
ENSMUSG00000024301	ENSMUSG00000024301	0.4372224250178479	0.0341081628336961			1.0
ENSMUSG00000065653	ENSMUSG00000065653	0.4369824571035368	0.0159941760861029			0.0005488723902197
ENSMUSG00000102145	ENSMUSG00000102145	0.4366282607572308	0.043939043725653			1.0
ENSMUSG00000034171	ENSMUSG00000034171	0.4341052321169657	0.0412445634656864			1.0
ENSMUSG00000020538	ENSMUSG00000020538	0.430694064421501	0.0405669833986758			0.2572456283863147
ENSMUSG00000031392	ENSMUSG00000031392	0.4296278241733626	0.0485686427373362			1.0
ENSMUSG00000002416	ENSMUSG00000002416	0.428984109678125	0.0614859536195025			0.4562909605758959
ENSMUSG00000106951	ENSMUSG00000106951	0.4232268197147217	0.049273315042919			0.1412937513595009
ENSMUSG00000037563	ENSMUSG00000037563	0.4229970960690742	0.0567145939860554			1.0
ENSMUSG00000045948	ENSMUSG00000045948	0.4208200524326163	0.0680793323939163			1.0
ENSMUSG00000089665	ENSMUSG00000089665	0.4194462388575169	0.0273779317881012			0.7076696908845193
ENSMUSG00000052040	ENSMUSG00000052040	0.4187953680763634	0.0284569672714099			1.0
ENSMUSG00000027330	ENSMUSG00000027330	0.4185260266841843	0.0484237985723759			1.0
ENSMUSG00000028470	ENSMUSG00000028470	0.4180440359188132	0.028654679437329			1.0
ENSMUSG00000004105	ENSMUSG00000004105	0.4170948619950873	0.0466621118312474			1.0
ENSMUSG00000054675	ENSMUSG00000054675	0.4166855992039682	0.0466632247412331			1.0
ENSMUSG00000041841	ENSMUSG00000041841	0.4164304326063073	0.0496325073475888			0.257130842917196
ENSMUSG00000024747	ENSMUSG00000024747	0.4157030916414797	0.0505574165314491			1.0
ENSMUSG00000020455	ENSMUSG00000020455	0.4156237641520148	0.0362525312570897			1.0
ENSMUSG00000055827	ENSMUSG00000055827	0.4156075354631637	0.031385791063476			0.0012534889059273
ENSMUSG00000068037	ENSMUSG00000068037	0.4148776837217422	0.0329445480304182			4.1271077887276725e-05
ENSMUSG00000029060	ENSMUSG00000029060	0.4146634822583716	0.0383618097265386			1.0
ENSMUSG00000029819	ENSMUSG00000029819	0.412831533974018	0.0401324600121222			1.0
ENSMUSG00000103857	ENSMUSG00000103857	0.4123166423968859	0.0327325877427884			9.788417139784228e-05
ENSMUSG00000102522	ENSMUSG00000102522	0.4122070782914621	0.0266892075921405			1.0
ENSMUSG00000069008	ENSMUSG00000069008	0.4109047320487171	0.0510391629763072			0.0631625367635983
ENSMUSG00000107722	ENSMUSG00000107722	0.4098850668684177	0.0444579043919919			0.0009284338850949
ENSMUSG00000114501	ENSMUSG00000114501	0.4096977162609372	0.0563206728187098			1.0
ENSMUSG00000042453	ENSMUSG00000042453	0.4082718497951313	0.0284453426198976			0.0563770978374625
ENSMUSG00000029752	ENSMUSG00000029752	0.4079667358235216	0.0399428046317437			1.0
ENSMUSG00000037003	ENSMUSG00000037003	0.407804515886233	0.0515358979265158			0.6144170173529904
ENSMUSG00000040883	ENSMUSG00000040883	0.4076597644721841	0.0492856763738983			0.5069346216162124
ENSMUSG00000045252	ENSMUSG00000045252	0.4075065657221491	0.0528280637008245			1.0
ENSMUSG00000118125	ENSMUSG00000118125	0.4063119693635239	0.0229244245404884			1.0
ENSMUSG00000039463	ENSMUSG00000039463	0.406169711287524	0.0465653722171976			0.1146577964278553
ENSMUSG00000109279	ENSMUSG00000109279	0.4052943346024127	0.0319732129286469			1.0
ENSMUSG00000030862	ENSMUSG00000030862	0.4051892980521144	0.0502603388670774			0.9788836502554964
ENSMUSG00000051483	ENSMUSG00000051483	0.4042407799573665	0.0495235333379158			0.6705408496612056
ENSMUSG00000063681	ENSMUSG00000063681	0.4042324040883525	0.0542952974997473			1.0
ENSMUSG00000020196	ENSMUSG00000020196	0.4031668558008184	0.0302460340367573			0.0529977766295248
ENSMUSG00000017747	ENSMUSG00000017747	0.4029576351247038	0.0494693520722669			0.4213252924188208
ENSMUSG00000035699	ENSMUSG00000035699	0.4028403762090948	0.0391641886832401			1.0
ENSMUSG00000091705	ENSMUSG00000091705	0.4024863070896476	0.0369558548648256			1.0
ENSMUSG00000010064	ENSMUSG00000010064	0.401880733838192	0.0298014895283991			0.9834808702720458
ENSMUSG00000003051	ENSMUSG00000003051	0.4016104316394431	0.0440446093278387			0.1077192923798004
ENSMUSG00000016942	ENSMUSG00000016942	0.4015284042931818	0.0306892918100191			1.0
ENSMUSG00000029556	ENSMUSG00000029556	0.401101545918119	0.0414287911126804			1.0
ENSMUSG00000024411	ENSMUSG00000024411	0.4006357486117151	0.0364127902818887			0.3137335407519299
ENSMUSG00000028444	ENSMUSG00000028444	0.3999232120193037	0.0467658152473377			0.9520930032831788
ENSMUSG00000007872	ENSMUSG00000007872	0.3995483507215724	0.0271102547489929			1.0
ENSMUSG00000120167	ENSMUSG00000120167	0.3995390137173966	0.0376670462443052			0.8959908055961874
ENSMUSG00000079494	ENSMUSG00000079494	0.3995227068174302	0.0362113375042214			2.805807250119388e-06
ENSMUSG00000005640	ENSMUSG00000005640	0.3994817660455668	0.0466266436661732			0.834110850219335
ENSMUSG00000103711	ENSMUSG00000103711	0.3993526503703516	0.0414473497601005			0.220541192585535
ENSMUSG00000030546	ENSMUSG00000030546	0.3993073055515712	0.0386799281023066			0.3842546395763091
ENSMUSG00000056501	ENSMUSG00000056501	0.39889798466566	0.0386222345498339			0.5082616850862255
ENSMUSG00000033852	ENSMUSG00000033852	0.3978819921221799	0.0364011095429989			0.5069346216162124
ENSMUSG00000097180	ENSMUSG00000097180	0.397709468947224	0.0361027623833135			1.0
ENSMUSG00000092837	ENSMUSG00000092837	0.3976235943149648	0.0415233470584345			1.0
ENSMUSG00000021384	ENSMUSG00000021384	0.3971420012325442	0.0573848674909973			0.7816340767637825
ENSMUSG00000052934	ENSMUSG00000052934	0.3954853749262501	0.0480358593967973			0.0938802802851701
ENSMUSG00000098234	ENSMUSG00000098234	0.3953963957573774	0.0593078167574516			1.0
ENSMUSG00000059070	ENSMUSG00000059070	0.3948559526885588	0.0287138876182504			0.0560720944903541
ENSMUSG00000022568	ENSMUSG00000022568	0.3948053992578046	0.0343671028934456			1.0
ENSMUSG00000015943	ENSMUSG00000015943	0.3938631985734871	0.0371478508302084			1.0
ENSMUSG00000046070	ENSMUSG00000046070	0.3933114340856204	0.0704652267883001			1.0
ENSMUSG00000044786	ENSMUSG00000044786	0.3921210799129737	0.049370001082769			0.2346567883158629
ENSMUSG00000110040	ENSMUSG00000110040	0.3917996349969539	0.0337583544468091			0.9978181994800952
ENSMUSG00000121785	ENSMUSG00000121785	0.3917415602535539	0.0402160436607787			1.0
ENSMUSG00000013611	ENSMUSG00000013611	0.3914967271506742	0.025334793764867			2.0816681711721685e-13
ENSMUSG00000018830	ENSMUSG00000018830	0.3912332116460142	0.039308742840293			1.0
ENSMUSG00000037474	ENSMUSG00000037474	0.3912042905265414	0.0536770905085022			1.0
ENSMUSG00000020889	ENSMUSG00000020889	0.3911848332318682	0.0243720113703232			0.0478531770858932
ENSMUSG00000003617	ENSMUSG00000003617	0.3908774004927376	0.053238791066027			8.665258681535175e-09
ENSMUSG00000052837	ENSMUSG00000052837	0.3908588028511028	0.0548393789874019			1.0
ENSMUSG00000105827	ENSMUSG00000105827	0.3901157224313326	0.0523832694756573			1.0
ENSMUSG00000106634	ENSMUSG00000106634	0.3900343477084075	0.0331259234132284			1.0
ENSMUSG00000080440	ENSMUSG00000080440	0.3898554273320414	0.0343761580352463			1.0
ENSMUSG00000006958	ENSMUSG00000006958	0.3895005416415477	0.0201038656679898			0.0631625367635983
ENSMUSG00000028527	ENSMUSG00000028527	0.3894260892351504	0.0374523467877953			0.1946082577516623
ENSMUSG00000016757	ENSMUSG00000016757	0.389290827631756	0.0406866093489712			1.0
ENSMUSG00000018697	ENSMUSG00000018697	0.3889658591139481	0.0479031950521362			1.0
ENSMUSG00000121818	ENSMUSG00000121818	0.3888411804006942	0.0442433602541164			6.304495785370899e-05
ENSMUSG00000028268	ENSMUSG00000028268	0.3886562575165353	0.0397886275065905			1.0
ENSMUSG00000035045	ENSMUSG00000035045	0.3878908337642319	0.0346439995969792			1.0
ENSMUSG00000104339	ENSMUSG00000104339	0.3877286226035486	0.0388664706098255			1.0
ENSMUSG00000107000	ENSMUSG00000107000	0.3876683920491196	0.0307139422594587			1.0
ENSMUSG00000042377	ENSMUSG00000042377	0.3874217500000245	0.0467092850098251			0.4074549383837812
ENSMUSG00000045094	ENSMUSG00000045094	0.3870424337701563	0.0358627066061446			0.9520930032831788
ENSMUSG00000072664	ENSMUSG00000072664	0.3869148932624103	0.0301578819670818			1.0
ENSMUSG00000104737	ENSMUSG00000104737	0.3861409718264094	0.0496944771435319			1.0
ENSMUSG00000077254	ENSMUSG00000077254	0.3861273762100118	0.0314946647815461			0.0002606846472414
ENSMUSG00000120543	ENSMUSG00000120543	0.3855603939686018	0.0413427409296625			1.0
ENSMUSG00000024621	ENSMUSG00000024621	0.3854080150746372	0.0503178936558464			0.7025831234088209
ENSMUSG00000038900	ENSMUSG00000038900	0.3849778444149163	0.0395404502770991			1.0
ENSMUSG00000036372	ENSMUSG00000036372	0.3846563234941461	0.0357891304977951			0.9378778776515568
ENSMUSG00000119873	ENSMUSG00000119873	0.3845524018954177	0.0374823095146495			0.0187118023696324
ENSMUSG00000121793	ENSMUSG00000121793	0.3839990300830272	0.0427977083421381			1.0
ENSMUSG00000035385	ENSMUSG00000035385	0.3839234219550943	0.0430936708758744			0.0118185733725256
ENSMUSG00000063796	ENSMUSG00000063796	0.3838156531428843	0.0490084262137452			1.0
ENSMUSG00000019577	ENSMUSG00000019577	0.3837606891255401	0.0344413733655135			0.0167089549048131
ENSMUSG00000026389	ENSMUSG00000026389	0.3835464786272406	0.0410378115932977			0.4244114062174636
ENSMUSG00000000753	ENSMUSG00000000753	0.3831745080144598	0.0516613807053629			1.0
ENSMUSG00000061825	ENSMUSG00000061825	0.3831036746496077	0.0440022743635622			0.053094413054868
ENSMUSG00000022508	ENSMUSG00000022508	0.3828809592396898	0.0400509668019034			0.0060063658582675
ENSMUSG00000109061	ENSMUSG00000109061	0.3827166969444584	0.0314529155474535			1.0
ENSMUSG00000061175	ENSMUSG00000061175	0.3820993083211772	0.0449525602193432			1.0
ENSMUSG00000068587	ENSMUSG00000068587	0.3820161483240482	0.0356805462796647			0.0215423628373883
ENSMUSG00000064363	ENSMUSG00000064363	0.381292896434681	0.0476051686880333			1.0
ENSMUSG00000017146	ENSMUSG00000017146	0.3812634350661351	0.0497652835966484			0.0505239387330387
ENSMUSG00000060032	ENSMUSG00000060032	0.3810439701543008	0.029436450633508			1.0
ENSMUSG00000026726	ENSMUSG00000026726	0.3807844258823596	0.0334469496288274			1.0
ENSMUSG00000027870	ENSMUSG00000027870	0.3806101531278737	0.0376645553133384			0.3884253454167783
ENSMUSG00000042487	ENSMUSG00000042487	0.3798756024097599	0.0421315662576786			1.0
ENSMUSG00000074406	ENSMUSG00000074406	0.3798643954137347	0.0470988211725592			1.0
ENSMUSG00000031016	ENSMUSG00000031016	0.3798622238730272	0.033958813275597			0.939205394095198
ENSMUSG00000102813	ENSMUSG00000102813	0.379368517413115	0.039580897887471			1.0
ENSMUSG00000100005	ENSMUSG00000100005	0.3792493624116312	0.0304007746577055			1.0
ENSMUSG00000089960	ENSMUSG00000089960	0.3792470282056335	0.0493122087010994			0.003140698575687
ENSMUSG00000078880	ENSMUSG00000078880	0.378833849744206	0.0419547445523811			1.0
ENSMUSG00000086290	ENSMUSG00000086290	0.3787822337575229	0.0360890841445011			1.0
ENSMUSG00000026135	ENSMUSG00000026135	0.3787277868983236	0.031677152420359			1.0
ENSMUSG00000089255	ENSMUSG00000089255	0.3787038297444058	0.0333849402469395			0.206380143859998
ENSMUSG00000034785	ENSMUSG00000034785	0.3785415114384173	0.0321079356325416			0.2052722032570032
ENSMUSG00000022033	ENSMUSG00000022033	0.3783560122669616	0.0325920161258069			0.0006052770606293
ENSMUSG00000015647	ENSMUSG00000015647	0.3782631238682605	0.0372352810615647			0.1636685216538161
ENSMUSG00000025481	ENSMUSG00000025481	0.3782174129898258	0.046199760511123			1.0
ENSMUSG00000052942	ENSMUSG00000052942	0.3779717812633649	0.0299058335303307			1.0
