gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000087881	92	-0.9227331757545468	-1.5613741694087016	0.0	0.0	ENSMUSG00000087881
ENSMUSG00002076852	246	-0.3797549637034527	-0.6400579239867574	0.0	0.0	ENSMUSG00002076852
ENSMUSG00000025735	119	-0.6263037195429191	-1.1029234916809525	0.0	0.0	ENSMUSG00000025735
ENSMUSG00000094932	336	0.0623537917621427	0.098824059815133	1.887379141862766e-15	9.992007221626409e-13	ENSMUSG00000094932
ENSMUSG00000074527	299	0.1547560930252082	0.1931194024052503	1.9984014443252818e-15	9.992007221626409e-13	ENSMUSG00000074527
ENSMUSG00000064604	101	-0.9052939176559446	-1.4302388510311976	2.664535259100376e-15	1.1102230246251565e-12	ENSMUSG00000064604
ENSMUSG00000015962	111	0.3372507512569417	0.7860146048109323	2.009503674571533e-14	7.176798837755477e-12	ENSMUSG00000015962
ENSMUSG00000092746	211	-0.4689424347132429	-0.6768698272707563	9.880984919163893e-14	3.0878077872387166e-11	ENSMUSG00000092746
ENSMUSG00000119662	114	-0.7645128697855391	-1.1434092943351852	1.7486012637846218e-13	4.85722573273506e-11	ENSMUSG00000119662
ENSMUSG00000073125	311	0.0186961010098462	0.0372744290471568	8.378853166846056e-13	1.890617292351256e-10	ENSMUSG00000073125
ENSMUSG00000019768	140	0.053492862731219	0.0873141667324608	8.93729534823251e-13	1.890617292351256e-10	ENSMUSG00000019768
ENSMUSG00000057836	305	-0.1044816970825199	-0.1324886539501001	9.07496300328603e-13	1.890617292351256e-10	ENSMUSG00000057836
ENSMUSG00000118839	83	-0.7777788758277894	-1.353971569204148	1.475264355121908e-12	2.781703439020637e-10	ENSMUSG00000118839
ENSMUSG00000065208	93	-0.7262853167951092	-1.276900800550975	1.5577539258515573e-12	2.781703439020637e-10	ENSMUSG00000065208
ENSMUSG00000054555	157	-0.3425341799855232	-0.436581654183768	4.072742143534924e-12	6.787903572558206e-10	ENSMUSG00000054555
ENSMUSG00000077611	82	-0.8747664593160137	-1.1934069325764027	4.5531356462902295e-12	7.114274447328484e-10	ENSMUSG00000077611
ENSMUSG00000067825	106	0.3083318784832953	0.4357790930967489	6.988964962317823e-12	1.0277889650467387e-09	ENSMUSG00000067825
ENSMUSG00000080538	87	-0.91817653477192	-1.2627378823191828	1.1176615188901453e-11	1.5523076651252015e-09	ENSMUSG00000080538
