gene	symbol	rewiring_mean	rewiring_std	logFC	FDR	q_BH
ENSMUSG00000039196	Orm1	0.4934064084377986	0.0404924858594366			0.784145993726832
ENSMUSG00000121785	Ubb-ps	0.4885772421589754	0.0469610735585505			0.7563819728963126
ENSMUSG00000010064	Slc38a3	0.4816003074065969	0.0328069711091243			0.768663246572757
ENSMUSG00000060093	H4c1	0.4688756385441497	0.0461150871477419			0.8608297807676828
ENSMUSG00000099519	ENSMUSG00000099519	0.4645208338415943	0.0263345510098125			0.8417450812660393
ENSMUSG00000020889	Nr1d1	0.463257643476631	0.0370691506807716			0.6434891411207435
ENSMUSG00000097421	ENSMUSG00000097421	0.4585423564983157	0.0639027821654088			0.5935032589687881
ENSMUSG00000048572	Tmem252	0.4556844513214853	0.0313371430257526			0.8198848938893514
ENSMUSG00000031549	Ido2	0.4545636572601449	0.0503236033702891			0.8843424262585939
ENSMUSG00000040808	S100g	0.4536559408769953	0.0606964648280721			0.7736465054387349
ENSMUSG00000026837	Col5a1	0.451089974201895	0.0568375481075227			0.499001996007984
ENSMUSG00002074875	ENSMUSG00002074875	0.4496475428023032	0.0518161614457575			0.768663246572757
ENSMUSG00000073418	C4b	0.4456262128190172	0.0582837783026323			0.991260721799644
ENSMUSG00000038526	Car14	0.4430871441936751	0.0515613421398173			0.8093402236622645
ENSMUSG00000002289	Angptl4	0.4414785346080162	0.0480377680128201			0.9723771263981982
ENSMUSG00000090101	ENSMUSG00000090101	0.4389111459426557	0.0596490485370165			0.8609646378884024
ENSMUSG00000118698	Gm25890	0.43445515435347	0.0635759945258526			0.6667078214704613
ENSMUSG00000119776	Gm23849	0.433284856282628	0.0578305571311554			0.8608297807676828
ENSMUSG00000004951	Hspb1	0.4321508592768232	0.02952400515455			0.768663246572757
ENSMUSG00000032946	Rasgrp2	0.4310068244521343	0.0718802344066072			0.5171475231355471
ENSMUSG00000023067	Cdkn1a	0.430537641617491	0.0407671974054324			0.6887512528590888
ENSMUSG00000023046	Igfbp6	0.4292604969091863	0.03667282846037			0.6473539407671144
ENSMUSG00000038264	Sema7a	0.4261735314782069	0.0374128440316634			0.9094111242755132
ENSMUSG00000059901	Adamts14	0.4253092833892823	0.057243705479245			0.4165581879718822
ENSMUSG00000069300	H2bc11	0.4245740274585278	0.0488431428337881			0.8609646378884024
ENSMUSG00000035202	Lars2	0.4239580262319578	0.0565607733499163			0.9747201945174656
ENSMUSG00000022033	Pbk	0.4236937690842928	0.0332758195708607			0.791312579104668
ENSMUSG00002076451	ENSMUSG00002076451	0.423426356531857	0.0498233302572232			0.9434983505871226
ENSMUSG00000011305	Plin5	0.4232052553815218	0.0422922810206861			0.6901451334618898
ENSMUSG00000068744	Psrc1	0.4231921823265256	0.0439191492730336			0.8308491869671397
ENSMUSG00000118841	Rn7s2	0.4222485072712453	0.0373671401602742			0.9531498800152504
ENSMUSG00000064367	mt-Nd5	0.4219230146996886	0.0343828557677958			0.9434983505871226
ENSMUSG00000025089	Gfra1	0.4198409979556509	0.0434804056758219			0.7736465054387349
ENSMUSG00000078597	Cyp4a12b	0.4189067464820669	0.0549290409364513			0.791312579104668
ENSMUSG00000103711	Tstd1	0.4188465365049678	0.0549583540925894			0.8891104180839671
ENSMUSG00000102070	ENSMUSG00000102070	0.4179210179654409	0.0519345657872878			0.9244240642950352
ENSMUSG00000064563	Snora7a	0.417216007136737	0.0364520925306675			0.784145993726832
ENSMUSG00000038775	Vill	0.4150398335624233	0.0296115596317545			0.9946549853313508
ENSMUSG00000024526	Cidea	0.4149446889457436	0.0399556309031776			0.6667078214704613
ENSMUSG00000024552	Slc14a2	0.4146847593272234	0.0426383425322718			0.7617274285351558
ENSMUSG00000074634	Tmem267	0.4145770214686102	0.0491323343752092			0.915964680807876
ENSMUSG00000079362	ENSMUSG00000079362	0.4140994789018871	0.0440035266259452			0.8010869018265989
ENSMUSG00000019874	Fabp7	0.413891355370494	0.0255417160748495			0.5239520958083832
ENSMUSG00000026814	Eng	0.4137494098286443	0.043585274807571			0.2395209580838323
ENSMUSG00000029368	Alb	0.413609352531117	0.0389231212719532			0.5171475231355471
ENSMUSG00000048997	Atxn7l2	0.4130106540306583	0.0368762886723714			0.791312579104668
ENSMUSG00000116358	ENSMUSG00000116358	0.4127858845003938	0.052542142866477			0.8609646378884024
ENSMUSG00000032978	Guca2b	0.4127612500218774	0.0636704329953867			0.8022602138717734
ENSMUSG00000058620	Adra2b	0.4125007853204613	0.0445873179469465			0.8746714551549863
ENSMUSG00000022218	Tgm1	0.412064640302713	0.0311774026891851			0.9810945794001515
ENSMUSG00000020108	Ddit4	0.4113719024005983	0.0650929333098937			0.6859009254218834
ENSMUSG00000016942	Tmprss6	0.4097206268871748	0.0540170355988454			0.768663246572757
ENSMUSG00000002910	Arrdc2	0.4094587227587941	0.0400659695018282			0.791312579104668
ENSMUSG00000027699	Ect2	0.4085929616819823	0.0396022907301661			0.7519844032864503
ENSMUSG00000101249	ENSMUSG00000101249	0.4085478908266749	0.0392446171030025			0.768663246572757
