	count	mean	std	min	25%	50%	75%	max
Podocyte	80.0	0.010064808673868993	0.005744328127146287	0.0036459254854981	0.006133413027887599	0.008460691910291751	0.011036776540323876	0.0294446119247004
Endothelial	80.0	0.07822241168113316	0.04542910851908254	0.0270186328176527	0.0468421815027378	0.06521850146152064	0.08704331281490818	0.231122660285744
Mesangial	80.0	0.007851848002616707	0.004610011777478329	0.0026695135308388	0.004687400130896625	0.006580776855801549	0.0085955939955869	0.0233987503194031
PT	80.0	0.5842360760658386	0.034896741842097595	0.474110731368295	0.566435687428021	0.588418929775333	0.6105480697031662	0.639611266509204
TAL_LOH	80.0	0.13449458735503306	0.010002955847895765	0.104114208255577	0.13043870379538702	0.13709055469995352	0.14214050016063626	0.149527466046358
DCT	80.0	0.06211845046250941	0.005673354159575004	0.0523266376006207	0.05858010646625625	0.06019655987968305	0.0649207960346785	0.0782884785922445
CD	80.0	0.032198680571514704	0.0030167580340236806	0.0245956071110446	0.03032938474886655	0.0323268051549732	0.03438899592594542	0.0375876752452809
Other	80.0	0.06571879419398438	0.004107012391629357	0.0526571899175315	0.0638100870473937	0.0664335201527029	0.06882691673966937	0.0721128035087309
Immune	80.0	0.0018456234270399399	0.0032876013857252835	0.0	0.00015124310929969946	0.00120368219895665	0.00213131402452575	0.0235130368606637
Fibroblast	80.0	0.023248719566460976	0.012728552550450002	0.0032270382810855	0.013324457352356775	0.022258416359437802	0.0319013848673494	0.0604123727246653
