gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000078896	235	0.3784490939229721	0.7052977537056764	0.0	0.0	Zfp965
ENSMUSG00000094932	280	-0.0183281960897145	-0.0248574566215827	2.0761170560490427e-14	1.2456702336294256e-11	Gm2007
ENSMUSG00000069307	183	0.8435432147234687	0.8795058277307483	4.8294701571194316e-14	1.9317880628477724e-11	H2bc23
ENSMUSG00000073640	242	0.265675376402214	0.3854550957951155	5.621836329794405e-12	1.6865508989383213e-09	Rpl27-ps3
ENSMUSG00000120777	301	0.1502378690987815	0.2202765270423861	1.909661317966993e-11	4.583187163120783e-09	ENSMUSG00000120777
ENSMUSG00000077391	117	0.4008584171533583	0.5666094215518533	4.692853439181022e-09	9.385706878362044e-07	Gm24336
ENSMUSG00000076617	206	-0.4137511724315116	-0.5537225257947872	1.1320595239006082e-08	1.9406734695439e-06	Ighm
ENSMUSG00000094306	282	-0.1072709813714009	-0.1344768281160431	1.3638754570166613e-08	2.045813185524992e-06	Gm24924
ENSMUSG00000065701	97	0.7158799139782803	0.9346996227520008	2.8053824707718892e-08	3.740509961029185e-06	ENSMUSG00000065701
ENSMUSG00002076696	82	0.812459146743644	1.016765909968451	5.384872796554419e-07	6.461847355865302e-05	ENSMUSG00002076696
ENSMUSG00000006574	207	0.0763949412852523	0.0996254955104635	6.052573721104793e-07	6.602807695750683e-05	Slc4a1
ENSMUSG00000064945	98	0.4456530720926858	0.5311744603993981	6.867610057303963e-07	6.867610057303963e-05	Rny3
ENSMUSG00000079165	90	0.4782311606453783	0.6493094533434649	1.7859015704058123e-06	0.0001648524526528	Sap25
ENSMUSG00000092746	172	0.252250378578903	0.2845549701315891	2.584254356507998e-06	0.0002215075162721	ENSMUSG00000092746
ENSMUSG00000119838	139	0.4072154223918933	0.6346086043094458	1.472952238323888e-05	0.0011783617906591	Gm23444
ENSMUSG00000087935	123	0.3608995901420757	0.4682172908278757	6.118045760139523e-05	0.0045885343201046	Snora81
ENSMUSG00000064604	118	0.5396121673285995	0.6251401315798648	0.0001163249240792	0.0075891349301	Snora44
ENSMUSG00000026435	138	-0.2972560655325655	-0.3634623253573682	0.0001178103514817	0.0075891349301	Slc45a3
ENSMUSG00000096768	202	0.0417845896445216	0.0528425795026368	0.0001201613030599	0.0075891349301	ENSMUSG00000096768
ENSMUSG00000092805	108	0.30433873742586	0.4000966105223924	0.0002086391941816	0.0125183516509008	ENSMUSG00000092805
ENSMUSG00000012443	80	0.1920372979249818	0.314343435621658	0.0003163465613178	0.0180769463610199	Kif11
ENSMUSG00000079357	160	0.0653778791427581	0.0783215745078879	0.0004404182211874	0.0240228120647702	Gm11100
ENSMUSG00000037625	101	0.0579563170671466	0.0678502227676102	0.0005230532642847	0.0272897355278974	Cldn11
ENSMUSG00000041293	91	-0.22006854936481	-0.3234788019715657	0.0007367214956971	0.0368360747848572	Adgrf1
ENSMUSG00000021388	107	-0.345701891928912	-0.4598877995751759	0.0012506364754819	0.060030550823134	Aspn
ENSMUSG00000079363	135	-0.4841501437127599	-0.5145032185188699	0.0013835438231727	0.0616320814904123	Gbp4
ENSMUSG00000068744	117	0.1687902957200996	0.2940922250998415	0.0013867218335342	0.0616320814904123	Psrc1
ENSMUSG00000112441	89	-0.1340487867593718	-0.1748403639015633	0.0022532575923281	0.0965681825283512	ENSMUSG00000112441
ENSMUSG00000040562	80	0.1691207258030787	0.1750754316542582	0.002370456565133	0.0980878578675731	Gstm2
ENSMUSG00000028369	81	-0.5007178544998148	-0.6754444244419717	0.0026138748489075	0.1045549939563006	Svep1
ENSMUSG00000016763	100	-0.3211847290396654	-0.3322259960274212	0.0033755962924992	0.1306682435806174	Scube1
ENSMUSG00000030218	128	0.0580388904549153	0.0712704073023079	0.0062561336773513	0.2346050129006752	Mgp
ENSMUSG00000087881	85	0.6533963710069717	1.013249730607779	0.0084683072831787	0.307938446661044	Gm22442
ENSMUSG00000021614	95	-0.2724741250276562	-0.3202625729398318	0.0101395420678357	0.3578661906294966	Vcan
ENSMUSG00000076609	126	0.0860480632633	0.1039103367075438	0.0116105617781981	0.398076403823938	Igkc
ENSMUSG00000069874	87	-0.1245880022645006	-0.2414839913455984	0.0166522031451107	0.5550734381703578	Irgm2
ENSMUSG00000102145	86	0.0468529379344538	0.0466176053074421	0.0175910086502258	0.5705191994667858	ENSMUSG00000102145
ENSMUSG00000052516	89	-0.228913913667203	-0.2981991997823711	0.0204867875613589	0.6469511861481761	Robo2
ENSMUSG00000002055	113	-0.1095437705516819	-0.2280282457664674	0.0212069228123116	0.6525207019172807	Spag5
ENSMUSG00000032060	80	0.3523463529534673	0.4926568942817027	0.0232079115807404	0.6812467805403539	Cryab
ENSMUSG00000046275	81	-0.3578141063451755	-0.3862227460722033	0.023275931668462	0.6812467805403539	Trarg1
ENSMUSG00000058571	102	-0.2391765207052219	-0.3078832870043048	0.0284504969278256	0.8128713407950184	Gpc6
ENSMUSG00000110040	186	-0.0793821435421707	-0.1209777046070133	0.0298822368298973	0.8339228882762044	ENSMUSG00000110040
ENSMUSG00000018417	80	-0.369664915744216	-0.4716489094481759	0.0322025003963651	0.8773643945640671	Myo1b
ENSMUSG00000091694	143	0.0917754814028747	0.1759413657198063	0.0330403729044734	0.8773643945640671	Apol11b
ENSMUSG00000058927	168	-0.2911995271220813	-0.3324361902306728	0.0336323017916225	0.8773643945640671	ENSMUSG00000058927
ENSMUSG00000034457	139	0.0375719010829941	0.0620709486513895	0.0393864491484928	1.0	Eda2r
ENSMUSG00000027487	276	-0.0311497548944362	-0.0353368836287372	0.0409871090386205	1.0	Cdk5rap1
ENSMUSG00000098306	260	0.0958387581631546	0.1257852252722895	0.0427824830702099	1.0	ENSMUSG00000098306
ENSMUSG00000046318	80	-0.3608243096619851	-0.4344673907625623	0.043932135968023	1.0	Ccbe1
ENSMUSG00000019899	81	-0.1587350934743872	-0.2054222945687525	0.0481509763602845	1.0	Lama2
ENSMUSG00000049511	158	-0.1837070152163503	-0.2818155044977023	0.0501756776778367	1.0	Htr1b
ENSMUSG00000090877	94	-0.1824989294633271	-0.2302824856811021	0.0529254329298332	1.0	Hspa1b
ENSMUSG00000118790	82	0.6552153132855929	0.7589011201725401	0.0586646607646962	1.0	Gm25939
ENSMUSG00000001870	89	-0.3198019415140143	-0.4794778303781366	0.0667413100267904	1.0	Ltbp1
ENSMUSG00000027469	81	0.3823810949921681	0.5349750727703877	0.0674289944252126	1.0	Tpx2
ENSMUSG00000099927	246	0.1290799524169429	0.1664655676709339	0.0699123532373587	1.0	Gm8226
ENSMUSG00000118936	124	-0.0043855942785736	-0.0131426171110841	0.0718577838984586	1.0	Gm22614
ENSMUSG00000019232	116	-0.1589422164484869	-0.2334106687530774	0.0727896476404732	1.0	Etnppl
ENSMUSG00000041624	86	-0.2174957145005448	-0.2664645383971709	0.0751676527776552	1.0	Gucy1a2
