gene	symbol	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000078896	Zfp965	235	0.3784490939229721	0.7052977537056764	0.0	0.0
ENSMUSG00000094932	Gm2007	280	-0.0183281960897145	-0.0248574566215827	2.0761170560490427e-14	1.2456702336294256e-11
ENSMUSG00000069307	H2bc23	183	0.8435432147234687	0.8795058277307483	4.8294701571194316e-14	1.9317880628477724e-11
ENSMUSG00000073640	Rpl27-ps3	242	0.265675376402214	0.3854550957951155	5.621836329794405e-12	1.6865508989383213e-09
ENSMUSG00000120777	ENSMUSG00000120777	301	0.1502378690987815	0.2202765270423861	1.909661317966993e-11	4.583187163120783e-09
ENSMUSG00000077391	Gm24336	117	0.4008584171533583	0.5666094215518533	4.692853439181022e-09	9.385706878362044e-07
ENSMUSG00000076617	Ighm	206	-0.4137511724315116	-0.5537225257947872	1.1320595239006082e-08	1.9406734695439e-06
ENSMUSG00000094306	Gm24924	282	-0.1072709813714009	-0.1344768281160431	1.3638754570166613e-08	2.045813185524992e-06
ENSMUSG00000065701	ENSMUSG00000065701	97	0.7158799139782803	0.9346996227520008	2.8053824707718892e-08	3.740509961029185e-06
ENSMUSG00002076696	ENSMUSG00002076696	82	0.812459146743644	1.016765909968451	5.384872796554419e-07	6.461847355865302e-05
ENSMUSG00000006574	Slc4a1	207	0.0763949412852523	0.0996254955104635	6.052573721104793e-07	6.602807695750683e-05
ENSMUSG00000064945	Rny3	98	0.4456530720926858	0.5311744603993981	6.867610057303963e-07	6.867610057303963e-05
ENSMUSG00000079165	Sap25	90	0.4782311606453783	0.6493094533434649	1.7859015704058123e-06	0.0001648524526528
ENSMUSG00000092746	ENSMUSG00000092746	172	0.252250378578903	0.2845549701315891	2.584254356507998e-06	0.0002215075162721
ENSMUSG00000119838	Gm23444	139	0.4072154223918933	0.6346086043094458	1.472952238323888e-05	0.0011783617906591
ENSMUSG00000087935	Snora81	123	0.3608995901420757	0.4682172908278757	6.118045760139523e-05	0.0045885343201046
ENSMUSG00000064604	Snora44	118	0.5396121673285995	0.6251401315798648	0.0001163249240792	0.0075891349301
ENSMUSG00000026435	Slc45a3	138	-0.2972560655325655	-0.3634623253573682	0.0001178103514817	0.0075891349301
ENSMUSG00000096768	ENSMUSG00000096768	202	0.0417845896445216	0.0528425795026368	0.0001201613030599	0.0075891349301
ENSMUSG00000092805	ENSMUSG00000092805	108	0.30433873742586	0.4000966105223924	0.0002086391941816	0.0125183516509008
ENSMUSG00000012443	Kif11	80	0.1920372979249818	0.314343435621658	0.0003163465613178	0.0180769463610199
ENSMUSG00000079357	Gm11100	160	0.0653778791427581	0.0783215745078879	0.0004404182211874	0.0240228120647702
ENSMUSG00000037625	Cldn11	101	0.0579563170671466	0.0678502227676102	0.0005230532642847	0.0272897355278974
ENSMUSG00000041293	Adgrf1	91	-0.22006854936481	-0.3234788019715657	0.0007367214956971	0.0368360747848572
