rank	gene	degree
1	ENSMUSG00000110386	315
2	ENSMUSG00000035202	304
3	ENSMUSG00000120777	301
4	ENSMUSG00000073125	285
5	ENSMUSG00000094306	282
6	ENSMUSG00000094932	280
7	ENSMUSG00000027487	276
8	ENSMUSG00000074634	274
9	ENSMUSG00000078875	274
10	ENSMUSG00000098306	260
11	ENSMUSG00000067736	253
12	ENSMUSG00000095616	253
13	ENSMUSG00000078898	251
14	ENSMUSG00000099927	246
15	ENSMUSG00000078894	246
16	ENSMUSG00000095648	242
17	ENSMUSG00000073640	242
18	ENSMUSG00000074527	239
19	ENSMUSG00000057836	237
20	ENSMUSG00000068964	236
21	ENSMUSG00000078896	235
22	ENSMUSG00000066632	231
23	ENSMUSG00000030680	227
24	ENSMUSG00000073418	224
25	ENSMUSG00000112324	224
26	ENSMUSG00000078880	222
27	ENSMUSG00000083012	222
28	ENSMUSG00000039519	222
29	ENSMUSG00000006724	220
30	ENSMUSG00000119286	220
31	ENSMUSG00000044645	216
32	ENSMUSG00000039542	215
33	ENSMUSG00000043144	211
34	ENSMUSG00000069008	211
35	ENSMUSG00000029368	208
36	ENSMUSG00000071532	208
37	ENSMUSG00000006574	207
38	ENSMUSG00000076617	206
39	ENSMUSG00000095545	204
40	ENSMUSG00000096768	202
41	ENSMUSG00000078193	199
42	ENSMUSG00000040715	197
43	ENSMUSG00000005413	197
44	ENSMUSG00000070469	196
45	ENSMUSG00000035699	194
46	ENSMUSG00000048373	192
47	ENSMUSG00000119873	192
48	ENSMUSG00000116358	191
49	ENSMUSG00000063415	191
50	ENSMUSG00000040564	189
51	ENSMUSG00000090165	189
52	ENSMUSG00000029372	188
53	ENSMUSG00000118734	188
54	ENSMUSG00002075625	188
55	ENSMUSG00000002250	188
56	ENSMUSG00000096852	188
57	ENSMUSG00000028989	188
58	ENSMUSG00000025479	186
59	ENSMUSG00000110040	186
60	ENSMUSG00000099241	185
61	ENSMUSG00000037053	184
62	ENSMUSG00000069307	183
63	ENSMUSG00000038567	183
64	ENSMUSG00000107068	183
65	ENSMUSG00000092595	183
66	ENSMUSG00000121785	180
67	ENSMUSG00000070645	179
68	ENSMUSG00000071637	178
69	ENSMUSG00000087259	178
70	ENSMUSG00000063556	177
71	ENSMUSG00000022304	177
72	ENSMUSG00000033831	177
73	ENSMUSG00000035186	175
74	ENSMUSG00000032578	175
75	ENSMUSG00000095675	175
76	ENSMUSG00000054999	174
77	ENSMUSG00000095079	173
78	ENSMUSG00000022508	173
79	ENSMUSG00000027322	173
80	ENSMUSG00000096596	172
81	ENSMUSG00000095595	172
82	ENSMUSG00000091345	172
83	ENSMUSG00000092746	172
84	ENSMUSG00000021135	171
85	ENSMUSG00000026602	169
86	ENSMUSG00000037563	169
87	ENSMUSG00000081604	169
88	ENSMUSG00000058927	168
89	ENSMUSG00000071633	167
90	ENSMUSG00000064337	167
91	ENSMUSG00000121042	166
92	ENSMUSG00000037411	166
93	ENSMUSG00000118841	165
94	ENSMUSG00000061906	164
95	ENSMUSG00000038963	164
96	ENSMUSG00000025498	164
97	ENSMUSG00000046699	163
98	ENSMUSG00000034785	163
99	ENSMUSG00000020651	163
100	ENSMUSG00000066366	162
101	ENSMUSG00000026042	161
102	ENSMUSG00000079357	160
103	ENSMUSG00000109814	160
104	ENSMUSG00000022797	160
105	ENSMUSG00000001930	159
106	ENSMUSG00000093445	159
107	ENSMUSG00000049511	158
108	ENSMUSG00000022366	158
109	ENSMUSG00000028553	158
