rank	gene	degree
1	ENSMUSG00000110386	315
2	ENSMUSG00000035202	304
3	ENSMUSG00000120777	301
4	ENSMUSG00000073125	285
5	ENSMUSG00000094306	282
6	ENSMUSG00000094932	280
7	ENSMUSG00000027487	276
8	ENSMUSG00000074634	274
9	ENSMUSG00000078875	274
10	ENSMUSG00000098306	260
11	ENSMUSG00000067736	253
12	ENSMUSG00000095616	253
13	ENSMUSG00000078898	251
14	ENSMUSG00000099927	246
15	ENSMUSG00000078894	246
16	ENSMUSG00000095648	242
17	ENSMUSG00000073640	242
18	ENSMUSG00000074527	239
19	ENSMUSG00000057836	237
20	ENSMUSG00000068964	236
21	ENSMUSG00000078896	235
22	ENSMUSG00000066632	231
23	ENSMUSG00000030680	227
24	ENSMUSG00000073418	224
25	ENSMUSG00000112324	224
26	ENSMUSG00000078880	222
27	ENSMUSG00000083012	222
28	ENSMUSG00000039519	222
29	ENSMUSG00000006724	220
30	ENSMUSG00000119286	220
31	ENSMUSG00000044645	216
32	ENSMUSG00000039542	215
33	ENSMUSG00000043144	211
34	ENSMUSG00000069008	211
35	ENSMUSG00000029368	208
36	ENSMUSG00000071532	208
37	ENSMUSG00000006574	207
38	ENSMUSG00000076617	206
39	ENSMUSG00000095545	204
40	ENSMUSG00000096768	202
41	ENSMUSG00000078193	199
42	ENSMUSG00000040715	197
43	ENSMUSG00000005413	197
44	ENSMUSG00000070469	196
45	ENSMUSG00000035699	194
46	ENSMUSG00000048373	192
47	ENSMUSG00000119873	192
48	ENSMUSG00000116358	191
49	ENSMUSG00000063415	191
50	ENSMUSG00000040564	189
