gene,Symbol,rewiring_mean,rewiring_std,rank_std,logFC,Category
ENSMUSG00000119476,Rnu1a1,0.3187272374719969,0.0579111805457481,210.8853954165627,-0.4278824856981752,Silent Shifter
ENSMUSG00000024552,Slc14a2,0.3042169745687189,0.0544433155256108,208.99138738235123,0.3199757434007702,Silent Shifter
ENSMUSG00000024011,Pi16,0.355837490709164,0.0568941448270163,199.78691148321,0.2127996181814547,Silent Shifter
ENSMUSG00000037053,Azgp1,0.3152113145242967,0.0526219262387813,198.8606547308944,-0.298602099952467,Silent Shifter
ENSMUSG00000029445,Hpd,0.3095324914471782,0.0501390985403163,196.48144950605388,-0.4485434964913651,Silent Shifter
ENSMUSG00000038146,Notch3,0.3444771609349851,0.0650485117623783,196.20846057191315,0.2268013449374853,Silent Shifter
ENSMUSG00000112478,Gm47761,0.323595228278954,0.0489091075130559,196.15646815743804,0.1454571119494821,Silent Shifter
ENSMUSG00000029188,Slc34a2,0.3040666145252652,0.0518251031009132,192.61487481500487,0.3093003007002554,Silent Shifter
ENSMUSG00000028571,Cyp2j13,0.2911499499251596,0.0518911280328248,192.5832027981672,0.0894786584345981,Silent Shifter
ENSMUSG00000055782,Abcd2,0.3064594709626093,0.0503842002429351,192.1535844058081,-0.1075850837719926,Silent Shifter
ENSMUSG00000105985,Gm42993,0.314733977760475,0.050716420930468,191.46553214612808,-0.3832931628361532,Silent Shifter
ENSMUSG00000056749,Nfil3,0.2909692941484274,0.0483352613826407,189.20771654454265,0.1863618666949447,Silent Shifter
ENSMUSG00000021670,Hmgcr,0.3149858691298789,0.0508998888804608,187.81490888638209,0.1298951848218372,Silent Shifter
ENSMUSG00000041523,Upk2,0.2801142788425574,0.0471966615911539,187.2106834558328,-0.2340174945839933,Silent Shifter
ENSMUSG00000052565,H1f3,0.2881064769708513,0.0490777166159997,187.0480152260376,0.0292913600241181,Silent Shifter
ENSMUSG00000064370,mt-Cytb,0.3314531069406768,0.0488518638876107,186.74838687388976,-0.4422030648421752,Silent Shifter
ENSMUSG00000104369,Gm38082,0.3284358697749223,0.0507324903723006,186.5522982972871,-0.3206617081960837,Silent Shifter
ENSMUSG00000074527,Gm14296,0.2632593434214603,0.0481710125182848,185.73432639121933,-0.2067675029956247,Silent Shifter
ENSMUSG00000030680,Pagr1a,0.2947999354679036,0.0479822765993555,185.34141469191388,0.3940135767937766,Silent Shifter
ENSMUSG00000028681,Ptch2,0.3193844436273163,0.045656550865929,184.58507523632565,0.310497853480647,Silent Shifter
ENSMUSG00000050074,Spink8,0.2877024358208535,0.0484385984200789,184.42724852906093,0.0320813750003198,Silent Shifter
ENSMUSG00000094932,Gm2007,0.3178534303639587,0.0480312200692707,184.22184995271328,-0.112755389039699,Silent Shifter
ENSMUSG00000109429,Gm45223,0.3404918528752939,0.0564696080445183,183.825351896848,-0.4652198243568324,Silent Shifter
ENSMUSG00000059743,Fdps,0.2796081274957385,0.0469489987197747,182.6073382972328,0.4943632914342662,Silent Shifter
ENSMUSG00000121793,Gm10175,0.3497913887238351,0.0620925376349789,182.4964657192024,-0.2840940206215592,Silent Shifter
ENSMUSG00000046352,Gjb2,0.3266123104221424,0.0497843620089158,182.27136363126272,0.0813842829524534,Silent Shifter
ENSMUSG00000010044,Zmynd10,0.3582244783896026,0.0530372587340391,182.0956067564509,-0.0539600998180968,Silent Shifter
ENSMUSG00000120254,Gm32960,0.2682201059168405,0.0449223968813782,180.05857380308225,-0.2269920762884501,Silent Shifter
ENSMUSG00000031710,Ucp1,0.3170538950435373,0.0493470765805445,179.8321717602276,-0.2470061015576154,Silent Shifter
ENSMUSG00000027245,Hypk,0.2731099064844215,0.0434877448647886,176.96669178125018,0.1279374428947673,Silent Shifter
ENSMUSG00000045871,Slitrk6,0.2988062826270458,0.0442677483835816,176.2377939035779,-0.3080523131477134,Silent Shifter
ENSMUSG00000053846,Lipg,0.2981611728726303,0.0457809666553613,175.44104422853852,-0.185028157017243,Silent Shifter
ENSMUSG00000119662,Gm22988,0.3506976474337847,0.0565931846157653,174.99828570588917,-0.1738026822460034,Silent Shifter
ENSMUSG00000065232,Gm22973,0.2937521529865134,0.0440508380651952,174.1644050889848,-0.1893451727857599,Silent Shifter
ENSMUSG00000009013,Dynll1,0.3007253614206042,0.0433349565526147,172.65155661041692,0.1967517835053935,Silent Shifter
ENSMUSG00000116358,Gm49450,0.3423117872086212,0.0486011329070448,172.4203004289228,-0.2383322420571095,Silent Shifter
ENSMUSG00000021453,Gadd45g,0.3099678550972019,0.0435934425489233,171.325538084665,-0.3655841338724362,Silent Shifter
ENSMUSG00000116988,Gm49673,0.2835869011087837,0.0414369693485394,170.2709605305614,0.1086041339587643,Silent Shifter
ENSMUSG00000041895,Wipi1,0.2548942879523537,0.0433583640922892,170.23219436992522,0.1404823650556251,Silent Shifter
ENSMUSG00000097324,Carmn,0.3377065029154178,0.0512371164439897,170.0636351487289,0.3714856990901495,Silent Shifter
ENSMUSG00000071637,Cebpd,0.3334004065235728,0.051827575394581,169.8531424495879,-0.054259848763261,Silent Shifter
ENSMUSG00000071177,Serpina1d,0.323766637126001,0.0553587787698375,169.64636748247807,-0.2117409390164554,Silent Shifter
ENSMUSG00000031765,Mt1,0.313004830601196,0.0409769819445197,169.3832636360511,-0.0299167865214022,Silent Shifter
ENSMUSG00000059810,Rgs3,0.4000324000791721,0.0690880555222381,168.5911029680985,0.178037013834985,Silent Shifter
ENSMUSG00000118669,Arvcf,0.2853355688871888,0.0390277945459844,168.27741975678137,0.3235545834444965,Silent Shifter
ENSMUSG00000030739,Myh14,0.3370218194976792,0.0445748406303645,167.60551900220946,-0.1483126293873901,Silent Shifter
ENSMUSG00000028862,Map3k6,0.2974732881397006,0.0408461983872849,167.29064528538348,-0.012712201134767,Silent Shifter
