rank	gene	degree
1	ENSMUSG00000078896	440
2	ENSMUSG00000035202	410
3	ENSMUSG00000120284	387
4	ENSMUSG00000027487	376
5	ENSMUSG00000104867	376
6	ENSMUSG00000057836	368
7	ENSMUSG00000074634	365
8	ENSMUSG00000028177	352
9	ENSMUSG00000056257	345
10	ENSMUSG00000026064	345
11	ENSMUSG00000030680	339
12	ENSMUSG00000073125	338
13	ENSMUSG00000117748	333
14	ENSMUSG00000078898	318
15	ENSMUSG00000078193	316
16	ENSMUSG00000116796	312
17	ENSMUSG00000006154	304
18	ENSMUSG00000107374	302
19	ENSMUSG00000039519	301
20	ENSMUSG00000029372	300
21	ENSMUSG00000044313	296
22	ENSMUSG00000083836	294
23	ENSMUSG00000029368	284
24	ENSMUSG00000083012	280
25	ENSMUSG00000013415	280
26	ENSMUSG00000067149	279
27	ENSMUSG00000095545	277
28	ENSMUSG00000038155	273
29	ENSMUSG00000074521	271
30	ENSMUSG00000031380	268
31	ENSMUSG00000083397	267
32	ENSMUSG00000043144	264
33	ENSMUSG00000056116	261
34	ENSMUSG00000009772	260
35	ENSMUSG00000021913	258
36	ENSMUSG00000039579	254
37	ENSMUSG00000096852	253
38	ENSMUSG00000108297	252
39	ENSMUSG00000038968	252
40	ENSMUSG00000023034	251
41	ENSMUSG00000095675	248
42	ENSMUSG00000049336	246
43	ENSMUSG00000096596	246
44	ENSMUSG00000036095	244
45	ENSMUSG00000083277	241
46	ENSMUSG00000117372	236
47	ENSMUSG00000058297	235
48	ENSMUSG00000032401	234
49	ENSMUSG00000104121	234
50	ENSMUSG00000044156	233
51	ENSMUSG00000053977	232
52	ENSMUSG00000025479	232
53	ENSMUSG00000005413	232
54	ENSMUSG00000035186	231
55	ENSMUSG00000029126	230
56	ENSMUSG00000028195	227
57	ENSMUSG00000034919	227
58	ENSMUSG00000056427	226
59	ENSMUSG00000067780	226
60	ENSMUSG00000006574	225
61	ENSMUSG00000005980	223
62	ENSMUSG00000005220	223
63	ENSMUSG00000021213	222
64	ENSMUSG00000114184	222
65	ENSMUSG00000037386	221
66	ENSMUSG00000040441	221
67	ENSMUSG00000037509	221
68	ENSMUSG00000072115	220
69	ENSMUSG00000023868	220
70	ENSMUSG00000014813	218
71	ENSMUSG00000031760	217
72	ENSMUSG00000089669	215
73	ENSMUSG00000010051	214
74	ENSMUSG00000073412	213
75	ENSMUSG00000020123	212
76	ENSMUSG00000032578	211
77	ENSMUSG00000002250	211
78	ENSMUSG00000075420	211
79	ENSMUSG00000050100	211
80	ENSMUSG00000021250	209
81	ENSMUSG00000109764	209
82	ENSMUSG00000032452	208
83	ENSMUSG00000115228	208
84	ENSMUSG00000029108	205
85	ENSMUSG00000061100	205
86	ENSMUSG00000099954	205
87	ENSMUSG00000090145	204
88	ENSMUSG00000005553	203
89	ENSMUSG00000063415	203
90	ENSMUSG00000030768	201
91	ENSMUSG00000036356	200
92	ENSMUSG00000071005	200
93	ENSMUSG00000036853	199
94	ENSMUSG00000089694	199
95	ENSMUSG00000022366	198
96	ENSMUSG00000033777	198
97	ENSMUSG00000041481	198
98	ENSMUSG00000005547	197
99	ENSMUSG00000006200	197
100	ENSMUSG00000106212	197
101	ENSMUSG00000029752	196
