rank	gene	degree
1	ENSMUSG00000078896	440
2	ENSMUSG00000035202	410
3	ENSMUSG00000120284	387
4	ENSMUSG00000027487	376
5	ENSMUSG00000104867	376
6	ENSMUSG00000057836	368
7	ENSMUSG00000074634	365
8	ENSMUSG00000028177	352
9	ENSMUSG00000056257	345
10	ENSMUSG00000026064	345
11	ENSMUSG00000030680	339
12	ENSMUSG00000073125	338
13	ENSMUSG00000117748	333
14	ENSMUSG00000078898	318
15	ENSMUSG00000078193	316
16	ENSMUSG00000116796	312
17	ENSMUSG00000006154	304
18	ENSMUSG00000107374	302
19	ENSMUSG00000039519	301
20	ENSMUSG00000029372	300
21	ENSMUSG00000044313	296
22	ENSMUSG00000083836	294
23	ENSMUSG00000029368	284
24	ENSMUSG00000083012	280
25	ENSMUSG00000013415	280
26	ENSMUSG00000067149	279
27	ENSMUSG00000095545	277
28	ENSMUSG00000038155	273
29	ENSMUSG00000074521	271
30	ENSMUSG00000031380	268
31	ENSMUSG00000083397	267
32	ENSMUSG00000043144	264
33	ENSMUSG00000056116	261
34	ENSMUSG00000009772	260
35	ENSMUSG00000021913	258
36	ENSMUSG00000039579	254
37	ENSMUSG00000096852	253
38	ENSMUSG00000108297	252
39	ENSMUSG00000038968	252
40	ENSMUSG00000023034	251
41	ENSMUSG00000095675	248
42	ENSMUSG00000049336	246
43	ENSMUSG00000096596	246
44	ENSMUSG00000036095	244
45	ENSMUSG00000083277	241
46	ENSMUSG00000117372	236
47	ENSMUSG00000058297	235
48	ENSMUSG00000032401	234
49	ENSMUSG00000104121	234
50	ENSMUSG00000044156	233
